angry;disgust;scared;happy;sad;surprised;neutral
1.7;0.01;3.1;22.67;8.26;1.81;62.44
1.37;0.01;3.24;7.86;8.46;0.96;78.11
1.93;0.05;3.36;7.64;7.32;0.66;79.04
0.68;0.07;1.67;2.87;9.55;0.16;84.99
0.45;0.26;0.91;3.78;6.32;0.13;88.16
1.31;0.68;1.43;3.96;12.0;0.22;80.4
2.59;1.84;1.27;4.64;18.17;0.19;71.31
1.09;0.52;1.45;6.56;11.01;0.16;79.22
1.24;0.97;2.19;8.55;13.22;0.29;73.54
0.97;0.54;1.89;4.7;13.63;0.16;78.12
0.76;0.17;1.69;2.63;8.77;0.18;85.81
1.06;0.34;1.48;4.4;8.55;0.13;84.04
1.24;0.52;1.6;5.66;8.28;0.14;82.56
1.65;0.07;1.66;2.69;7.55;0.16;86.21
2.02;0.03;3.06;3.66;9.26;0.42;81.55
1.88;0.02;2.83;4.17;9.78;0.3;81.02
1.5;0.05;1.69;9.03;6.16;0.48;81.1
1.41;0.02;2.09;5.83;7.42;0.48;82.75
1.51;0.02;1.99;9.02;7.98;0.65;78.84
1.92;0.02;1.86;8.3;9.44;0.37;78.09
1.99;0.01;2.6;6.33;9.22;0.78;79.07
1.47;0.01;2.72;5.61;8.55;0.69;80.96
1.26;0.01;1.99;9.06;8.4;0.37;78.92
0.96;0.0;1.44;8.46;7.67;0.32;81.15
1.45;0.0;1.58;6.49;7.81;0.45;82.2
1.12;0.0;1.34;10.34;6.56;1.01;79.64
0.93;0.0;1.09;20.79;4.44;0.64;72.11
0.91;0.01;1.01;20.66;3.99;0.6;72.82
1.07;0.0;1.38;23.66;5.52;0.63;67.73
0.63;0.0;0.87;28.85;3.67;0.42;65.56
0.56;0.0;0.88;18.59;4.69;0.28;75.01
0.74;0.0;1.43;14.78;6.21;0.43;76.41
0.78;0.0;1.28;24.75;5.28;0.51;67.4
0.47;0.0;0.74;23.57;3.66;0.3;71.26
0.68;0.0;1.04;20.53;4.03;0.45;73.27
0.41;0.0;0.81;20.95;4.02;0.27;73.53
0.56;0.0;0.81;23.9;3.9;0.28;70.55
0.48;0.0;0.85;27.1;3.57;0.31;67.69
0.45;0.0;0.94;17.34;4.09;0.35;76.84
0.56;0.0;0.87;25.2;3.91;0.36;69.1
0.53;0.0;0.79;29.69;3.44;0.32;65.24
0.5;0.0;0.94;31.85;3.55;0.41;62.76
0.59;0.0;1.0;32.2;3.71;0.4;62.11
0.43;0.0;0.78;45.35;3.03;0.33;50.07
0.56;0.0;0.89;46.7;3.07;0.72;48.06
0.37;0.0;0.8;58.6;2.91;0.34;36.97
0.25;0.0;0.64;64.54;2.67;0.31;31.6
0.28;0.0;0.7;66.11;2.64;0.32;29.95
