angry;disgust;scared;happy;sad;surprised;neutral
13.47;0.02;14.02;0.18;45.58;2.23;24.5
13.47;0.02;14.02;0.18;45.58;2.23;24.5
11.3;0.02;15.86;0.23;42.72;2.28;27.58
22.44;0.01;13.67;0.09;37.49;3.14;23.16
15.53;0.01;16.86;0.09;46.25;2.27;18.99
15.43;0.01;19.35;0.1;43.02;3.41;18.69
14.25;0.01;21.52;0.17;38.89;5.4;19.76
13.65;0.01;24.24;0.15;37.58;5.68;18.68
17.92;0.02;13.35;0.11;41.21;4.81;22.58
13.24;0.01;16.8;0.12;42.37;5.31;22.14
8.74;0.01;14.1;0.13;47.9;3.83;25.29
8.89;0.01;14.11;0.14;47.47;3.59;25.8
8.77;0.01;17.49;0.14;40.59;4.67;28.34
12.26;0.0;15.06;0.12;41.24;3.75;27.57
14.27;0.02;14.24;0.13;43.48;2.77;25.09
15.24;0.03;13.44;0.14;40.79;2.57;27.78
15.53;0.01;11.05;0.14;41.22;6.11;25.94
14.23;0.01;12.58;0.13;44.65;4.56;23.84
15.8;0.02;12.84;0.1;40.97;4.03;26.25
16.0;0.01;12.88;0.1;39.68;2.98;28.35
15.11;0.01;10.58;0.09;43.02;6.99;24.2
13.35;0.01;10.9;0.09;43.74;6.4;25.51
13.78;0.01;11.54;0.12;42.98;5.3;26.28
16.56;0.01;10.67;0.09;44.42;5.23;23.03
12.68;0.01;14.51;0.13;45.06;6.27;21.34
12.22;0.01;11.91;0.08;48.43;5.52;21.83
13.46;0.0;8.24;0.07;46.81;4.36;27.05
13.97;0.01;9.3;0.07;46.08;5.11;25.45
14.74;0.01;9.95;0.08;43.99;6.56;24.67
16.47;0.01;10.71;0.06;41.81;9.29;21.65
14.01;0.02;11.15;0.07;42.19;5.91;26.64
16.45;0.01;9.63;0.05;42.24;2.57;29.05
15.35;0.02;10.38;0.06;41.55;6.64;25.99
15.15;0.02;10.35;0.06;41.96;3.19;29.26
14.28;0.01;11.52;0.06;41.6;8.0;24.52
13.26;0.02;9.96;0.07;37.22;5.99;33.47
14.92;0.01;10.34;0.07;43.99;4.9;25.77
14.82;0.01;10.92;0.09;42.86;6.56;24.74
13.24;0.01;10.89;0.05;41.92;9.4;24.49
15.39;0.01;11.02;0.06;42.19;7.75;23.58
16.04;0.02;12.68;0.09;43.01;8.99;19.18
18.09;0.01;10.83;0.09;45.56;5.49;19.93
11.92;0.01;11.64;0.11;45.75;5.21;25.36
13.27;0.02;19.95;0.21;42.88;0.99;22.68
7.7;0.02;29.14;0.33;42.46;0.61;19.73
10.65;0.03;25.01;0.39;42.08;0.54;21.31
12.27;0.02;29.47;0.29;36.26;1.25;20.44
13.26;0.01;20.29;0.27;42.42;0.79;22.97
13.72;0.01;19.92;0.17;41.1;1.5;23.57
14.65;0.01;19.88;0.16;38.79;3.55;22.95
13.39;0.01;15.33;0.17;44.72;2.03;24.35
10.84;0.01;17.71;0.13;44.17;3.68;23.46
10.04;0.0;13.51;0.12;47.65;2.7;25.97
11.35;0.01;19.34;0.11;43.19;7.61;18.4
12.12;0.01;17.14;0.07;44.87;4.83;20.96
10.22;0.0;19.2;0.13;45.01;5.2;20.24
11.08;0.01;18.21;0.1;44.66;4.91;21.03
11.99;0.0;18.2;0.14;37.48;11.08;21.1
17.74;0.0;13.86;0.16;39.87;7.87;20.5
14.16;0.01;14.39;0.11;42.63;5.33;23.37
15.67;0.01;17.55;0.1;41.89;7.78;17.0
15.18;0.01;18.0;0.14;38.54;7.65;20.48
12.14;0.01;14.25;0.15;48.22;4.73;20.51
15.13;0.01;14.73;0.11;46.53;7.07;16.41
13.26;0.01;15.68;0.09;46.1;8.23;16.63
9.61;0.01;17.32;0.13;45.23;7.98;19.73
