Emociones;Experto
angry;1
disgust;0
scared;0
happy;1
sad;0
surprised;1
neutral;1
angry;1
disgust;0
scared;1
happy;1
sad;1
surprised;0
neutral;1
angry;0
disgust;1
scared;0
happy;0
sad;1
surprised;0
neutral;1
angry;1
disgust;0
scared;0
happy;1
sad;1
surprised;1
neutral;1
angry;1
disgust;1
scared;0
happy;1
sad;0
surprised;0
neutral;1
angry;1
disgust;1
scared;0
happy;0
sad;1
surprised;0
neutral;0
angry;1
disgust;1
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;1
scared;0
happy;0
sad;0
surprised;1
neutral;1
angry;0
disgust;1
scared;0
happy;1
sad;0
surprised;0
neutral;1
angry;0
disgust;0
scared;0
happy;1
sad;0
surprised;1
neutral;1
angry;1
disgust;0
scared;1
happy;0
sad;0
surprised;0
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
scared;0
happy;0
sad;1
surprised;1
neutral;1
angry;1
disgust;0
