Emotions;Percent
angry;21.49
disgust;0.19
scared;38.97
happy;14.92
sad;3.95
surprised;4.74
neutral;15.74
angry;17.04
disgust;0.03
scared;26.24
happy;16.25
sad;3.30
surprised;6.38
neutral;30.76
angry;18.63
disgust;0.13
scared;27.86
happy;19.75
sad;3.70
surprised;4.06
neutral;25.88
angry;12.38
disgust;0.02
scared;38.71
happy;10.38
sad;5.33
surprised;11.48
neutral;21.69
angry;18.16
disgust;0.22
scared;11.97
happy;58.98
sad;3.11
surprised;2.98
neutral;4.59
angry;14.69
disgust;0.25
scared;34.71
happy;20.18
sad;4.78
surprised;3.97
neutral;21.42
angry;17.96
disgust;0.24
scared;41.67
happy;16.05
sad;3.54
surprised;4.02
neutral;16.51
angry;7.05
disgust;0.02
scared;23.78
happy;14.27
sad;4.51
surprised;7.63
neutral;42.75
angry;8.53
disgust;0.08
scared;13.24
happy;19.82
sad;19.68
surprised;2.18
neutral;36.47
angry;10.65
disgust;0.04
scared;12.64
happy;25.92
sad;19.89
surprised;1.43
neutral;29.43
angry;3.69
disgust;0.13
scared;14.71
happy;14.06
sad;16.73
surprised;6.20
neutral;44.48
angry;7.07
disgust;0.19
scared;21.30
happy;17.61
sad;27.76
surprised;12.38
neutral;13.67
angry;21.68
disgust;0.05
scared;29.36
happy;30.43
sad;2.99
surprised;3.18
neutral;12.31
angry;21.01
disgust;0.20
scared;31.43
happy;26.06
sad;5.11
surprised;2.35
neutral;13.84
angry;7.27
disgust;0.04
scared;21.78
happy;11.84
sad;3.25
surprised;19.09
neutral;36.74
angry;19.57
disgust;0.17
scared;35.16
happy;15.93
sad;3.38
surprised;5.81
neutral;19.98
angry;17.38
disgust;0.25
scared;36.72
happy;16.29
sad;2.64
surprised;8.63
neutral;18.09
angry;19.16
disgust;0.15
scared;33.65
happy;13.68
sad;2.91
surprised;6.14
neutral;24.31
angry;11.96
disgust;0.00
scared;13.30
happy;6.31
sad;2.49
surprised;6.85
neutral;59.09
angry;6.74
disgust;0.40
scared;28.99
happy;37.08
sad;2.98
surprised;9.08
neutral;14.73
angry;11.63
disgust;0.76
scared;29.08
happy;38.33
sad;3.93
surprised;4.44
neutral;11.84
angry;19.29
disgust;0.15
scared;32.81
happy;17.35
sad;3.24
surprised;5.45
neutral;21.71
angry;20.69
disgust;0.13
scared;34.28
happy;15.00
sad;3.23
surprised;4.75
neutral;21.91
angry;20.15
disgust;0.15
scared;36.96
happy;13.88
sad;3.03
surprised;5.29
neutral;20.55
angry;18.45
disgust;1.05
scared;26.58
happy;36.08
sad;5.12
surprised;2.27
neutral;10.46
angry;10.40
disgust;0.84
scared;29.29
happy;39.38
sad;3.62
surprised;5.22
neutral;11.25
angry;7.20
disgust;0.70
scared;26.24
happy;45.65
sad;3.88
surprised;4.38
neutral;11.95
angry;15.87
disgust;0.80
scared;35.50
happy;31.20
sad;4.51
surprised;2.78
neutral;9.35
angry;8.12
disgust;1.06
scared;33.15
happy;37.71
sad;3.69
surprised;5.55
neutral;10.73
angry;10.75
disgust;1.30
scared;30.98
happy;38.17
sad;4.56
surprised;3.13
neutral;11.11
angry;10.25
disgust;1.29
scared;31.66
happy;35.89
sad;4.31
surprised;3.37
neutral;13.23
angry;8.65
