angry;disgust;scared;happy;sad;surprised;neutral
14.5;0.39;5.7;34.82;14.17;0.39;30.03
12.8;0.08;4.75;43.29;11.79;0.74;26.56
19.91;0.1;5.21;24.0;11.09;0.51;39.18
11.98;0.17;6.12;27.97;19.48;1.93;32.34
16.14;0.09;3.71;32.65;11.12;0.49;35.79
7.15;0.03;3.85;39.47;4.61;1.45;43.43
10.49;0.06;4.77;39.14;6.67;1.19;37.68
7.02;0.11;3.51;44.45;9.11;0.55;35.25
16.98;0.2;5.38;35.15;14.68;0.44;27.16
14.12;0.14;3.18;45.55;6.95;0.3;29.76
22.44;0.14;4.23;34.65;9.45;0.41;28.68
14.58;0.08;7.14;32.23;8.96;1.61;35.41
19.79;0.19;4.59;24.96;12.67;0.67;37.14
7.67;0.07;3.38;53.35;9.31;0.66;25.57
19.74;0.23;4.08;32.46;7.8;0.63;35.07
15.55;0.03;3.68;43.19;7.47;0.42;29.65
16.5;0.19;4.81;32.94;10.01;0.65;34.91
8.42;0.22;5.87;49.46;14.07;0.62;21.33
10.84;0.1;6.77;26.95;13.04;0.84;41.47
20.74;0.19;4.59;25.71;12.09;0.28;36.39
12.75;0.11;3.19;31.98;7.47;0.58;43.92
7.21;0.06;3.9;57.28;7.73;0.58;23.23
8.03;0.08;7.29;41.5;10.31;0.54;32.26
2.81;0.22;2.96;71.81;12.26;0.14;9.8
3.08;0.19;3.94;65.83;15.26;0.42;11.27
3.26;0.12;3.27;66.47;7.65;0.58;18.65
5.44;0.22;4.49;62.92;10.48;0.53;15.92
5.08;0.18;3.92;66.96;8.61;0.51;14.74
3.97;0.12;2.68;68.0;9.3;0.5;15.43
9.41;0.16;3.74;54.49;13.79;0.77;17.63
12.52;0.1;6.39;28.89;11.98;0.65;39.47
16.68;0.09;5.67;33.26;14.91;0.55;28.84
9.75;0.05;6.16;25.78;12.32;0.85;45.11
5.54;0.13;2.84;66.25;9.5;0.43;15.31
4.99;0.09;2.68;68.4;7.87;0.27;15.69
14.53;0.16;6.3;26.78;17.06;0.33;34.85
12.89;0.05;2.9;37.31;7.62;0.26;38.98
9.77;0.03;3.38;30.24;8.76;0.38;47.44
6.64;0.03;3.3;46.0;7.49;0.55;35.99
4.99;0.11;2.52;65.31;6.12;0.59;20.37
10.75;0.05;3.61;23.29;7.17;0.42;54.71
16.31;0.12;4.18;27.48;14.16;0.26;37.5
13.78;0.09;3.97;16.01;9.41;0.42;56.32
11.09;0.02;3.38;26.87;7.8;0.42;50.43
12.89;0.06;2.61;32.38;13.2;0.28;38.58
7.69;0.12;3.89;45.44;11.63;0.44;30.78
3.71;0.2;1.96;72.71;9.56;0.25;11.61
8.05;0.28;7.08;40.73;17.31;0.74;25.81
9.93;0.04;3.7;43.04;9.82;0.39;33.08
4.43;0.12;2.07;74.24;5.68;0.23;13.24
5.59;0.32;4.29;47.29;20.48;0.56;21.46
4.29;0.25;1.83;74.69;10.0;0.21;8.73
5.77;0.06;2.2;59.85;7.1;0.33;24.69
4.75;0.13;3.98;44.42;10.48;0.91;35.32
8.54;0.2;7.33;39.36;15.04;0.73;28.81
8.49;0.17;3.87;23.68;8.77;0.46;54.56
7.3;0.16;6.01;38.42;14.33;0.61;33.17
7.8;0.04;2.99;41.49;9.44;0.36;37.87
9.56;0.45;6.79;35.58;19.85;0.74;27.04
7.17;0.31;3.91;59.58;10.96;0.43;17.64
18.11;0.1;5.38;19.24;12.44;0.55;44.18
11.23;0.59;8.2;38.97;19.34;0.63;21.03
13.63;0.1;6.28;18.59;14.12;0.7;46.58
4.05;0.04;4.92;60.81;9.13;0.62;20.43
6.36;0.41;4.39;67.06;13.12;0.49;8.17
2.89;0.14;3.87;73.9;7.36;0.63;11.22
20.88;0.31;8.06;24.54;17.3;0.52;28.4
3.3;0.04;4.87;66.22;8.49;0.46;16.62
7.0;0.04;12.45;47.04;15.58;0.78;17.11
11.59;0.01;3.57;42.5;10.47;0.84;31.01
11.11;0.1;7.14;42.9;18.03;0.54;20.17
11.21;0.08;6.27;52.99;14.29;0.3;14.86
10.76;0.24;5.89;35.11;18.63;0.49;28.89
1.88;0.06;4.64;68.82;13.33;0.45;10.81
7.09;0.2;11.69;47.2;18.35;0.55;14.93
10.69;0.52;12.74;34.89;19.51;0.5;21.16
5.95;0.66;6.28;61.8;10.77;0.35;14.17
13.08;0.54;6.75;34.87;11.22;0.53;33.0
7.5;0.16;10.2;49.35;16.33;0.22;16.24
