angry;disgust;scared;happy;sad;surprised;neutral
8.56;12.96;13.14;32.28;12.75;5.35;14.96
13.84;3.57;13.77;39.11;14.59;4.71;10.4
4.64;0.04;7.35;17.29;7.87;25.52;37.3
4.0;0.06;7.69;14.19;7.85;26.82;39.4
9.84;3.16;16.89;36.41;10.03;6.01;17.67
6.8;0.03;18.22;7.84;5.47;11.02;50.62
3.82;0.03;8.35;9.92;6.95;27.39;43.53
13.42;2.71;6.25;55.45;5.18;3.27;13.72
6.45;0.04;15.85;14.79;18.75;1.98;42.15
4.24;0.05;20.26;17.37;21.39;2.01;34.67
5.08;0.06;22.61;5.31;7.42;14.14;45.38
3.23;0.02;7.3;7.7;17.64;2.1;61.99
5.23;0.04;22.78;5.43;6.44;16.56;43.52
4.47;0.02;22.29;4.71;5.32;14.2;48.99
5.48;0.02;22.6;4.73;5.64;13.94;47.59
5.23;0.02;22.65;4.89;5.51;14.61;47.09
4.95;0.02;21.41;4.65;5.2;13.32;50.45
5.82;0.02;22.58;4.56;6.09;14.77;46.17
5.57;0.02;19.05;5.19;5.94;14.46;49.75
3.23;0.01;12.26;10.66;6.0;21.99;45.84
2.21;0.01;1.19;67.05;1.79;2.44;25.3
5.7;0.01;16.11;11.66;26.08;3.75;36.7
5.31;0.06;16.57;12.07;21.67;1.81;42.51
3.45;0.01;10.49;8.14;5.03;26.35;46.52
3.15;0.02;9.11;10.01;4.81;27.15;45.75
3.29;0.02;8.84;8.71;4.93;26.88;47.32
8.85;27.44;7.36;22.37;8.35;3.89;21.74
8.45;8.21;7.51;44.27;9.21;3.01;19.36
9.34;8.08;8.37;37.78;10.07;3.54;22.82
6.11;5.06;7.14;46.26;7.4;4.34;23.68
3.21;0.01;10.29;6.24;4.08;28.26;47.9
7.84;12.41;9.66;31.38;12.12;3.9;22.69
5.86;6.53;8.89;49.2;10.77;2.78;15.98
2.22;0.01;9.14;8.18;3.36;33.06;44.04
4.51;2.82;12.43;35.91;12.35;10.8;21.18
2.51;0.03;9.41;16.16;19.19;4.01;48.7
6.88;4.92;15.62;24.86;12.72;9.01;25.99
5.55;7.96;15.16;27.51;12.28;8.32;23.22
2.7;0.01;11.19;7.61;4.22;34.05;40.21
0.75;0.01;2.05;82.4;5.13;0.62;9.04
0.79;0.01;2.94;77.0;5.36;0.67;13.23
0.83;0.0;1.8;84.51;3.88;0.56;8.42
2.06;0.01;4.05;68.25;11.12;0.57;13.94
2.88;0.02;6.32;51.58;12.49;0.77;25.94
4.84;0.03;11.12;20.87;26.84;2.44;33.86
2.3;0.03;8.11;41.12;11.71;2.17;34.57
3.67;0.02;11.68;7.35;5.42;30.3;41.56
3.01;0.01;13.89;6.78;4.33;30.9;41.07
3.44;7.57;19.07;30.48;11.79;8.04;19.62
3.89;0.01;13.27;7.18;4.7;28.39;42.55
4.21;0.01;12.15;7.11;4.66;30.11;41.74
4.28;0.01;12.25;6.61;4.28;28.19;44.38
3.86;0.02;11.2;15.59;14.0;2.93;52.4
2.74;0.01;14.47;17.61;13.76;2.07;49.34
3.44;0.01;14.12;6.82;4.24;28.59;42.78
3.07;0.01;10.07;40.03;10.97;1.11;34.74
2.93;0.02;17.46;25.31;11.06;2.09;41.13
9.62;0.04;19.15;3.78;20.27;2.65;44.48
6.92;0.03;10.96;6.71;12.35;1.35;61.67
10.92;0.05;15.34;3.85;17.14;2.68;50.02
4.11;0.02;9.33;6.6;18.25;1.73;59.96
6.57;0.16;3.13;49.16;2.13;3.29;35.57
20.74;0.4;22.36;15.9;9.9;3.31;27.39
3.91;0.05;14.59;19.12;22.58;2.94;36.81
9.77;0.09;2.77;52.42;1.46;3.38;30.11
2.84;0.02;8.29;36.68;12.52;1.95;37.69
2.42;0.03;10.99;28.85;17.88;2.08;37.74
6.08;0.04;3.08;51.42;2.91;3.73;32.73
2.37;0.01;14.37;41.57;11.26;1.06;29.37
13.45;0.85;14.78;33.92;12.02;1.94;23.04
2.58;0.02;13.0;13.05;16.48;4.45;50.42
12.64;0.07;1.55;51.53;1.55;1.71;30.96
8.36;0.04;1.79;50.02;2.13;2.4;35.26
8.76;0.05;1.7;53.94;1.31;3.01;31.23
2.88;0.01;17.25;23.45;17.37;3.14;35.88
3.84;0.01;18.11;5.11;5.21;16.89;50.84
3.55;0.04;13.85;19.65;20.58;2.79;39.54
4.48;0.01;16.02;6.05;4.22;22.13;47.1
3.76;0.01;17.32;6.95;4.59;18.05;49.33
5.42;0.04;15.71;10.23;25.04;1.72;41.84
1.54;0.01;5.22;41.52;8.04;0.61;43.05
4.76;0.03;4.55;18.96;14.99;1.08;55.63
1.35;0.01;5.29;47.45;10.61;0.46;34.84
2.36;0.01;7.29;22.55;15.53;0.96;51.31
2.27;0.02;4.83;26.7;11.87;1.38;52.94
5.16;0.01;14.43;7.63;4.88;18.95;48.94
4.34;0.07;8.49;17.7;23.63;1.33;44.44
4.44;0.04;6.25;15.62;20.2;1.11;52.34
5.56;0.01;16.63;6.42;3.89;13.98;53.52
2.63;0.01;7.5;20.2;16.19;0.95;52.53
5.02;0.03;12.15;14.19;18.55;2.38;47.7
5.35;0.41;25.44;18.52;10.63;14.2;25.46
3.07;0.04;7.91;14.66;20.04;1.82;52.46
2.71;0.01;6.6;31.36;14.33;0.84;44.14
3.87;4.41;7.09;51.62;8.76;5.26;18.99
