Emotions;Percent
angry;7.07
disgust;0.01
scared;22.25
happy;16.26
sad;2.22
surprised;16.10
neutral;36.09
angry;9.51
disgust;0.04
scared;31.29
happy;13.92
sad;3.38
surprised;12.07
neutral;29.79
angry;10.30
disgust;0.05
scared;32.46
happy;26.75
sad;4.39
surprised;9.12
neutral;16.94
angry;4.65
disgust;2.31
scared;18.48
happy;10.94
sad;9.77
surprised;33.26
neutral;20.58
angry;3.39
disgust;1.46
scared;12.33
happy;6.05
sad;7.40
surprised;30.75
neutral;38.62
angry;5.01
disgust;2.96
scared;15.49
happy;10.51
sad;7.34
surprised;20.15
neutral;38.53
angry;5.79
disgust;0.12
scared;25.03
happy;31.50
sad;5.17
surprised;11.32
neutral;21.06
angry;11.26
disgust;0.05
scared;39.46
happy;11.32
sad;4.00
surprised;11.07
neutral;22.84
angry;4.00
disgust;0.02
scared;18.00
happy;7.07
sad;5.65
surprised;7.25
neutral;58.02
angry;4.50
disgust;1.86
scared;11.95
happy;17.96
sad;10.20
surprised;14.88
neutral;38.64
angry;8.34
disgust;2.97
scared;12.87
happy;9.08
sad;13.34
surprised;9.67
neutral;43.72
angry;5.62
disgust;2.30
scared;9.48
happy;16.92
sad;13.25
surprised;23.17
neutral;29.26
angry;7.11
disgust;2.75
scared;9.65
happy;20.45
sad;16.75
surprised;8.44
neutral;34.85
angry;4.46
disgust;0.02
scared;19.28
happy;7.23
sad;6.04
surprised;11.92
neutral;51.06
angry;6.01
disgust;2.48
scared;11.20
happy;15.53
sad;14.93
surprised;15.20
neutral;34.66
angry;5.96
disgust;0.03
scared;24.10
happy;19.68
sad;3.26
surprised;11.66
neutral;35.31
angry;4.78
disgust;1.29
scared;12.34
happy;14.72
sad;19.13
surprised;11.61
neutral;36.13
angry;8.96
disgust;0.03
scared;24.13
happy;18.78
sad;2.61
surprised;14.21
neutral;31.28
angry;8.54
disgust;0.02
scared;19.91
happy;17.65
sad;2.48
surprised;17.10
neutral;34.30
angry;4.66
disgust;3.17
scared;8.53
happy;23.73
sad;9.78
surprised;10.75
neutral;39.37
angry;4.82
disgust;3.49
scared;11.82
happy;19.71
sad;11.37
surprised;17.70
neutral;31.09
angry;5.47
disgust;3.16
scared;9.90
happy;16.69
sad;11.68
surprised;18.17
neutral;34.92
angry;5.01
disgust;3.45
scared;15.17
happy;16.41
sad;8.08
surprised;30.25
neutral;21.62
angry;3.93
disgust;5.60
scared;12.55
happy;6.85
sad;12.81
surprised;30.47
neutral;27.80
angry;3.52
disgust;1.94
scared;13.74
happy;10.22
sad;11.70
surprised;30.56
neutral;28.31
angry;4.57
disgust;0.63
scared;21.04
happy;4.25
sad;16.91
surprised;23.87
neutral;28.72
angry;3.46
disgust;1.41
scared;8.16
happy;9.45
sad;12.33
surprised;22.70
neutral;42.48
angry;3.37
disgust;1.82
scared;8.19
happy;7.18
sad;7.68
surprised;42.96
neutral;28.80
angry;4.96
disgust;1.10
scared;15.31
happy;4.04
sad;8.60
surprised;34.22
neutral;31.78
angry;6.89
disgust;0.00
scared;14.87
happy;7.86
sad;2.94
surprised;15.16
neutral;52.28
angry;2.74
disgust;0.79
scared;13.51
happy;8.95
sad;12.16
surprised;34.95
neutral;26.89
angry;18.91
disgust;0.63
scared;16.69
happy;7.22
sad;17.19
surprised;3.49
neutral;35.88
angry;5.87
disgust;2.71
scared;7.84
happy;19.08
sad;11.22
surprised;5.57
neutral;47.71
angry;6.73
disgust;3.34
scared;6.91
happy;28.67
sad;10.47
surprised;4.82
neutral;39.07
angry;6.80
disgust;3.35
scared;9.42
happy;19.49
sad;11.96
surprised;10.59
neutral;38.40
angry;5.55
disgust;0.26
scared;32.52
happy;28.01
sad;5.80
surprised;7.64
neutral;20.22
angry;3.28
disgust;0.94
scared;15.85
happy;8.13
sad;13.00
surprised;28.06
neutral;30.74
angry;5.55
disgust;2.14
scared;8.56
happy;30.39
sad;10.65
surprised;13.24
neutral;29.46
angry;6.45
disgust;0.00
scared;14.22
happy;5.44
sad;2.72
surprised;11.21
neutral;59.95
angry;4.63
disgust;4.19
scared;10.72
happy;11.69
sad;14.83
surprised;14.14
neutral;39.79
angry;4.00
disgust;0.01
scared;17.31
happy;5.49
sad;4.60
surprised;14.66
neutral;53.93
angry;2.05
disgust;1.20
scared;15.94
happy;6.16
sad;9.17
surprised;43.23
neutral;22.25
angry;4.64
disgust;2.42
scared;12.42
happy;11.86
sad;15.41
surprised;22.17
neutral;31.08
angry;7.28
disgust;0.03
scared;15.55
happy;8.78
sad;6.82
surprised;9.77
neutral;51.78
angry;3.73
disgust;5.05
scared;11.21
happy;14.40
sad;9.01
surprised;25.22
neutral;31.36
angry;3.98
disgust;3.40
scared;13.98
happy;14.06
sad;10.16
surprised;29.14
neutral;25.28
angry;6.09
disgust;0.27
scared;35.09
happy;18.71
sad;5.84
surprised;7.62
neutral;26.37
angry;4.95
disgust;2.98
scared;11.30
happy;18.74
sad;13.24
surprised;19.68
