angry;disgust;scared;happy;sad;surprised;neutral
8.02;6.56;10.45;7.43;18.21;0.31;49.01
8.23;7.25;10.51;7.25;17.97;0.3;48.49
5.06;4.76;10.21;3.99;14.62;0.24;61.12
8.63;5.68;10.75;7.62;17.89;0.33;49.1
7.42;5.85;14.54;2.68;16.35;0.24;52.92
9.87;19.64;10.56;4.98;17.93;0.2;36.82
10.26;5.43;15.57;3.26;17.34;0.28;47.86
9.01;1.76;13.43;5.45;20.01;0.39;49.94
7.26;0.66;20.43;4.59;29.31;0.71;37.03
17.98;3.69;14.42;3.87;21.85;0.13;38.05
11.78;5.01;11.19;5.37;18.7;0.2;47.76
12.94;14.76;11.46;4.5;20.02;0.2;36.12
11.95;5.92;18.96;3.52;22.19;0.31;37.15
6.74;0.2;14.52;4.86;26.09;0.3;47.28
5.0;0.2;15.57;5.43;21.38;0.3;52.12
10.9;8.71;17.58;5.2;24.16;0.51;32.93
13.6;0.9;17.58;4.56;28.29;0.47;34.61
7.23;2.71;9.81;10.08;22.42;0.54;47.21
6.27;7.06;15.43;6.95;22.37;0.81;41.1
5.92;0.38;18.33;4.84;25.14;0.44;44.96
6.18;0.4;18.48;4.92;24.92;0.44;44.65
6.08;30.42;11.92;2.39;15.05;0.18;33.97
5.92;30.67;12.16;2.22;15.59;0.17;33.27
6.02;4.23;11.89;6.21;25.69;0.46;45.5
6.36;4.64;12.82;5.62;28.53;0.53;41.5
6.55;5.37;12.68;5.38;28.73;0.54;40.74
6.23;11.36;17.81;3.29;23.33;0.41;37.58
6.34;12.24;17.84;3.3;22.99;0.41;36.88
4.6;3.68;9.74;6.73;34.49;0.09;40.66
4.1;1.98;10.92;8.13;38.66;0.08;36.13
5.42;0.75;15.66;11.01;31.61;0.2;35.35
5.62;4.31;15.58;4.86;33.8;0.09;35.74
6.73;1.74;12.57;5.69;36.08;0.09;37.09
10.66;1.71;17.28;4.39;24.57;0.2;41.19
9.96;0.48;14.7;4.45;26.04;0.33;44.04
15.95;4.32;12.21;2.71;28.49;0.24;36.08
9.59;1.48;17.13;6.03;25.01;0.53;40.22
9.11;2.69;14.99;4.42;24.92;0.39;43.47
9.3;2.61;15.26;4.27;24.26;0.41;43.88
13.9;3.29;11.37;4.32;23.18;0.32;43.62
12.93;1.87;20.8;3.56;22.79;0.18;37.86
13.23;1.5;20.48;3.0;25.84;0.42;35.53
5.3;0.38;16.07;3.6;18.77;0.35;55.53
5.06;0.11;10.53;6.66;18.95;0.33;58.35
9.42;0.28;14.44;4.61;24.69;0.37;46.19
4.42;0.1;9.05;9.07;19.16;0.33;57.87
11.51;0.44;18.51;4.0;27.83;0.65;37.06
10.18;4.27;12.21;9.38;21.23;0.39;42.35
12.35;10.47;10.28;8.44;17.16;0.21;41.1
12.53;10.93;10.35;8.48;16.96;0.22;40.53
8.4;7.27;12.78;9.61;16.31;0.45;45.18
11.02;0.95;18.46;3.83;29.5;0.53;35.72
11.22;1.01;17.99;4.0;29.22;0.55;36.0
7.71;6.54;12.53;8.88;15.93;0.44;47.97
6.88;0.71;15.14;5.66;23.92;0.6;47.09
13.13;7.2;16.93;6.79;22.9;0.46;32.59
13.02;7.3;17.09;6.69;22.94;0.46;32.5
5.08;0.15;13.24;7.74;19.05;0.44;54.3
17.99;1.86;20.15;4.7;18.93;0.29;36.08
7.37;4.3;12.88;11.75;14.05;0.74;48.91
5.48;1.32;10.95;7.92;18.63;0.95;54.76
5.57;2.88;12.01;7.1;14.5;0.46;57.5
7.1;6.45;15.12;4.26;17.14;0.34;49.59
9.08;2.88;13.89;8.73;20.87;0.47;44.07
8.28;3.8;14.65;8.85;18.86;1.19;44.36
8.29;4.31;17.09;7.49;17.0;0.74;45.08
8.69;4.77;17.29;7.17;17.24;0.71;44.13
13.94;0.86;22.16;5.01;23.98;0.52;33.54
15.75;1.24;21.36;4.68;22.44;0.51;34.02
3.83;0.17;13.21;6.35;15.73;0.4;60.31
8.02;0.3;16.79;10.68;13.36;0.41;50.45
3.78;0.17;14.12;6.02;15.91;0.39;59.63
12.43;4.67;16.41;6.72;21.6;0.41;37.76
11.59;8.74;20.44;6.27;20.25;0.68;32.03
8.41;0.36;14.41;5.66;27.13;0.42;43.61
10.41;8.51;19.37;5.86;26.16;0.69;29.0
6.52;0.71;18.63;3.9;26.65;0.79;42.8
13.07;2.02;19.09;5.32;24.86;0.37;35.27
4.94;3.31;11.55;4.49;12.62;0.24;62.84
5.02;3.19;11.54;4.58;12.79;0.24;62.65
4.02;1.19;9.23;4.28;14.77;0.41;66.1
3.99;1.18;9.44;4.17;15.02;0.42;65.77
9.86;11.53;11.64;5.55;17.07;0.3;44.05
9.79;12.47;10.79;5.87;16.93;0.3;43.85
10.09;8.34;12.53;5.71;14.62;0.21;48.51
16.4;3.39;17.81;4.57;23.93;0.23;33.67
13.97;2.66;15.81;4.99;30.34;0.34;31.89
15.86;3.37;23.54;2.1;26.62;0.28;28.24
13.77;4.22;18.75;4.21;25.31;0.26;33.48
14.46;3.92;18.9;4.02;24.93;0.27;33.51
11.67;10.09;14.05;3.48;18.98;0.23;41.49
10.87;8.01;12.15;7.75;17.56;0.41;43.25
10.87;6.86;12.13;8.22;24.05;0.4;37.47
8.35;5.22;9.26;3.72;19.04;0.13;54.29
12.45;3.03;10.27;6.58;23.25;0.15;44.28
14.33;4.65;11.14;6.64;22.84;0.25;40.16
14.94;4.3;10.71;7.03;23.76;0.24;39.02
14.61;17.03;9.54;6.48;23.29;0.19;28.86
8.74;15.75;14.98;2.91;30.18;0.14;27.3
3.02;7.09;17.44;2.77;25.14;0.11;44.44
6.35;44.78;13.04;3.3;15.87;0.16;16.5
3.65;24.41;20.45;2.95;29.39;0.13;19.01
4.73;23.87;17.04;4.77;23.14;0.17;26.27
11.14;1.7;12.82;12.24;29.22;0.15;32.73
6.22;0.45;7.53;13.51;31.1;0.14;41.04
10.54;5.54;9.62;7.58;32.26;0.16;34.3
8.28;6.61;8.53;7.68;33.91;0.18;34.81
7.08;0.61;7.99;15.59;22.39;0.2;46.14
4.86;0.16;6.35;32.99;15.43;0.31;39.91
6.01;0.49;6.8;22.41;13.61;0.37;50.31
23.47;0.59;13.93;4.26;13.26;0.83;43.66
11.78;0.82;5.75;14.07;26.07;0.28;41.24
4.85;0.1;4.63;5.03;15.01;0.2;70.18
4.11;0.07;3.17;12.87;14.73;0.28;64.77
19.43;0.6;17.78;4.96;6.59;3.07;47.57
7.22;0.98;7.28;4.56;19.66;0.24;60.06
7.51;0.53;6.31;3.71;19.62;0.29;62.03
8.12;0.48;14.41;1.43;23.69;0.68;51.2
7.18;0.44;10.99;2.67;18.34;1.21;59.17
10.35;1.42;16.55;1.71;19.59;1.8;48.58
15.89;1.56;28.24;0.82;18.02;1.78;33.69
