Emotions;Percent
angry;1.70
disgust;0.01
scared;3.10
happy;22.67
sad;8.26
surprised;1.81
neutral;62.44
angry;1.37
disgust;0.01
scared;3.24
happy;7.86
sad;8.46
surprised;0.96
neutral;78.11
angry;1.93
disgust;0.05
scared;3.36
happy;7.64
sad;7.32
surprised;0.66
neutral;79.04
angry;0.68
disgust;0.07
scared;1.67
happy;2.87
sad;9.55
surprised;0.16
neutral;84.99
angry;0.45
disgust;0.26
scared;0.91
happy;3.78
sad;6.32
surprised;0.13
neutral;88.16
angry;1.31
disgust;0.68
scared;1.43
happy;3.96
sad;12.00
surprised;0.22
neutral;80.40
angry;2.59
disgust;1.84
scared;1.27
happy;4.64
sad;18.17
surprised;0.19
neutral;71.31
angry;1.09
disgust;0.52
scared;1.45
happy;6.56
sad;11.01
surprised;0.16
neutral;79.22
angry;1.24
disgust;0.97
scared;2.19
happy;8.55
sad;13.22
surprised;0.29
neutral;73.54
angry;0.97
disgust;0.54
scared;1.89
happy;4.70
sad;13.63
surprised;0.16
neutral;78.12
angry;0.76
disgust;0.17
scared;1.69
happy;2.63
sad;8.77
surprised;0.18
neutral;85.81
angry;1.06
disgust;0.34
scared;1.48
happy;4.40
sad;8.55
surprised;0.13
neutral;84.04
angry;1.24
disgust;0.52
scared;1.60
happy;5.66
sad;8.28
surprised;0.14
neutral;82.56
angry;1.65
disgust;0.07
scared;1.66
happy;2.69
sad;7.55
surprised;0.16
neutral;86.21
angry;2.02
disgust;0.03
scared;3.06
happy;3.66
sad;9.26
surprised;0.42
neutral;81.55
angry;1.88
disgust;0.02
scared;2.83
happy;4.17
sad;9.78
surprised;0.30
neutral;81.02
angry;1.50
disgust;0.05
scared;1.69
happy;9.03
sad;6.16
surprised;0.48
neutral;81.10
angry;1.41
disgust;0.02
scared;2.09
happy;5.83
sad;7.42
surprised;0.48
neutral;82.75
angry;1.51
disgust;0.02
scared;1.99
happy;9.02
sad;7.98
surprised;0.65
neutral;78.84
angry;1.92
disgust;0.02
scared;1.86
happy;8.30
sad;9.44
surprised;0.37
neutral;78.09
angry;1.99
disgust;0.01
scared;2.60
happy;6.33
sad;9.22
surprised;0.78
neutral;79.07
angry;1.47
disgust;0.01
scared;2.72
happy;5.61
sad;8.55
surprised;0.69
neutral;80.96
angry;1.26
disgust;0.01
scared;1.99
happy;9.06
sad;8.40
surprised;0.37
neutral;78.92
angry;0.96
disgust;0.00
scared;1.44
happy;8.46
sad;7.67
surprised;0.32
neutral;81.15
angry;1.45
disgust;0.00
scared;1.58
happy;6.49
sad;7.81
surprised;0.45
neutral;82.20
angry;1.12
disgust;0.00
scared;1.34
happy;10.34
sad;6.56
surprised;1.01
neutral;79.64
angry;0.93
disgust;0.00
scared;1.09
happy;20.79
sad;4.44
surprised;0.64
neutral;72.11
angry;0.91
disgust;0.01
scared;1.01
happy;20.66
sad;3.99
surprised;0.60
neutral;72.82
angry;1.07
disgust;0.00
scared;1.38
happy;23.66
sad;5.52
