angry;disgust;scared;happy;sad;surprised;neutral
5.57;0.04;3.21;0.91;10.23;0.39;79.65
5.67;0.03;2.86;1.77;10.25;0.23;79.19
6.85;0.09;3.65;3.45;13.28;0.52;72.17
8.87;0.07;4.11;3.43;12.96;1.76;68.81
9.64;0.04;6.14;3.3;14.04;2.45;64.39
5.61;0.03;4.25;1.45;9.39;1.88;77.39
13.17;0.02;15.1;7.3;8.07;22.11;34.22
13.83;0.02;15.4;7.22;7.99;16.93;38.63
6.75;0.05;6.93;3.79;11.9;3.46;67.13
4.36;0.02;4.7;2.39;10.4;2.26;75.87
5.03;0.02;8.07;2.67;8.52;7.72;67.98
3.86;0.01;5.32;1.57;7.82;3.86;77.57
4.26;0.01;5.46;3.07;7.85;3.08;76.28
7.58;0.01;6.4;1.22;8.73;8.26;67.8
6.0;0.01;7.77;4.09;11.99;6.04;64.08
3.31;0.01;4.43;0.64;5.49;15.01;71.11
5.43;0.02;2.36;1.76;5.26;7.2;77.97
1.73;0.0;2.18;2.51;3.05;1.39;89.14
5.57;0.07;3.21;4.59;7.65;0.58;78.33
11.87;1.75;2.75;1.73;20.25;0.85;60.8
7.29;0.48;2.0;3.03;26.3;1.06;59.84
7.78;0.44;4.49;3.78;21.67;1.26;60.59
4.26;0.14;1.75;3.97;12.99;0.41;76.49
4.1;0.41;2.41;6.26;11.22;0.42;75.17
4.18;0.2;1.77;2.35;7.61;0.29;83.61
5.24;0.15;2.33;2.55;11.71;0.16;77.86
2.51;0.01;2.53;2.96;8.31;0.07;83.61
3.46;0.01;2.57;3.75;10.64;0.04;79.53
6.86;0.03;6.05;3.04;19.48;0.21;64.32
8.0;0.04;14.13;1.7;24.3;0.12;51.71
7.73;0.09;6.84;3.87;15.91;0.43;65.14
6.64;0.05;8.25;2.43;16.46;0.24;65.92
4.63;0.02;6.76;2.21;13.8;0.18;72.39
12.08;0.15;10.82;1.27;25.58;0.16;49.93
8.7;0.49;9.47;3.33;19.36;0.02;58.63
11.62;0.15;8.34;2.03;19.06;0.07;58.73
5.38;0.02;7.28;1.6;16.66;0.04;69.02
4.95;0.01;6.39;1.85;17.04;0.14;69.61
5.83;0.02;6.18;1.43;23.67;0.46;62.41
4.1;0.02;6.33;2.48;19.46;1.0;66.61
4.2;0.01;6.8;1.1;16.62;0.59;70.68
5.65;0.01;7.56;1.53;26.94;2.19;56.12
4.78;0.02;6.65;1.39;24.18;1.69;61.29
4.49;0.01;7.97;1.62;27.3;1.39;57.21
5.22;0.01;7.44;1.17;26.47;2.41;57.28
6.68;0.03;13.25;1.43;34.63;2.87;41.1
5.35;0.02;11.87;1.34;27.25;1.48;52.69
5.39;0.01;7.48;1.18;20.19;1.65;64.09
5.64;0.03;11.18;1.77;28.95;2.1;50.33
5.28;0.02;8.26;1.28;25.03;1.8;58.32
8.29;0.06;7.5;2.8;28.23;0.22;52.91
11.08;0.52;11.29;6.62;26.11;0.14;44.24
18.56;0.28;13.19;3.31;31.26;0.17;33.23
6.23;0.05;5.04;2.56;19.98;0.11;66.03
7.53;0.04;7.14;2.36;23.02;0.33;59.57
6.29;0.04;4.06;2.13;19.81;0.31;67.37
2.7;0.01;3.12;0.92;12.83;0.39;80.04
4.41;0.01;4.16;1.48;19.27;0.42;70.25
4.0;0.01;5.67;1.14;22.72;1.07;65.39
4.47;0.01;8.85;1.23;29.06;0.8;55.57
4.88;0.01;8.19;1.5;27.22;1.94;56.25
5.07;0.03;21.52;7.71;4.86;18.73;42.09
6.37;0.01;12.09;1.18;26.66;3.38;50.31
5.96;0.02;8.88;1.1;25.16;2.92;55.97
6.98;0.02;9.74;1.52;27.5;3.08;51.16
4.61;0.08;18.22;6.1;6.5;26.05;38.44
6.26;0.01;11.63;0.8;28.99;3.85;48.46
8.09;0.03;10.93;1.3;28.01;2.31;49.32
6.64;0.02;9.38;0.82;31.17;2.36;49.61
4.79;0.01;5.66;0.85;18.03;1.38;69.29
9.85;0.04;11.72;1.41;31.11;3.58;42.29
7.8;0.01;10.71;0.7;33.54;2.31;44.93
6.7;0.01;8.01;0.78;21.77;2.0;60.73
8.88;0.02;17.34;1.03;29.61;3.76;39.36
10.98;0.04;13.75;1.4;29.3;3.78;40.76
4.32;0.1;12.62;8.96;5.78;19.28;48.94
7.48;0.02;7.91;0.81;20.15;0.35;63.29
12.37;0.17;9.01;2.32;27.65;0.13;48.35
8.61;0.08;9.88;2.16;23.84;0.11;55.32
6.37;0.03;5.74;1.85;19.43;0.23;66.36
4.01;0.01;4.53;0.92;14.3;0.23;76.01
5.39;0.01;6.77;0.6;16.05;0.31;70.86
5.02;0.01;5.47;0.69;13.64;0.38;74.79
6.13;0.01;10.03;0.58;26.41;1.19;55.64
3.05;0.0;3.26;0.56;9.62;0.44;83.07
3.8;0.01;4.16;0.57;11.43;0.74;79.29
5.0;0.01;6.14;0.73;15.07;0.77;72.29
4.09;0.01;5.53;0.73;12.34;0.68;76.62
4.32;0.01;5.55;0.67;14.3;0.65;74.5
5.16;0.01;5.95;0.69;18.31;0.82;69.06
4.3;0.02;6.25;0.73;16.13;1.4;71.17
4.78;0.02;5.0;0.58;14.91;1.01;73.69
5.87;0.02;11.42;0.74;27.04;1.37;53.55
6.38;0.01;10.71;0.54;23.62;1.46;57.29
7.42;1.48;14.03;8.45;42.14;4.94;21.54
8.41;0.02;14.41;0.79;29.44;2.45;44.49
7.5;0.02;10.63;0.8;23.89;0.99;56.18
7.41;0.03;9.29;1.08;19.61;1.4;61.18
2.65;0.09;19.28;6.37;7.84;15.57;48.2
11.38;0.1;9.32;1.83;18.28;1.08;58.0
11.61;0.1;10.44;1.81;19.24;1.57;55.23
10.56;0.09;8.72;2.25;16.42;1.09;60.86
7.2;0.03;6.59;1.56;16.85;0.75;67.01
10.99;0.07;12.44;1.7;21.6;0.61;52.6
10.5;0.06;10.35;2.12;21.13;1.07;54.78
9.75;0.06;10.66;1.7;20.59;0.84;56.4
5.96;0.03;6.87;2.23;20.38;0.61;63.93
6.89;0.05;8.44;2.2;24.18;0.73;57.49
9.28;0.02;14.45;1.19;27.49;1.09;46.47
9.38;0.06;10.86;1.64;25.12;1.03;51.9
7.33;0.04;10.07;1.51;25.5;0.7;54.85
8.6;0.07;10.91;2.6;22.54;1.24;54.05
9.16;0.02;7.54;1.03;21.84;0.72;59.7
8.11;0.04;9.11;1.25;24.99;0.85;55.64
9.37;0.04;7.83;1.5;21.33;1.29;58.63
8.07;0.03;6.95;1.11;19.08;0.49;64.27
7.59;0.04;12.33;3.02;19.48;0.12;57.43
9.64;0.15;9.0;1.65;26.71;0.14;52.7
9.29;0.16;7.29;1.94;24.16;0.15;57.02
9.13;0.11;7.08;1.88;27.46;0.31;54.04
11.66;0.1;8.31;21.45;7.58;29.31;21.59
9.14;0.08;9.02;1.39;26.39;0.26;53.72
8.48;0.08;6.11;1.93;20.75;0.3;62.35
7.16;0.08;5.08;1.8;19.38;0.25;66.25
6.84;0.07;7.35;1.49;18.86;0.22;65.18
8.72;0.04;10.48;1.72;27.32;0.44;51.28
9.78;0.07;9.02;1.85;22.57;0.32;56.39
7.13;0.07;7.83;1.8;27.36;0.22;55.58
13.27;0.36;11.78;3.33;29.71;0.11;41.44
11.43;0.42;11.58;4.1;31.97;0.1;40.4
12.35;0.32;10.57;2.96;28.04;0.12;45.64
7.26;0.07;7.78;2.48;30.73;0.11;51.58
5.39;0.04;6.45;2.11;18.49;0.32;67.22
4.0;0.03;4.8;1.7;19.64;0.47;69.35
4.39;0.02;5.68;0.96;22.26;0.64;66.06
6.52;0.02;7.37;1.17;24.07;0.8;60.05
4.88;0.02;8.62;1.12;21.8;1.98;61.58
6.2;0.02;9.58;0.89;27.98;1.64;53.68
3.57;0.08;19.47;7.22;5.66;24.02;39.98
8.06;0.02;10.27;1.61;30.06;2.64;47.33
8.19;0.02;7.14;0.85;23.36;2.5;57.93
2.99;0.03;13.86;6.65;4.59;23.19;48.69
8.44;0.02;8.07;1.55;26.05;4.94;50.93
10.38;0.03;15.58;0.92;26.81;6.36;39.92
5.58;0.04;11.51;0.81;22.32;8.19;51.55
7.9;0.2;18.36;0.49;29.5;6.49;37.07
5.16;0.13;20.35;1.57;11.12;12.05;49.61
3.07;0.33;7.15;1.16;9.98;8.33;69.96
4.22;1.06;4.57;2.04;8.42;3.21;76.48
6.39;1.21;6.02;1.67;16.53;2.26;65.92
3.88;0.02;15.11;6.61;4.01;25.16;45.2
4.3;0.75;4.77;4.93;9.95;1.43;73.88
3.19;0.31;3.43;2.92;9.91;1.44;78.8
1.77;0.24;2.56;3.72;8.08;0.73;82.89
7.23;0.85;2.11;1.4;19.84;2.4;66.17
5.63;0.5;3.11;1.44;21.08;2.29;65.94
11.23;0.69;3.28;1.03;22.53;3.32;57.92
2.97;1.43;3.49;0.9;17.24;0.43;73.53
4.42;1.4;4.19;0.81;14.9;0.49;73.79
2.61;1.05;3.73;0.64;12.63;0.18;79.16
4.9;1.21;8.32;0.76;16.58;0.48;67.75
6.43;1.06;8.18;1.0;22.25;0.39;60.7
10.01;1.32;9.92;2.64;36.3;1.11;38.72
7.29;0.01;11.91;9.57;3.92;36.75;30.56
4.83;0.16;5.95;7.77;19.68;0.86;60.75
12.01;0.11;5.99;4.07;19.43;0.55;57.83
8.54;0.01;12.9;6.59;5.65;7.76;58.53
6.96;0.01;11.73;7.3;5.44;9.79;58.77
5.88;0.02;7.18;0.61;16.55;2.78;66.98
7.76;0.05;12.76;0.83;13.24;2.62;62.75
8.35;0.11;12.0;0.48;15.79;5.64;57.63
9.11;0.11;12.21;0.7;15.51;4.81;57.54
9.09;0.09;14.73;0.84;17.36;9.38;48.52
10.28;0.17;10.71;0.71;20.33;3.27;54.51
8.99;0.14;14.61;0.59;30.28;3.66;41.73
10.22;0.05;20.99;0.39;23.31;6.0;39.04
11.7;0.16;17.29;0.48;23.67;11.31;35.37
4.79;0.07;10.29;0.84;13.1;8.61;62.3
2.89;0.07;10.27;0.8;10.61;6.04;69.31
3.1;0.05;13.15;1.08;12.66;11.88;58.07
2.13;0.02;3.78;0.5;9.22;14.01;70.34
3.18;0.01;5.56;0.28;7.26;19.39;64.32
2.11;0.0;5.23;0.31;6.59;16.14;69.62
3.95;0.0;4.91;0.26;8.1;23.38;59.41
2.67;0.03;7.89;0.47;4.86;26.0;58.09
6.73;0.03;5.84;0.79;5.93;14.49;66.19
7.35;0.05;11.12;0.59;8.61;17.84;54.44
10.74;0.05;8.99;28.63;4.37;22.91;24.31
2.25;0.01;2.08;0.4;3.36;26.99;64.92
4.84;0.02;5.91;1.37;5.43;12.88;69.55
6.83;0.07;3.75;3.34;11.52;0.93;73.57
10.36;0.39;5.2;3.21;17.94;0.29;62.62
11.97;0.58;5.22;1.9;18.02;0.35;61.95
8.51;0.07;3.0;2.13;9.54;0.61;76.15
4.5;0.05;2.3;2.47;8.5;0.63;81.55
3.76;0.01;1.3;1.23;5.13;1.13;87.44
8.35;0.01;4.75;0.59;7.14;5.24;73.93
7.64;0.02;2.03;0.55;5.36;6.53;77.86
4.91;0.05;3.5;1.18;6.65;8.2;75.52
4.86;0.03;4.69;0.78;7.8;19.59;62.24
4.73;0.02;4.4;0.69;6.78;12.88;70.51
3.55;0.12;4.09;0.93;5.62;33.0;52.69
1.03;0.07;2.24;1.28;2.34;45.78;47.27
1.16;0.05;3.11;1.69;3.71;15.68;74.6
1.66;0.02;5.15;1.91;3.87;3.98;83.41
5.69;0.01;9.76;3.45;3.51;19.05;58.54
3.81;0.0;5.08;5.65;2.35;34.69;48.43
6.01;0.0;6.13;8.16;3.9;18.61;57.19
1.61;0.01;3.77;9.05;3.66;1.81;80.09
6.93;0.57;6.82;7.7;13.32;1.31;63.36
12.0;0.19;6.73;11.54;10.78;1.92;56.84
6.74;0.02;4.24;7.98;8.25;1.63;71.14
8.3;0.06;3.76;1.99;10.91;3.95;71.04
8.4;0.01;4.71;1.22;5.69;6.02;73.96
5.63;0.01;2.07;0.84;4.4;6.46;80.58
4.71;0.01;1.97;1.31;4.39;17.33;70.28
5.65;0.02;1.92;0.41;4.73;15.43;71.84
2.18;0.01;1.59;0.37;2.43;73.99;19.45
6.1;0.01;1.68;0.54;4.36;26.09;61.22
4.38;0.02;1.44;0.35;3.15;64.4;26.27
3.35;0.01;1.2;0.83;5.51;34.84;54.25
5.2;0.03;1.68;0.64;3.92;63.09;25.44
4.6;0.01;1.61;0.38;5.54;38.39;49.47
5.48;0.02;3.14;0.5;5.39;44.34;41.14
2.77;0.01;1.41;0.28;1.91;68.1;25.52
3.36;0.01;1.85;0.44;3.51;30.23;60.61
2.56;0.01;1.32;0.48;2.78;52.86;39.99
5.95;0.03;1.2;1.61;6.88;33.51;50.82
14.33;0.45;3.61;1.37;32.02;3.12;45.09
10.07;1.15;2.02;2.08;22.86;1.29;60.54
7.77;0.05;2.78;1.4;17.0;3.53;67.48
7.39;0.01;1.77;0.74;7.66;4.4;78.04
4.48;0.01;1.3;1.21;9.25;12.23;71.5
6.85;0.01;1.8;0.61;5.93;26.29;58.51
6.16;0.01;1.64;0.52;4.82;13.54;73.31
4.79;0.01;1.59;0.57;5.01;38.94;49.09
6.2;0.01;2.06;0.54;6.06;31.87;53.26
4.69;0.0;2.21;0.43;5.09;41.76;45.81
4.91;0.01;2.55;0.58;5.2;47.59;39.17
5.59;0.01;2.08;0.44;5.71;28.44;57.73
5.07;0.01;2.09;0.9;3.74;27.46;60.73
4.5;0.01;1.74;0.88;3.91;46.57;42.41
3.94;0.0;2.2;0.61;4.04;33.55;55.65
4.0;0.01;1.99;0.69;4.46;33.11;55.75
2.68;0.0;1.7;0.49;5.21;27.34;62.58
3.4;0.0;1.89;0.67;3.9;53.29;36.85
4.56;0.01;1.57;0.71;6.33;38.44;48.39
8.17;0.01;2.38;1.01;7.86;33.08;47.5
6.68;0.02;2.44;2.19;8.98;30.7;48.98
6.3;0.01;2.74;0.99;9.24;26.5;54.22
4.5;0.01;1.88;1.05;6.1;34.63;51.82
5.69;0.01;2.17;0.92;8.13;26.14;56.93
7.76;0.01;2.66;1.0;9.24;25.55;53.79
4.6;0.01;2.6;0.46;7.44;39.44;45.44
6.27;0.01;4.26;0.45;7.77;39.39;41.86
4.45;0.01;2.87;1.09;6.41;37.14;48.03
5.46;0.02;2.18;0.63;7.84;21.92;61.95
6.52;0.02;2.28;0.82;10.48;22.01;57.88
7.19;0.02;2.5;0.87;9.96;21.13;58.33
6.66;0.01;3.48;1.17;12.24;25.47;50.95
4.57;0.01;2.44;0.31;4.69;45.62;42.36
5.09;0.0;3.16;0.72;6.14;27.91;56.97
4.86;0.01;2.16;0.82;6.39;22.05;63.71
2.84;0.0;1.99;0.67;5.64;23.03;65.83
4.42;0.01;1.87;0.85;7.08;18.71;67.06
8.15;0.02;3.02;1.22;10.49;27.02;50.09
6.03;0.02;3.83;0.87;7.35;45.29;36.61
5.27;0.01;2.42;0.76;7.66;30.97;52.9
4.33;0.01;2.89;1.28;5.88;37.24;48.37
6.64;0.01;2.7;0.84;8.52;21.41;59.89
9.17;0.02;4.11;1.07;10.39;31.8;43.43
5.68;0.01;2.33;0.69;8.46;23.08;59.76
6.08;0.01;2.51;0.38;6.75;34.63;49.64
4.9;0.0;2.67;0.62;6.85;22.72;62.25
6.52;0.01;5.41;0.56;7.56;46.28;33.66
5.1;0.01;2.13;1.06;8.25;32.83;50.62
9.01;0.01;2.83;0.71;8.87;25.02;53.56
7.09;0.01;3.36;1.02;9.77;35.93;42.82
