Emotions;Percent
angry;4.61
disgust;0.01
scared;8.15
happy;0.13
sad;35.64
surprised;0.22
neutral;51.25
angry;4.03
disgust;0.01
scared;7.91
happy;0.36
sad;29.74
surprised;0.43
neutral;57.51
angry;4.72
disgust;0.01
scared;8.32
happy;0.22
sad;31.87
surprised;0.26
neutral;54.60
angry;3.28
disgust;0.01
scared;8.73
happy;0.28
sad;31.07
surprised;0.30
neutral;56.33
angry;3.64
disgust;0.01
scared;7.51
happy;0.43
sad;26.48
surprised;0.24
neutral;61.68
angry;4.94
disgust;0.02
scared;10.49
happy;0.17
sad;24.42
surprised;0.31
neutral;59.66
angry;3.83
disgust;0.02
scared;9.89
happy;0.18
sad;24.43
surprised;0.19
neutral;61.46
angry;4.29
disgust;0.02
scared;9.37
happy;0.18
sad;26.01
surprised;0.16
neutral;59.97
angry;4.56
disgust;0.02
scared;11.11
happy;0.22
sad;22.50
surprised;0.24
neutral;61.35
angry;4.68
disgust;0.03
scared;10.86
happy;0.19
sad;20.35
surprised;0.23
neutral;63.66
angry;4.44
disgust;0.01
scared;17.10
happy;4.00
sad;5.01
surprised;10.01
neutral;59.44
angry;4.09
disgust;0.00
scared;16.96
happy;4.50
sad;5.02
surprised;11.86
neutral;57.57
angry;2.51
disgust;0.01
scared;6.48
happy;0.24
sad;20.71
surprised;0.09
neutral;69.96
angry;4.48
disgust;0.00
scared;17.80
happy;3.76
sad;4.74
surprised;9.08
neutral;60.13
angry;4.18
disgust;0.01
scared;16.13
happy;4.13
sad;5.18
surprised;10.37
neutral;60.01
angry;3.74
disgust;0.01
scared;7.59
happy;0.23
sad;20.29
surprised;0.07
neutral;68.06
angry;4.96
disgust;0.00
scared;16.95
happy;4.93
sad;3.82
surprised;11.70
neutral;57.65
angry;3.68
disgust;0.01
scared;15.15
happy;5.21
sad;5.69
surprised;17.88
neutral;52.39
angry;3.66
disgust;0.01
scared;15.25
happy;5.17
sad;5.68
surprised;17.86
neutral;52.37
angry;3.83
disgust;0.01
scared;14.94
happy;5.08
sad;5.01
surprised;19.70
neutral;51.45
angry;3.67
disgust;0.01
scared;15.41
happy;5.02
sad;5.19
surprised;16.28
neutral;54.43
angry;5.73
disgust;0.06
scared;12.61
happy;0.11
sad;30.02
surprised;0.04
neutral;51.43
angry;5.43
disgust;0.03
scared;11.34
happy;0.12
sad;35.90
surprised;0.02
neutral;47.15
angry;7.14
disgust;0.03
scared;12.60
happy;0.10
sad;36.74
surprised;0.04
neutral;43.35
angry;4.21
disgust;0.23
scared;17.54
happy;7.02
sad;69.71
surprised;0.07
neutral;1.22
angry;6.48
disgust;0.04
scared;11.26
happy;0.16
sad;30.78
surprised;0.05
neutral;51.23
angry;2.50
disgust;1.08
scared;16.98
happy;6.75
sad;71.96
surprised;0.07
neutral;0.65
angry;6.54
disgust;0.03
scared;11.95
happy;0.11
sad;28.81
surprised;0.05
neutral;52.50
angry;7.89
disgust;0.03
scared;13.43
happy;0.11
sad;34.17
surprised;0.04
neutral;44.34
angry;7.18
disgust;0.03
scared;11.80
happy;0.12
sad;35.87
surprised;0.03
neutral;44.96
angry;4.36
disgust;0.29
scared;11.55
happy;4.84
sad;77.95
surprised;0.08
neutral;0.92
angry;4.64
disgust;0.01
scared;12.96
happy;0.16
sad;25.81
surprised;0.07
neutral;56.35
angry;5.05
disgust;0.26
scared;19.65
happy;5.62
sad;68.51
surprised;0.08
neutral;0.83
angry;5.12
disgust;0.05
scared;10.10
happy;0.13
sad;27.50
surprised;0.05
neutral;57.06
angry;5.33
disgust;0.07
scared;5.94
happy;0.16
sad;27.24
surprised;0.02
neutral;61.24
angry;5.25
disgust;0.04
scared;5.17
happy;0.19
sad;23.09
surprised;0.03
neutral;66.24
angry;5.17
disgust;0.03
scared;5.07
happy;0.21
sad;22.04
surprised;0.02
neutral;67.47
angry;9.31
disgust;0.04
scared;7.25
happy;0.13
sad;24.23
surprised;0.09
neutral;58.95
angry;3.46
disgust;0.01
scared;16.86
happy;5.11
sad;4.74
surprised;9.76
neutral;60.07
angry;5.92
disgust;0.02
scared;7.70
happy;0.12
sad;23.06
surprised;0.08
neutral;63.09
angry;6.46
disgust;0.02
scared;9.91
happy;0.11
sad;31.57
surprised;0.07
neutral;51.85
angry;6.93
disgust;0.03
scared;10.88
happy;0.10
sad;31.12
surprised;0.13
neutral;50.82
angry;6.12
disgust;0.02
scared;10.40
happy;0.10
sad;33.21
surprised;0.10
neutral;50.05
angry;6.32
disgust;0.02
scared;10.43
happy;0.11
sad;33.01
surprised;0.10
neutral;50.01
angry;7.12
disgust;0.02
scared;10.76
happy;0.09
sad;38.03
surprised;0.08
neutral;43.90
angry;7.72
disgust;0.04
scared;8.37
happy;0.10
sad;33.00
surprised;0.07
neutral;50.70
angry;6.40
disgust;0.03
scared;6.67
happy;0.11
sad;29.31
surprised;0.04
neutral;57.44
angry;4.55
disgust;0.01
scared;18.68
happy;5.23
sad;4.79
surprised;10.81
neutral;55.93
angry;11.68
disgust;0.03
scared;16.20
happy;0.06
sad;34.19
surprised;0.15
neutral;37.69
angry;3.88
disgust;0.00
scared;19.62
happy;5.34
sad;4.50
