angry;disgust;scared;happy;sad;surprised;neutral
21.49;0.19;38.97;14.92;3.95;4.74;15.74
17.04;0.03;26.24;16.25;3.3;6.38;30.76
18.63;0.13;27.86;19.75;3.7;4.06;25.88
12.38;0.02;38.71;10.38;5.33;11.48;21.69
18.16;0.22;11.97;58.98;3.11;2.98;4.59
14.69;0.25;34.71;20.18;4.78;3.97;21.42
17.96;0.24;41.67;16.05;3.54;4.02;16.51
7.05;0.02;23.78;14.27;4.51;7.63;42.75
8.53;0.08;13.24;19.82;19.68;2.18;36.47
10.65;0.04;12.64;25.92;19.89;1.43;29.43
3.69;0.13;14.71;14.06;16.73;6.2;44.48
7.07;0.19;21.3;17.61;27.76;12.38;13.67
21.68;0.05;29.36;30.43;2.99;3.18;12.31
21.01;0.2;31.43;26.06;5.11;2.35;13.84
7.27;0.04;21.78;11.84;3.25;19.09;36.74
19.57;0.17;35.16;15.93;3.38;5.81;19.98
17.38;0.25;36.72;16.29;2.64;8.63;18.09
19.16;0.15;33.65;13.68;2.91;6.14;24.31
11.96;0.0;13.3;6.31;2.49;6.85;59.09
6.74;0.4;28.99;37.08;2.98;9.08;14.73
11.63;0.76;29.08;38.33;3.93;4.44;11.84
19.29;0.15;32.81;17.35;3.24;5.45;21.71
20.69;0.13;34.28;15.0;3.23;4.75;21.91
20.15;0.15;36.96;13.88;3.03;5.29;20.55
18.45;1.05;26.58;36.08;5.12;2.27;10.46
10.4;0.84;29.29;39.38;3.62;5.22;11.25
7.2;0.7;26.24;45.65;3.88;4.38;11.95
15.87;0.8;35.5;31.2;4.51;2.78;9.35
8.12;1.06;33.15;37.71;3.69;5.55;10.73
10.75;1.3;30.98;38.17;4.56;3.13;11.11
10.25;1.29;31.66;35.89;4.31;3.37;13.23
8.65;1.05;32.51;35.26;4.22;4.72;13.59
7.7;0.68;34.21;31.1;4.55;6.32;15.44
12.83;0.68;35.33;30.48;4.33;3.89;12.46
11.41;1.37;34.2;32.8;2.9;4.96;12.37
7.03;0.03;5.12;27.69;46.4;0.22;13.51
16.77;0.35;17.09;32.38;6.32;5.98;21.11
14.59;0.01;15.87;10.66;2.91;6.91;49.05
5.54;0.02;16.67;7.9;5.85;14.19;49.84
10.41;0.01;16.5;9.01;3.09;6.87;54.11
16.03;0.19;12.32;25.89;6.45;8.73;30.39
8.52;0.02;16.72;15.19;2.65;6.28;50.61
9.07;0.01;15.51;12.52;2.86;9.85;50.18
9.54;0.01;16.24;13.01;2.66;10.92;47.63
8.89;0.01;16.87;15.71;2.74;6.59;49.19
10.05;0.02;14.96;11.3;3.09;8.86;51.73
10.82;0.02;15.15;12.39;2.88;7.76;50.98
10.49;0.01;15.99;11.92;3.36;7.0;51.23
9.6;0.02;15.18;10.86;3.19;7.51;53.65
10.3;0.01;15.67;12.3;2.95;6.52;52.24
9.87;0.01;16.99;13.23;2.9;7.26;49.74
19.62;0.51;23.09;12.21;12.63;6.04;25.9
20.58;0.4;23.18;10.81;13.67;5.49;25.87
