Emotions;Percent
angry;48.77
disgust;0.36
scared;28.67
happy;5.06
sad;4.57
surprised;1.77
neutral;10.79
angry;49.04
disgust;0.36
scared;28.76
happy;5.04
sad;4.56
surprised;1.80
neutral;10.44
angry;44.06
disgust;0.36
scared;31.96
happy;5.47
sad;5.25
surprised;1.56
neutral;11.34
angry;44.06
disgust;0.36
scared;31.96
happy;5.47
sad;5.25
surprised;1.56
neutral;11.34
angry;47.83
disgust;0.30
scared;30.60
happy;5.04
sad;5.01
surprised;1.12
neutral;10.10
angry;50.79
disgust;0.19
scared;31.26
happy;4.16
sad;4.33
surprised;0.92
neutral;8.35
angry;44.09
disgust;0.52
scared;27.39
happy;5.10
sad;5.39
surprised;1.59
neutral;15.93
angry;41.79
disgust;0.66
scared;33.47
happy;3.87
sad;5.50
surprised;1.58
neutral;13.14
angry;41.79
disgust;0.66
scared;33.47
happy;3.87
sad;5.50
surprised;1.58
neutral;13.14
angry;41.34
disgust;0.53
scared;34.47
happy;4.60
sad;5.56
surprised;1.00
neutral;12.51
angry;39.26
disgust;0.72
scared;27.86
happy;8.25
sad;4.50
surprised;1.67
neutral;17.74
angry;39.26
disgust;0.72
scared;27.85
happy;8.25
sad;4.51
surprised;1.67
neutral;17.75
angry;49.89
disgust;0.41
scared;29.09
happy;3.71
sad;4.58
surprised;1.24
neutral;11.09
angry;50.02
disgust;0.42
scared;29.04
happy;3.78
sad;4.66
surprised;1.18
neutral;10.90
angry;44.65
disgust;0.34
scared;27.61
happy;7.13
sad;6.09
surprised;0.81
neutral;13.38
angry;48.43
disgust;0.33
scared;28.13
happy;5.29
sad;5.08
surprised;0.98
neutral;11.75
angry;49.41
disgust;0.26
scared;25.93
happy;6.70
sad;5.67
surprised;0.82
neutral;11.21
angry;48.36
disgust;0.30
scared;27.41
happy;6.79
sad;6.16
surprised;0.75
neutral;10.22
angry;44.13
disgust;0.24
scared;22.90
happy;9.72
sad;6.81
surprised;0.99
neutral;15.20
angry;44.13
disgust;0.24
scared;22.90
happy;9.72
sad;6.81
surprised;0.99
neutral;15.20
angry;43.51
disgust;0.45
scared;22.86
happy;9.58
sad;7.28
surprised;1.03
neutral;15.29
angry;42.32
disgust;1.00
scared;29.58
happy;6.44
sad;6.44
surprised;1.47
neutral;12.76
angry;42.32
disgust;1.00
scared;29.58
happy;6.44
sad;6.44
surprised;1.47
neutral;12.76
angry;49.11
disgust;1.05
scared;24.77
happy;5.03
sad;6.58
surprised;1.13
neutral;12.32
angry;41.78
disgust;1.91
scared;30.67
happy;3.44
sad;5.04
surprised;1.54
neutral;15.62
angry;52.24
disgust;1.31
scared;28.51
happy;3.18
sad;3.93
surprised;1.64
neutral;9.20
angry;52.14
disgust;1.32
scared;28.48
happy;3.22
sad;3.93
surprised;1.64
neutral;9.27
angry;44.27
disgust;1.77
scared;43.93
happy;2.61
sad;3.33
surprised;0.72
neutral;3.37
angry;44.27
disgust;1.77
scared;43.93
happy;2.61
sad;3.33
surprised;0.72
neutral;3.37
angry;65.34
disgust;2.66
scared;23.32
happy;2.21
sad;3.46
surprised;0.56
neutral;2.45
angry;58.46
disgust;5.50
scared;28.93
happy;0.87
sad;3.53
surprised;0.71
neutral;2.00
angry;58.46
disgust;5.50
scared;28.93
happy;0.87
sad;3.53
surprised;0.71
neutral;2.00
angry;58.16
disgust;1.37
scared;32.06
happy;1.59
sad;3.61
surprised;0.58
neutral;2.64
angry;79.24
disgust;1.19
scared;15.20
happy;0.41
sad;2.15
surprised;0.39
neutral;1.43
angry;79.24
disgust;1.19
scared;15.20
happy;0.41
sad;2.15
surprised;0.39
neutral;1.43
angry;72.29
disgust;1.69
scared;18.96
happy;1.03
sad;3.50
surprised;0.40
neutral;2.12
angry;72.28
disgust;1.69
scared;18.97
happy;1.04
sad;3.51
surprised;0.40
neutral;2.12
angry;68.45
disgust;1.20
scared;25.53
happy;0.70
sad;2.39
surprised;0.59
neutral;1.14
angry;68.34
disgust;1.21
scared;25.61
happy;0.70
sad;2.40
surprised;0.59
neutral;1.15
angry;79.74
disgust;1.11
scared;13.39
happy;0.89
sad;3.13
surprised;0.26
neutral;1.47
angry;10.32
disgust;0.14
scared;29.06
happy;5.31
sad;17.23
surprised;12.59
neutral;25.35
angry;10.31
disgust;0.14
scared;29.04
happy;5.30
sad;17.21
surprised;12.66
neutral;25.33
angry;6.08
disgust;0.40
scared;24.35
happy;8.36
sad;13.87
surprised;14.58
neutral;32.36
angry;6.05
disgust;0.39
scared;24.38
happy;8.42
sad;13.84
surprised;14.53
neutral;32.38
angry;6.57
disgust;0.34
scared;21.03
happy;8.46
sad;16.26
surprised;12.92
neutral;34.42
angry;17.76
disgust;0.02
scared;30.56
happy;8.52
sad;36.37
surprised;0.75
neutral;6.02
angry;17.76
disgust;0.02
scared;30.56
happy;8.52
sad;36.37
surprised;0.75
neutral;6.02
angry;7.64
disgust;0.27
scared;29.89
happy;4.95
sad;13.11
surprised;16.95
neutral;27.19
angry;6.20
disgust;0.26
scared;26.11
happy;4.98
sad;14.21
surprised;18.39
neutral;29.85
angry;5.89
disgust;0.20
scared;25.71
happy;4.37
sad;14.27
surprised;11.18
neutral;38.37
angry;6.13
disgust;0.23
scared;25.26
happy;4.29
sad;12.51
surprised;12.16
neutral;39.41
angry;6.15
disgust;0.24
scared;25.04
happy;4.30
sad;12.54
surprised;12.10
neutral;39.63
angry;75.49
disgust;1.89
scared;18.40
happy;0.50
sad;1.37
surprised;0.42
neutral;1.93
angry;63.43
disgust;1.95
scared;28.78
happy;0.58
sad;3.11
surprised;0.39
neutral;1.76
angry;63.44
disgust;1.96
scared;28.77
happy;0.58
sad;3.11
surprised;0.39
neutral;1.76
angry;64.92
disgust;4.37
scared;24.19
happy;0.67
sad;2.83
surprised;0.52
neutral;2.50
angry;59.50
disgust;4.70
scared;28.88
happy;0.71
sad;2.90
surprised;0.58
neutral;2.72
angry;59.50
disgust;4.70
scared;28.88
happy;0.71
sad;2.90
surprised;0.58
neutral;2.72
angry;67.53
disgust;1.74
scared;23.74
happy;0.69
sad;3.40
surprised;0.39
neutral;2.52
angry;63.75
disgust;2.28
scared;27.50
happy;0.57
sad;3.27
surprised;0.43
neutral;2.19
angry;63.75
disgust;2.28
scared;27.50
happy;0.57
sad;3.27
surprised;0.43
neutral;2.19
angry;68.31
disgust;1.50
scared;24.74
happy;0.89
sad;2.61
surprised;0.49
neutral;1.45
angry;68.31
disgust;1.50
scared;24.74
happy;0.89
sad;2.61
surprised;0.49
neutral;1.45
angry;63.12
disgust;0.75
scared;29.36
happy;0.84
sad;3.16
surprised;0.54
neutral;2.25
angry;63.12
disgust;0.75
scared;29.36
happy;0.84
sad;3.16
surprised;0.54
neutral;2.25
angry;59.66
disgust;1.90
scared;31.51
happy;1.07
sad;2.77
surprised;0.70
neutral;2.39
angry;62.53
disgust;3.54
scared;26.89
happy;1.29
sad;2.23
surprised;0.61
neutral;2.91
angry;62.53
disgust;3.54
scared;26.88
happy;1.29
sad;2.23
surprised;0.61
neutral;2.91
angry;68.11
disgust;3.23
scared;22.18
happy;0.90
sad;2.51
surprised;0.64
neutral;2.43
angry;50.33
disgust;4.26
scared;36.33
happy;0.66
sad;4.23
surprised;0.92
neutral;3.28
angry;50.33
disgust;4.26
