angry;disgust;scared;happy;sad;surprised;neutral
9.61;0.04;14.94;25.62;5.94;2.01;41.84
4.76;0.1;14.4;20.37;4.33;6.63;49.41
4.75;0.04;18.15;18.95;4.77;8.28;45.06
4.53;0.14;19.07;25.56;5.43;6.64;38.63
3.94;0.11;17.59;31.48;5.27;7.4;34.21
6.91;0.06;16.38;33.07;5.76;6.71;31.11
4.56;0.04;13.71;35.96;4.11;5.46;36.16
4.06;0.03;11.81;42.93;4.24;5.08;31.85
4.31;0.01;14.57;38.56;3.65;3.88;35.02
4.6;0.03;15.14;14.49;4.53;6.98;54.24
6.33;0.02;16.02;26.05;3.09;7.86;40.62
10.23;0.08;15.76;18.02;4.06;13.43;38.43
12.03;0.03;14.69;16.05;3.57;10.99;42.63
12.73;0.04;15.93;14.14;3.64;10.48;43.04
3.32;0.01;14.0;40.87;6.8;1.9;33.09
2.92;0.01;9.85;45.8;5.4;2.09;33.93
2.82;0.01;9.88;43.63;5.81;1.89;35.97
3.66;0.01;15.23;34.14;4.59;2.66;39.71
2.89;0.01;12.34;33.51;6.42;1.96;42.88
2.95;0.01;13.69;31.19;6.55;2.19;43.42
2.76;0.01;12.18;31.14;5.66;2.04;46.21
2.95;0.02;13.25;27.15;5.79;3.95;46.91
8.2;0.04;18.21;27.53;6.62;4.91;34.47
3.67;0.05;10.44;41.84;2.9;13.1;28.01
4.25;0.04;8.44;31.89;6.19;5.26;43.93
3.49;0.05;12.05;28.59;7.32;4.14;44.36
2.55;0.03;10.11;50.47;5.22;5.44;26.17
3.12;0.04;10.07;49.22;4.47;4.54;28.54
4.73;0.04;9.91;40.71;5.09;4.06;35.46
3.56;0.03;9.29;56.19;4.47;2.65;23.81
2.71;0.04;10.85;52.62;4.12;2.85;26.82
2.43;0.04;6.71;58.28;4.09;1.75;26.69
4.03;0.08;7.76;62.08;3.99;4.11;17.96
5.96;0.13;11.84;32.81;7.0;6.59;35.67
12.15;0.11;12.69;23.61;5.12;14.12;32.2
13.43;0.1;13.1;18.58;4.68;14.89;35.22
10.23;0.04;11.89;18.57;3.24;22.22;33.8
4.1;0.03;13.0;30.81;6.1;2.53;43.42
13.35;0.02;23.58;9.71;5.75;5.62;41.96
7.27;0.03;12.57;34.62;6.56;2.82;36.11
7.65;0.07;19.6;27.19;7.76;2.46;35.27
6.88;0.07;16.27;23.0;8.05;1.83;43.89
4.8;0.16;9.76;42.35;5.56;2.94;34.44
4.46;0.18;7.58;40.06;5.36;3.03;39.33
4.96;0.12;15.79;28.65;6.96;2.86;40.67
6.58;0.03;20.81;19.26;5.78;2.85;44.69
5.8;0.07;11.75;32.18;6.67;1.05;42.48
4.48;0.12;7.05;41.28;8.62;0.71;37.73
