angry;disgust;scared;happy;sad;surprised;neutral
10.23;0.06;5.0;3.13;13.16;10.85;57.57
22.68;40.91;10.16;10.26;7.83;4.04;4.12
2.54;0.0;1.23;1.07;4.02;1.98;89.17
1.78;0.0;0.92;1.52;2.49;0.47;92.82
33.75;11.49;10.95;7.14;16.69;3.0;16.97
1.2;0.0;0.88;2.79;1.98;0.51;92.63
1.4;0.0;1.42;1.41;2.09;1.07;92.61
0.82;0.0;0.58;2.53;1.41;0.32;94.35
0.65;0.0;1.22;1.97;1.97;0.66;93.54
1.2;0.0;1.27;3.36;2.11;0.49;91.57
0.51;0.0;0.61;1.03;1.11;0.26;96.48
0.71;0.0;0.47;1.1;0.93;0.2;96.58
0.87;0.0;0.78;3.02;1.93;0.2;93.22
1.71;0.01;2.66;5.02;6.26;0.74;83.6
1.62;0.01;1.92;4.35;4.89;0.18;87.04
2.76;0.11;11.02;8.34;53.86;0.77;23.14
1.41;0.01;1.65;7.65;4.33;0.22;84.74
1.84;0.0;1.02;2.02;5.04;0.2;89.88
1.41;0.0;1.0;4.92;4.69;0.16;87.81
1.91;0.01;2.16;1.39;8.3;0.3;85.94
1.61;0.01;2.89;1.73;7.35;0.16;86.26
0.59;0.0;0.87;3.25;2.04;0.24;93.01
0.87;0.0;1.1;3.09;2.41;0.22;92.31
0.89;0.0;0.51;0.87;1.2;0.18;96.35
0.73;0.0;0.9;3.84;1.8;0.57;92.16
0.46;0.0;0.55;2.59;2.28;0.13;93.99
0.6;0.0;0.72;3.74;1.75;0.28;92.91
0.45;0.0;0.22;1.06;0.79;0.05;97.43
0.44;0.0;0.23;2.36;0.79;0.09;96.1
8.24;54.59;6.15;2.98;8.86;18.0;1.19
0.53;0.0;0.51;1.89;1.01;0.14;95.92
0.45;0.0;0.26;2.67;0.62;0.06;95.93
0.24;0.0;0.17;2.18;0.61;0.08;96.72
1.5;0.31;9.72;35.04;32.06;0.31;21.05
0.37;0.0;0.47;2.17;1.27;0.23;95.49
1.02;0.0;0.79;1.0;2.64;0.21;94.34
0.78;0.0;0.83;1.71;2.56;0.12;94.0
1.15;0.02;5.84;7.18;36.0;0.13;49.7
2.72;0.01;2.93;2.23;7.49;0.54;84.08
14.04;54.96;7.2;3.5;9.3;9.35;1.65
0.7;0.01;0.74;3.83;3.08;0.16;91.49
0.83;0.0;1.14;4.38;5.85;0.07;87.73
0.96;0.0;1.39;1.84;4.85;0.14;90.83
0.81;0.0;1.05;1.72;2.38;0.09;93.95
0.91;0.0;0.91;0.56;1.73;0.08;95.81
0.87;0.0;1.18;1.59;2.2;0.25;93.91
0.93;0.0;1.12;1.3;2.32;0.14;94.19
0.66;0.0;0.62;0.7;1.37;0.14;96.51
0.63;0.0;1.6;1.46;1.92;0.45;93.93
0.82;0.0;0.84;0.91;1.99;0.2;95.23
0.75;0.0;0.54;0.92;1.48;0.1;96.21
1.01;0.0;1.91;1.48;2.06;0.37;93.16
1.31;0.0;1.96;0.71;2.06;0.26;93.7
0.58;0.0;1.47;1.23;1.89;0.41;94.43
0.36;0.0;0.48;1.4;1.44;0.27;96.05
0.52;0.0;0.73;2.03;1.02;0.25;95.45
0.4;0.0;0.61;1.68;1.36;0.22;95.73
0.69;0.0;0.96;1.71;2.35;0.32;93.96
34.39;44.43;3.7;5.65;7.18;2.25;2.4
44.73;22.14;6.1;7.67;8.35;7.66;3.35
0.33;0.0;0.35;1.33;1.13;0.08;96.78
0.62;0.0;0.61;0.45;1.21;0.21;96.89
0.43;0.0;0.35;0.75;0.85;0.12;97.5
0.6;0.0;0.65;1.9;1.38;0.94;94.53
0.44;0.0;0.4;0.52;0.85;0.09;97.7
0.54;0.0;0.56;1.35;1.42;0.29;95.84
0.45;0.0;0.36;0.45;0.67;0.08;97.99
1.14;0.0;1.23;1.72;2.7;0.12;93.08
3.07;0.22;7.02;5.13;37.02;0.39;47.14
0.66;0.0;0.85;0.82;2.82;0.21;94.64
0.45;0.0;0.79;2.11;2.42;0.5;93.73
0.9;0.0;1.35;1.61;4.18;0.79;91.16
0.88;0.0;1.08;2.85;3.23;0.62;91.35
2.2;0.24;5.12;13.5;32.35;0.33;46.25
0.43;0.0;0.83;1.76;1.67;0.65;94.66
0.43;0.0;0.42;0.68;1.27;0.39;96.81
0.3;0.0;0.45;2.71;1.07;0.48;95.0
20.92;46.3;6.44;7.6;10.18;5.84;2.72
0.58;0.0;0.51;2.31;1.73;0.88;94.0
1.0;0.0;0.92;0.45;1.68;0.24;95.71
0.73;0.0;0.81;0.78;1.84;0.34;95.5
0.8;0.0;0.67;1.53;1.96;0.38;94.66
0.97;0.0;0.96;0.78;2.34;0.42;94.53
0.46;0.0;0.43;0.94;1.21;0.21;96.75
0.39;0.0;0.41;1.37;0.97;0.11;96.75
0.56;0.0;0.58;0.67;0.77;0.41;97.01
0.45;0.0;0.32;0.82;0.85;0.22;97.33
0.82;0.0;0.8;0.77;1.43;0.14;96.04
0.57;0.0;0.52;0.95;1.4;0.49;96.08
0.37;0.0;0.52;1.23;0.97;0.56;96.35
