angry;disgust;scared;happy;sad;surprised;neutral
16.16;0.18;8.51;1.18;23.52;0.34;50.11
15.0;0.25;9.99;2.21;22.89;0.49;49.16
14.68;0.11;7.4;0.91;21.06;0.2;55.64
17.91;0.47;8.41;1.4;24.16;0.4;47.25
13.75;0.22;7.53;0.59;23.2;0.26;54.45
12.13;0.17;8.67;1.31;25.94;0.34;51.44
14.51;0.24;8.58;1.13;22.95;0.3;52.29
14.57;0.06;7.1;1.53;24.26;0.31;52.16
13.67;0.17;5.38;1.46;22.99;0.09;56.24
11.83;0.16;7.42;1.62;22.64;0.25;56.08
10.29;0.07;4.1;1.02;13.98;0.15;70.39
13.06;0.12;7.36;0.74;22.22;0.23;56.27
11.76;0.24;9.68;1.64;26.02;0.33;50.33
14.79;0.09;6.35;0.89;18.27;0.16;59.44
13.45;0.08;5.77;0.73;17.17;0.18;62.62
10.03;0.1;4.89;1.02;20.01;0.19;63.77
13.98;0.17;6.94;1.37;22.58;0.18;54.77
15.95;0.09;6.2;1.26;20.76;0.2;55.54
13.55;0.08;6.51;0.94;20.99;0.17;57.76
15.21;0.08;5.67;1.03;21.67;0.18;56.16
20.96;0.07;7.04;1.34;27.21;0.17;43.22
13.75;0.13;7.24;2.41;29.05;0.3;47.11
17.71;0.17;8.69;1.87;28.14;0.33;43.09
14.63;0.07;8.14;1.75;34.57;0.17;40.67
11.48;0.23;9.35;1.88;25.1;0.29;51.68
15.71;0.1;6.24;1.13;25.25;0.13;51.44
13.55;0.13;8.59;2.61;25.76;0.32;49.05
16.72;0.11;9.85;1.75;25.61;0.3;45.66
14.65;0.07;7.01;1.22;18.82;0.23;58.0
12.96;0.06;6.56;1.21;20.47;0.26;58.48
16.63;0.1;4.74;0.84;16.68;0.18;60.84
12.94;0.17;6.07;2.08;18.47;0.27;60.0
21.21;0.13;4.05;1.78;13.71;0.15;58.98
18.71;0.12;6.13;1.51;21.15;0.19;52.19
17.06;0.09;7.19;1.24;21.68;0.34;52.4
12.39;0.11;6.29;1.73;18.26;0.28;60.93
17.99;0.07;6.49;2.09;17.17;0.23;55.97
17.23;0.06;7.74;1.95;21.46;0.28;51.28
10.82;0.13;9.63;1.73;23.55;0.33;53.82
11.43;0.09;8.05;2.43;23.46;0.3;54.24
13.87;0.15;7.98;1.5;27.82;0.29;48.39
13.65;0.19;8.84;2.57;21.87;0.36;52.52
15.41;0.09;6.67;2.56;21.45;0.2;53.62
13.05;0.14;5.64;1.18;19.51;0.2;60.27
14.49;0.07;9.73;1.9;28.39;0.28;45.14
