angry;disgust;scared;happy;sad;surprised;neutral
11.15;1.02;30.37;0.06;24.68;0.6;32.12
9.91;1.02;22.82;0.05;32.91;0.35;32.94
12.46;2.18;28.59;0.05;26.08;0.42;30.24
10.02;0.72;19.51;0.1;25.41;0.28;43.96
16.84;0.9;11.46;0.27;42.45;0.1;27.98
10.18;1.16;15.78;0.34;36.91;0.17;35.47
16.41;1.5;25.64;0.1;22.99;0.38;32.97
12.44;2.75;31.51;0.09;21.52;0.62;31.09
13.53;0.66;21.82;0.06;23.6;0.4;39.93
9.6;0.54;23.62;0.05;25.79;0.47;39.94
11.31;0.7;32.69;0.04;20.03;0.74;34.49
11.27;0.97;29.55;0.05;19.67;0.64;37.85
16.37;1.78;26.5;0.09;20.67;0.53;34.08
12.76;1.06;34.08;0.03;30.61;0.3;21.15
17.19;1.64;28.94;0.04;27.98;0.42;23.79
16.9;1.09;26.61;0.04;25.43;0.42;29.51
13.91;0.86;27.15;0.05;26.79;0.47;30.77
17.09;1.06;31.34;0.01;35.14;0.27;15.08
14.68;0.9;27.65;0.03;22.98;0.3;33.46
14.57;0.86;31.61;0.03;25.95;0.33;26.65
14.77;0.83;34.97;0.01;26.76;0.5;22.16
14.63;1.47;25.37;0.05;24.53;0.57;33.39
13.69;1.27;18.72;0.2;31.12;0.16;34.84
16.82;1.25;15.98;0.12;31.88;0.1;33.86
13.11;1.71;13.02;0.13;39.57;0.18;32.27
25.2;0.38;10.57;28.96;20.81;1.93;12.15
13.04;0.68;19.02;0.03;28.2;0.18;38.85
15.38;1.06;25.48;0.04;23.9;0.42;33.73
8.28;0.56;24.26;0.06;26.08;0.23;40.53
18.02;1.18;22.33;0.02;31.01;0.27;27.16
16.09;0.36;10.8;0.1;36.92;0.14;35.59
13.7;0.79;19.3;0.14;27.4;0.4;38.27
12.51;0.44;25.21;0.06;25.67;0.38;35.73
13.07;0.46;21.21;0.03;28.09;0.5;36.64
15.23;0.51;20.77;0.13;27.7;0.58;35.07
12.01;0.47;8.68;0.46;26.02;0.21;52.16
9.42;0.13;12.45;0.06;29.52;0.2;48.23
12.93;0.4;19.28;0.04;34.45;0.31;32.6
21.81;0.27;15.49;13.64;13.83;8.64;26.33
10.95;0.24;8.94;0.77;23.7;0.19;55.2
20.97;0.73;14.67;0.2;26.25;0.04;37.14
11.48;0.82;10.21;0.49;31.83;0.15;45.02
9.31;0.14;11.27;0.15;32.94;0.16;46.04
7.88;0.23;10.8;0.11;27.72;0.16;53.11
14.22;0.35;14.25;0.06;25.74;0.26;45.12
13.37;1.01;19.92;0.12;19.76;0.2;45.62
14.52;0.57;18.99;0.11;23.57;0.4;41.83
13.7;0.16;17.0;0.1;26.67;0.28;42.08
11.32;0.1;16.7;0.14;18.62;0.36;52.76
12.18;0.14;11.87;0.13;19.37;0.2;56.11
7.89;0.13;12.44;0.56;16.85;0.24;61.9
13.45;0.13;17.92;0.66;21.63;0.28;45.92
12.86;0.05;13.68;0.53;20.68;0.15;52.05
14.58;0.04;14.04;0.27;25.36;0.14;45.57
14.39;0.04;9.16;0.38;28.4;0.15;47.48
10.18;0.06;12.66;0.39;23.37;0.09;53.26
10.36;0.04;6.87;0.35;16.97;0.25;65.17
9.85;0.17;4.67;0.35;14.51;0.14;70.31
8.83;0.19;10.5;0.32;15.78;0.11;64.27
8.65;0.36;15.76;0.22;17.0;0.22;57.78
13.32;0.19;19.16;0.08;17.49;0.31;49.46
5.61;0.28;14.27;0.12;13.92;0.35;65.45
8.51;0.4;10.16;0.2;15.1;0.25;65.38
11.11;0.32;16.38;0.14;20.65;0.22;51.18
10.14;0.26;17.3;0.24;18.51;0.34;53.2
9.94;0.18;17.39;0.08;24.75;0.22;47.43
15.65;0.72;25.95;0.31;23.16;0.63;33.58
15.19;0.15;18.04;0.11;27.49;0.21;38.81
11.58;0.12;20.27;0.11;23.95;0.3;43.67
7.62;0.07;16.59;0.11;21.84;0.2;53.57
7.0;0.09;19.03;0.29;18.56;0.27;54.76
8.88;0.22;19.79;0.55;18.86;0.25;51.46
3.8;0.06;7.28;0.66;9.29;0.2;78.71
3.82;0.08;9.72;0.79;13.96;0.14;71.49
8.38;0.14;13.73;1.07;20.78;0.18;55.72
6.26;0.03;12.08;0.32;22.68;0.17;58.46
10.14;0.05;11.96;0.76;24.32;0.35;52.42
6.85;0.09;15.11;0.3;28.1;0.29;49.26
10.08;0.12;16.99;0.88;31.06;0.22;40.66
7.39;0.03;14.24;0.41;29.5;0.16;48.28
7.31;0.05;14.31;0.61;28.69;0.29;48.74
