angry;disgust;scared;happy;sad;surprised;neutral
12.18;0.07;5.24;21.07;54.17;0.36;6.91
20.69;3.36;13.91;29.54;14.77;3.04;14.7
3.52;0.03;11.29;6.12;5.82;13.8;59.41
8.22;0.02;64.83;0.93;9.96;7.16;8.88
7.67;0.02;47.04;2.63;9.58;14.89;18.17
6.65;0.03;5.5;26.24;3.17;30.77;27.65
6.53;0.05;5.78;23.47;3.51;35.37;25.29
7.34;0.03;4.82;24.21;3.22;30.51;29.86
8.25;0.04;5.33;25.09;4.7;29.55;27.04
8.11;0.02;6.49;26.16;3.92;29.79;25.52
7.44;0.02;6.95;18.37;3.43;40.79;23.0
35.97;0.07;19.68;22.38;2.02;14.66;5.21
33.21;0.1;12.18;34.65;0.94;13.83;5.1
33.6;0.09;14.69;29.91;1.31;16.13;4.27
20.24;0.12;3.0;69.55;0.59;4.02;2.48
40.17;0.15;21.83;23.45;4.94;2.57;6.88
5.33;0.0;6.48;20.85;3.12;30.49;33.73
6.59;0.02;9.05;16.73;4.12;26.48;37.01
5.47;0.02;6.05;12.12;2.83;33.29;40.23
42.39;0.0;17.85;7.47;27.35;0.12;4.82
41.65;0.01;17.84;11.15;18.56;0.37;10.42
17.71;0.03;10.13;9.63;8.71;6.91;46.88
13.29;0.04;33.64;4.13;7.66;12.26;28.97
11.48;0.02;20.76;12.8;8.26;10.84;35.83
12.05;0.02;10.14;10.84;6.94;4.7;55.32
22.44;0.05;11.98;7.89;10.6;4.58;42.47
16.12;0.06;16.32;5.3;9.49;8.27;44.44
22.36;0.02;19.98;2.12;11.42;14.47;29.64
18.94;0.02;12.97;1.65;7.85;11.17;47.4
19.49;0.02;20.8;1.66;12.34;3.49;42.19
29.72;0.23;23.45;3.32;6.49;8.58;28.21
17.17;0.03;13.89;2.61;11.76;4.77;49.76
26.81;0.03;8.76;3.24;9.36;3.87;47.93
23.7;0.08;5.3;3.97;5.56;2.92;58.47
15.22;0.05;5.62;4.07;4.98;3.36;66.7
15.82;0.06;3.98;5.23;4.14;3.97;66.81
15.62;0.05;4.34;1.83;10.21;1.29;66.67
