angry;disgust;scared;happy;sad;surprised;neutral
3.21;0.01;34.27;0.18;10.16;4.12;48.04
5.46;0.01;28.83;0.18;11.14;3.62;50.75
3.78;0.02;34.69;0.22;9.83;5.43;46.03
1.83;0.02;16.41;0.21;12.16;3.2;66.17
3.88;0.01;26.19;0.29;11.05;2.8;55.76
4.98;0.04;16.0;0.42;13.02;1.65;63.89
2.53;0.01;11.84;0.36;8.89;1.02;75.35
1.22;0.02;1.4;0.29;6.12;0.03;90.92
1.14;0.27;1.79;1.26;5.68;0.02;89.83
1.88;0.29;3.96;0.66;9.89;0.05;83.25
1.55;0.3;2.78;1.51;9.39;0.05;84.43
1.49;0.4;2.04;0.98;11.64;0.03;83.43
1.36;0.31;1.89;0.49;10.29;0.03;85.63
1.87;0.41;1.82;0.57;9.64;0.04;85.66
2.3;0.24;6.02;0.37;15.12;0.26;75.69
2.3;0.19;4.36;0.48;10.13;0.45;82.08
2.57;0.14;5.42;0.47;8.89;0.71;81.79
3.18;0.11;9.61;0.32;11.52;0.87;74.4
4.25;0.1;12.88;0.24;12.65;1.48;68.41
4.39;0.12;12.16;0.15;12.93;1.35;68.9
4.97;0.08;19.5;0.14;12.83;2.52;59.96
3.99;0.03;28.5;0.18;9.84;4.45;53.01
4.3;0.1;13.96;0.19;9.56;1.8;70.08
1.57;0.05;5.19;0.15;7.03;0.58;85.42
0.4;0.07;0.81;0.12;4.02;0.02;94.57
0.85;0.27;1.83;0.15;5.72;0.04;91.15
1.33;0.22;2.92;0.14;7.59;0.07;87.73
1.41;0.04;5.17;0.13;5.32;0.22;87.7
2.91;0.03;9.11;0.25;6.21;0.79;80.71
3.94;0.02;14.47;0.26;8.11;1.32;71.88
3.64;0.02;12.74;0.28;8.85;1.22;73.25
5.27;0.06;26.46;0.29;9.09;1.61;57.21
4.47;0.03;18.45;0.34;8.55;1.53;66.63
6.99;0.1;36.15;0.37;10.0;2.53;43.87
5.42;0.03;20.72;0.27;9.1;3.0;61.46
4.88;0.05;22.14;0.47;7.95;1.6;62.91
3.25;0.04;38.24;0.41;9.09;2.28;46.68
3.13;0.05;35.72;0.47;6.74;1.89;52.0
4.02;0.15;37.81;0.28;7.79;2.38;47.58
4.44;0.13;21.41;0.23;7.89;1.76;64.14
1.9;0.2;12.47;0.11;6.22;1.09;78.0
1.58;0.06;9.46;0.09;4.75;0.77;83.29
2.11;0.08;18.23;0.09;6.78;1.91;70.8
4.95;0.04;27.24;0.07;11.32;4.17;52.22
2.88;0.07;15.68;0.09;8.12;1.69;71.48
2.87;0.02;16.07;0.06;10.35;1.66;68.97
2.7;0.13;18.19;0.1;6.76;1.37;70.74
1.93;0.04;12.86;0.12;5.94;1.08;78.03
2.29;0.03;13.27;0.07;6.51;1.1;76.74
10.6;0.09;17.02;11.08;8.8;19.67;32.73
4.08;0.03;15.8;0.09;7.16;1.61;71.23
3.49;0.03;15.51;0.08;8.33;0.72;71.84
3.29;0.07;19.54;0.1;7.45;1.98;67.57
5.05;0.06;20.75;0.09;7.44;2.28;64.35
2.85;0.03;13.81;0.06;6.89;0.74;75.62
2.77;0.06;23.45;0.07;10.62;0.93;62.1
3.27;0.06;18.72;0.08;8.19;1.23;68.45
2.28;0.02;16.98;0.03;7.5;1.2;71.98
2.8;0.03;20.27;0.04;7.84;1.54;67.5
2.18;0.02;19.64;0.05;7.01;2.17;68.93
2.73;0.02;32.97;0.06;8.46;4.08;51.67
2.62;0.01;31.39;0.13;4.37;2.94;58.54
2.06;0.03;27.93;0.08;5.81;2.4;61.68
1.67;0.04;18.05;0.08;6.31;1.0;72.84
1.82;0.04;15.18;0.07;6.31;0.66;75.92
1.15;0.03;13.15;0.05;4.72;0.74;80.16
1.63;0.02;14.35;0.06;6.57;0.45;76.92
2.21;0.06;14.37;0.06;8.5;0.8;73.99
2.27;0.04;20.5;0.04;9.13;1.68;66.33
3.57;0.08;24.29;0.06;9.8;1.08;61.1
1.92;0.02;14.33;0.08;4.84;1.19;77.62
1.78;0.03;17.98;0.05;4.97;1.73;73.46
1.82;0.02;8.18;0.04;6.16;0.42;83.35
1.81;0.06;5.43;0.03;4.16;0.08;88.44
2.15;0.03;11.85;0.04;5.08;0.24;80.62
1.79;0.02;27.7;0.04;5.42;0.82;64.22
1.57;0.02;38.0;0.07;4.98;1.37;53.99
1.61;0.03;38.24;0.07;4.38;1.34;54.33
1.2;0.02;28.0;0.03;6.4;3.81;60.55
1.09;0.03;33.37;0.02;6.13;4.85;54.5
1.06;0.03;26.11;0.05;5.21;4.77;62.78
1.64;0.07;25.72;0.04;4.64;3.04;64.85
2.09;0.05;43.81;0.04;5.61;4.02;44.38
2.66;0.11;40.19;0.02;6.42;3.4;47.2
1.85;0.05;40.3;0.03;4.72;4.17;48.87
2.22;0.03;23.48;0.03;4.59;2.89;66.75
1.91;0.04;31.82;0.04;4.54;4.34;57.32
1.63;0.04;22.36;0.04;4.19;1.68;70.05
3.59;0.04;32.41;0.06;6.8;5.33;51.77
1.47;0.03;36.6;0.03;3.6;5.08;53.19
2.28;0.03;33.14;0.04;7.02;3.88;53.62
1.8;0.02;33.84;0.03;4.68;3.45;56.19
2.48;0.01;28.75;0.03;7.43;2.69;58.6
1.69;0.05;31.77;0.02;4.5;4.91;57.05
1.07;0.05;36.47;0.03;4.56;5.09;52.73
1.41;0.02;25.56;0.04;3.57;4.39;65.01
1.7;0.02;25.08;0.06;3.99;6.33;62.82
1.23;0.02;18.29;0.06;2.44;3.09;74.88
1.13;0.02;20.27;0.06;2.55;2.39;73.59
1.87;0.04;15.66;0.06;2.82;2.26;77.29
1.63;0.03;28.72;0.04;4.47;2.28;62.84
3.02;0.07;27.03;0.07;4.05;3.18;62.6
2.75;0.08;32.87;0.07;3.95;2.05;58.22
3.46;0.04;39.45;0.05;6.63;3.04;47.33
3.35;0.02;30.46;0.05;6.89;2.55;56.68
6.0;0.09;38.94;0.05;5.34;1.85;47.73
5.22;0.05;31.15;0.06;4.5;1.88;57.13
2.6;0.03;25.17;0.05;5.7;1.05;65.4
5.78;0.15;24.82;0.05;5.16;2.91;61.13
7.61;0.1;30.3;0.04;5.3;5.88;50.77
4.37;0.08;36.1;0.08;4.19;5.63;49.55
6.26;0.06;40.45;0.04;5.57;4.5;43.11
8.97;0.08;51.63;0.04;4.82;11.12;23.35
8.77;0.07;40.62;0.05;5.89;3.81;40.8
5.07;0.08;36.05;0.05;5.49;1.87;51.39
7.77;0.1;36.28;0.05;4.98;1.78;49.03
5.95;0.05;51.22;0.01;4.8;3.8;34.18
4.86;0.03;33.92;0.03;7.36;3.98;49.82
6.08;0.18;37.05;0.04;8.36;10.09;38.19
4.19;0.12;41.12;0.05;6.24;4.57;43.71
3.45;0.06;57.02;0.02;5.05;5.28;29.13
6.02;0.09;47.06;0.05;5.22;5.32;36.25
5.22;0.05;34.89;0.06;4.23;2.48;53.07
4.67;0.06;37.64;0.03;4.34;3.37;49.88
3.63;0.08;31.04;0.03;4.4;1.97;58.84
5.98;0.2;48.56;0.07;6.85;2.32;36.03
5.72;0.07;43.74;0.03;6.39;4.59;39.45
5.89;0.12;50.71;0.04;6.37;2.77;34.09
4.42;0.06;50.07;0.04;4.8;2.42;38.2
4.1;0.05;45.76;0.03;4.51;3.99;41.57
4.87;0.12;43.38;0.03;5.64;5.36;40.6
6.0;0.09;41.27;0.03;5.98;3.34;43.29
2.8;0.03;34.78;0.01;4.23;1.32;56.82
6.5;0.09;38.74;0.02;6.33;5.31;43.02
5.39;0.1;52.31;0.04;7.22;4.74;30.19
5.97;0.18;46.85;0.03;8.1;3.73;35.15
2.68;0.04;47.69;0.03;5.86;3.75;39.95
4.41;0.08;54.5;0.03;5.35;6.37;29.26
7.58;0.13;42.35;0.04;6.1;9.19;34.61
9.16;0.22;29.69;0.07;6.23;12.36;42.28
4.22;0.05;34.82;0.04;5.47;8.68;46.74
8.64;0.14;37.52;0.05;6.29;8.94;38.42
4.4;0.06;33.88;0.04;4.84;6.53;50.26
14.19;0.39;36.09;0.03;6.91;13.27;29.12
4.49;0.05;36.33;0.04;6.31;6.62;46.15
4.65;0.05;58.19;0.03;4.91;10.16;22.01
5.29;0.06;38.91;0.03;6.01;5.51;44.21
5.17;0.03;36.71;0.03;6.82;5.51;45.74
5.45;0.14;42.3;0.04;5.24;13.08;33.75
2.98;0.04;43.87;0.1;3.69;22.41;26.92
4.9;0.06;28.69;0.08;4.8;12.48;49.0
7.69;0.13;48.78;0.06;5.15;6.54;31.66
3.8;0.09;28.09;0.06;3.53;7.44;56.99
4.27;0.11;44.25;0.04;3.54;10.27;37.52
5.37;0.08;40.45;0.03;5.87;9.18;39.02
4.87;0.1;46.67;0.02;6.59;8.86;32.89
3.04;0.06;45.78;0.03;5.16;8.71;37.21
4.29;0.13;38.46;0.07;4.38;4.61;48.07
5.83;0.24;29.62;0.06;5.12;5.0;54.12
3.0;0.09;37.15;0.06;4.72;5.61;49.37
2.43;0.07;31.34;0.04;4.14;6.98;55.0
2.32;0.06;28.78;0.05;3.75;5.57;59.46
2.37;0.05;25.67;0.06;3.35;6.28;62.22
3.12;0.1;26.99;0.04;5.01;6.93;57.81
3.4;0.06;28.56;0.05;3.71;4.84;59.38
4.53;0.15;39.91;0.09;4.65;6.4;44.27
3.76;0.14;38.0;0.05;3.87;8.59;45.59
3.49;0.14;38.93;0.04;4.98;7.97;44.44
2.59;0.05;27.02;0.07;3.45;6.29;60.53
3.03;0.07;28.23;0.04;4.82;15.8;48.01
4.27;0.09;27.99;0.05;4.46;9.09;54.06
4.27;0.11;27.49;0.05;4.37;8.66;55.05
2.27;0.05;46.1;0.03;4.38;11.91;35.26
7.84;0.33;31.08;0.04;5.84;9.01;45.86
5.53;0.2;32.48;0.04;5.64;5.99;50.12
1.89;0.06;25.26;0.04;2.75;7.23;62.78
7.75;0.3;26.67;0.05;4.49;11.11;49.63
3.06;0.07;26.41;0.04;4.0;14.54;51.88
2.34;0.02;50.16;0.05;4.12;15.39;27.92
3.25;0.07;30.44;0.04;4.28;11.93;49.98
2.0;0.03;41.2;0.04;3.98;14.59;38.16
3.74;0.11;20.22;0.06;3.69;7.64;64.54
4.0;0.07;29.75;0.06;5.51;10.37;50.23
4.52;0.09;31.23;0.06;4.72;5.99;53.39
2.84;0.08;30.57;0.06;4.73;6.31;55.4
2.21;0.04;25.52;0.07;3.17;5.09;63.91
2.4;0.08;24.7;0.08;3.8;5.75;63.19
6.05;0.12;31.29;0.06;5.5;12.14;44.82
7.74;0.15;35.77;0.07;5.68;9.16;41.42
5.74;0.11;37.03;0.04;4.35;12.17;40.56
4.04;0.06;39.46;0.06;6.31;8.76;41.3
3.52;0.08;34.09;0.07;6.04;7.65;48.56
4.81;0.14;32.08;0.08;4.28;9.8;48.81
6.68;0.17;50.77;0.05;6.59;11.52;24.21
3.36;0.07;40.84;0.08;4.95;9.31;41.4
4.53;0.11;35.28;0.04;4.72;8.14;47.18
2.49;0.04;33.15;0.07;4.39;24.35;35.51
4.36;0.22;28.91;0.05;5.75;13.09;47.61
2.43;0.06;40.92;0.06;5.28;24.82;26.43
2.87;0.09;36.45;0.05;6.6;29.07;24.88
5.58;0.22;39.83;0.07;5.36;15.2;33.74
2.36;0.04;41.63;0.05;3.77;21.19;30.95
5.63;0.13;35.98;0.05;5.68;10.73;41.8
2.97;0.08;39.76;0.04;5.07;16.75;35.33
4.21;0.21;48.65;0.02;6.91;11.75;28.25
5.87;0.16;37.01;0.04;5.39;21.97;29.56
7.67;0.23;34.71;0.04;6.1;16.56;34.7
8.81;0.35;38.51;0.03;6.2;14.16;31.94
8.98;0.31;51.48;0.03;5.42;17.29;16.49
11.27;0.38;36.06;0.05;5.18;25.22;21.84
6.06;0.11;36.75;0.04;3.82;27.11;26.11
8.97;0.28;33.46;0.05;4.54;26.51;26.19
9.59;0.32;34.42;0.04;5.32;28.28;22.03
6.26;0.15;31.42;0.03;5.08;31.38;25.68
9.03;0.34;41.4;0.07;4.94;22.83;21.39
5.22;0.13;35.78;0.07;6.0;23.67;29.13
4.83;0.13;37.06;0.03;4.04;29.25;24.66
3.24;0.13;47.28;0.05;5.19;12.71;31.4
5.22;0.18;35.69;0.04;3.88;31.74;23.26
7.56;0.24;43.57;0.07;6.23;17.89;24.43
8.59;0.31;38.75;0.06;5.83;23.23;23.22
7.95;0.35;38.92;0.04;5.4;23.82;23.51
6.03;0.25;35.67;0.05;6.21;12.68;39.1
4.81;0.25;31.39;0.04;4.1;25.39;34.02
4.9;0.11;39.61;0.04;5.84;11.09;38.41
5.31;0.22;34.38;0.04;4.66;19.14;36.24
6.89;0.17;40.14;0.05;5.7;17.43;29.61
7.19;0.23;41.16;0.04;5.21;20.36;25.81
5.57;0.17;40.21;0.06;4.91;20.15;28.94
3.3;0.1;36.04;0.02;4.87;9.5;46.17
3.25;0.12;38.67;0.03;4.24;24.69;28.99
7.25;0.12;46.01;0.05;6.54;16.41;23.62
5.51;0.09;36.01;0.04;6.42;18.75;33.18
