Emotions;Percent
angry;13.47
disgust;0.02
scared;14.02
happy;0.18
sad;45.58
surprised;2.23
neutral;24.50
angry;13.47
disgust;0.02
scared;14.02
happy;0.18
sad;45.58
surprised;2.23
neutral;24.50
angry;11.30
disgust;0.02
scared;15.86
happy;0.23
sad;42.72
surprised;2.28
neutral;27.58
angry;22.44
disgust;0.01
scared;13.67
happy;0.09
sad;37.49
surprised;3.14
neutral;23.16
angry;15.53
disgust;0.01
scared;16.86
happy;0.09
sad;46.25
surprised;2.27
neutral;18.99
angry;15.43
disgust;0.01
scared;19.35
happy;0.10
sad;43.02
surprised;3.41
neutral;18.69
angry;14.25
disgust;0.01
scared;21.52
happy;0.17
sad;38.89
surprised;5.40
neutral;19.76
angry;13.65
disgust;0.01
scared;24.24
happy;0.15
sad;37.58
surprised;5.68
neutral;18.68
angry;17.92
disgust;0.02
scared;13.35
happy;0.11
sad;41.21
surprised;4.81
neutral;22.58
angry;13.24
disgust;0.01
scared;16.80
happy;0.12
sad;42.37
surprised;5.31
neutral;22.14
angry;8.74
disgust;0.01
scared;14.10
happy;0.13
sad;47.90
surprised;3.83
neutral;25.29
angry;8.89
disgust;0.01
scared;14.11
happy;0.14
sad;47.47
surprised;3.59
neutral;25.80
angry;8.77
disgust;0.01
scared;17.49
happy;0.14
sad;40.59
surprised;4.67
neutral;28.34
angry;12.26
disgust;0.00
scared;15.06
happy;0.12
sad;41.24
surprised;3.75
neutral;27.57
angry;14.27
disgust;0.02
scared;14.24
happy;0.13
sad;43.48
surprised;2.77
neutral;25.09
angry;15.24
disgust;0.03
scared;13.44
happy;0.14
sad;40.79
surprised;2.57
neutral;27.78
angry;15.53
disgust;0.01
scared;11.05
happy;0.14
sad;41.22
surprised;6.11
neutral;25.94
angry;14.23
disgust;0.01
scared;12.58
happy;0.13
sad;44.65
surprised;4.56
neutral;23.84
angry;15.80
disgust;0.02
scared;12.84
happy;0.10
sad;40.97
surprised;4.03
neutral;26.25
angry;16.00
disgust;0.01
scared;12.88
happy;0.10
sad;39.68
surprised;2.98
neutral;28.35
angry;15.11
disgust;0.01
scared;10.58
happy;0.09
sad;43.02
surprised;6.99
neutral;24.20
angry;13.35
disgust;0.01
scared;10.90
happy;0.09
sad;43.74
surprised;6.40
neutral;25.51
angry;13.78
disgust;0.01
scared;11.54
happy;0.12
sad;42.98
surprised;5.30
neutral;26.28
angry;16.56
disgust;0.01
scared;10.67
happy;0.09
sad;44.42
surprised;5.23
neutral;23.03
angry;12.68
disgust;0.01
scared;14.51
happy;0.13
sad;45.06
surprised;6.27
neutral;21.34
angry;12.22
disgust;0.01
scared;11.91
happy;0.08
sad;48.43
surprised;5.52
neutral;21.83
angry;13.46
disgust;0.00
scared;8.24
happy;0.07
sad;46.81
surprised;4.36
neutral;27.05
angry;13.97
disgust;0.01
scared;9.30
happy;0.07
sad;46.08
surprised;5.11
neutral;25.45
angry;14.74
disgust;0.01
scared;9.95
happy;0.08
sad;43.99
surprised;6.56
neutral;24.67
angry;16.47
disgust;0.01
scared;10.71
happy;0.06
sad;41.81
surprised;9.29
neutral;21.65
angry;14.01
disgust;0.02
scared;11.15
happy;0.07
sad;42.19
surprised;5.91
neutral;26.64
angry;16.45
disgust;0.01
scared;9.63
happy;0.05
sad;42.24
surprised;2.57
neutral;29.05
angry;15.35
disgust;0.02
scared;10.38
happy;0.06
sad;41.55
surprised;6.64
neutral;25.99
angry;15.15
disgust;0.02
scared;10.35
happy;0.06
sad;41.96
surprised;3.19
neutral;29.26
angry;14.28
disgust;0.01
scared;11.52
happy;0.06
sad;41.60
surprised;8.00
neutral;24.52
angry;13.26
disgust;0.02
scared;9.96
happy;0.07
sad;37.22
surprised;5.99
neutral;33.47
angry;14.92
disgust;0.01
scared;10.34
happy;0.07
sad;43.99
surprised;4.90
neutral;25.77
angry;14.82
disgust;0.01
scared;10.92
happy;0.09
sad;42.86
surprised;6.56
neutral;24.74
angry;13.24
disgust;0.01
scared;10.89
happy;0.05
sad;41.92
surprised;9.40
neutral;24.49
angry;15.39
disgust;0.01
scared;11.02
happy;0.06
sad;42.19
surprised;7.75
neutral;23.58
angry;16.04
disgust;0.02
scared;12.68
happy;0.09
sad;43.01
surprised;8.99
neutral;19.18
angry;18.09
disgust;0.01
scared;10.83
happy;0.09
sad;45.56
surprised;5.49
neutral;19.93
angry;11.92
disgust;0.01
scared;11.64
happy;0.11
sad;45.75
surprised;5.21
neutral;25.36
angry;13.27
disgust;0.02
scared;19.95
happy;0.21
sad;42.88
surprised;0.99
neutral;22.68
angry;7.70
disgust;0.02
scared;29.14
happy;0.33
sad;42.46
surprised;0.61
neutral;19.73
angry;10.65
disgust;0.03
scared;25.01
happy;0.39
sad;42.08
surprised;0.54
neutral;21.31
angry;12.27
disgust;0.02
scared;29.47
happy;0.29
sad;36.26
surprised;1.25
neutral;20.44
angry;13.26
disgust;0.01
scared;20.29
happy;0.27
sad;42.42
surprised;0.79
neutral;22.97
angry;13.72
disgust;0.01
scared;19.92
happy;0.17
sad;41.10
surprised;1.50
neutral;23.57
angry;14.65
disgust;0.01
scared;19.88
happy;0.16
sad;38.79
surprised;3.55
neutral;22.95
angry;13.39
disgust;0.01
scared;15.33
happy;0.17
sad;44.72
surprised;2.03
neutral;24.35
angry;10.84
disgust;0.01
scared;17.71
happy;0.13
sad;44.17
surprised;3.68
neutral;23.46
angry;10.04
disgust;0.00
scared;13.51
happy;0.12
sad;47.65
surprised;2.70
neutral;25.97
angry;11.35
disgust;0.01
scared;19.34
happy;0.11
sad;43.19
surprised;7.61
neutral;18.40
angry;12.12
disgust;0.01
scared;17.14
happy;0.07
sad;44.87
surprised;4.83
neutral;20.96
angry;10.22
disgust;0.00
scared;19.20
happy;0.13
sad;45.01
surprised;5.20
neutral;20.24
angry;11.08
disgust;0.01
scared;18.21
happy;0.10
sad;44.66
surprised;4.91
neutral;21.03
angry;11.99
disgust;0.00
scared;18.20
happy;0.14
sad;37.48
surprised;11.08
neutral;21.10
angry;17.74
disgust;0.00
scared;13.86
happy;0.16
sad;39.87
surprised;7.87
neutral;20.50
angry;14.16
disgust;0.01
scared;14.39
happy;0.11
sad;42.63
surprised;5.33
neutral;23.37
angry;15.67
disgust;0.01
scared;17.55
happy;0.10
sad;41.89
surprised;7.78
neutral;17.00
angry;15.18
disgust;0.01
scared;18.00
happy;0.14
sad;38.54
surprised;7.65
neutral;20.48
angry;12.14
disgust;0.01
scared;14.25
happy;0.15
sad;48.22
surprised;4.73
neutral;20.51
angry;15.13
disgust;0.01
scared;14.73
happy;0.11
sad;46.53
surprised;7.07
neutral;16.41
angry;13.26
disgust;0.01
scared;15.68
happy;0.09
sad;46.10
surprised;8.23
neutral;16.63
angry;9.61
disgust;0.01
scared;17.32
happy;0.13
sad;45.23
surprised;7.98
neutral;19.73
angry;9.63
disgust;0.00
scared;18.28
happy;0.08
sad;45.16
surprised;9.59
neutral;17.25
angry;9.52
disgust;0.00
scared;16.21
happy;0.12
sad;47.51
surprised;5.78
neutral;20.86
angry;12.40
disgust;0.00
scared;14.00
happy;0.13
sad;47.12
surprised;6.38
neutral;19.98
angry;8.92
disgust;0.00
scared;13.59
happy;0.19
sad;49.59
surprised;3.28
neutral;24.43
angry;9.55
disgust;0.00
scared;12.61
happy;0.09
sad;50.27
surprised;4.67
neutral;22.81
angry;9.92
disgust;0.00
scared;12.70
happy;0.10
sad;49.63
surprised;4.91
neutral;22.74
angry;11.43
disgust;0.00
scared;14.58
happy;0.12
sad;48.64
surprised;5.45
neutral;19.78
angry;10.43
disgust;0.00
scared;13.88
happy;0.11
sad;49.72
surprised;5.30
neutral;20.56
angry;12.43
disgust;0.01
scared;17.59
happy;0.15
sad;39.31
surprised;9.11
neutral;21.39
angry;11.25
disgust;0.01
scared;16.44
happy;0.15
sad;37.55
surprised;7.60
neutral;26.99
angry;11.97
disgust;0.00
scared;13.62
happy;0.10
sad;47.65
surprised;4.91
neutral;21.75
angry;8.93
disgust;0.00
scared;15.60
happy;0.11
sad;43.99
surprised;6.18
neutral;25.19
angry;16.92
disgust;0.01
scared;13.70
happy;0.09
sad;40.72
surprised;7.73
neutral;20.85
angry;11.50
disgust;0.01
scared;15.14
happy;0.11
sad;43.71
surprised;6.56
neutral;22.98
angry;7.78
disgust;0.00
scared;20.03
happy;0.17
sad;44.36
surprised;6.34
neutral;21.31
angry;12.07
disgust;0.01
scared;13.20
happy;0.08
sad;47.33
surprised;6.48
neutral;20.84
angry;11.75
disgust;0.00
scared;14.23
happy;0.16
sad;45.50
surprised;6.11
neutral;22.24
angry;14.06
disgust;0.01
scared;11.66
happy;0.10
sad;42.88
surprised;9.01
neutral;22.28
angry;12.77
disgust;0.01
scared;10.37
happy;0.09
sad;47.53
surprised;6.49
neutral;22.73
angry;11.63
disgust;0.01
scared;10.38
happy;0.09
sad;49.70
surprised;5.66
neutral;22.53
angry;10.58
disgust;0.00
scared;10.80
