Emotions;Percent
angry;14.50
disgust;0.39
scared;5.70
happy;34.82
sad;14.17
surprised;0.39
neutral;30.03
angry;12.80
disgust;0.08
scared;4.75
happy;43.29
sad;11.79
surprised;0.74
neutral;26.56
angry;19.91
disgust;0.10
scared;5.21
happy;24.00
sad;11.09
surprised;0.51
neutral;39.18
angry;11.98
disgust;0.17
scared;6.12
happy;27.97
sad;19.48
surprised;1.93
neutral;32.34
angry;16.14
disgust;0.09
scared;3.71
happy;32.65
sad;11.12
surprised;0.49
neutral;35.79
angry;7.15
disgust;0.03
scared;3.85
happy;39.47
sad;4.61
surprised;1.45
neutral;43.43
angry;10.49
disgust;0.06
scared;4.77
happy;39.14
sad;6.67
surprised;1.19
neutral;37.68
angry;7.02
disgust;0.11
scared;3.51
happy;44.45
sad;9.11
surprised;0.55
neutral;35.25
angry;16.98
disgust;0.20
scared;5.38
happy;35.15
sad;14.68
surprised;0.44
neutral;27.16
angry;14.12
disgust;0.14
scared;3.18
happy;45.55
sad;6.95
surprised;0.30
neutral;29.76
angry;22.44
disgust;0.14
scared;4.23
happy;34.65
sad;9.45
surprised;0.41
neutral;28.68
angry;14.58
disgust;0.08
scared;7.14
happy;32.23
sad;8.96
surprised;1.61
neutral;35.41
angry;19.79
disgust;0.19
scared;4.59
happy;24.96
sad;12.67
surprised;0.67
neutral;37.14
angry;7.67
disgust;0.07
scared;3.38
happy;53.35
sad;9.31
surprised;0.66
neutral;25.57
angry;19.74
disgust;0.23
scared;4.08
happy;32.46
sad;7.80
surprised;0.63
neutral;35.07
angry;15.55
disgust;0.03
scared;3.68
happy;43.19
sad;7.47
surprised;0.42
neutral;29.65
angry;16.50
disgust;0.19
scared;4.81
happy;32.94
sad;10.01
surprised;0.65
neutral;34.91
angry;8.42
disgust;0.22
scared;5.87
happy;49.46
sad;14.07
surprised;0.62
neutral;21.33
angry;10.84
disgust;0.10
scared;6.77
happy;26.95
sad;13.04
surprised;0.84
neutral;41.47
angry;20.74
disgust;0.19
scared;4.59
happy;25.71
sad;12.09
surprised;0.28
neutral;36.39
angry;12.75
disgust;0.11
scared;3.19
happy;31.98
sad;7.47
surprised;0.58
neutral;43.92
angry;7.21
disgust;0.06
scared;3.90
happy;57.28
sad;7.73
surprised;0.58
neutral;23.23
angry;8.03
disgust;0.08
scared;7.29
happy;41.50
sad;10.31
surprised;0.54
neutral;32.26
angry;2.81
disgust;0.22
scared;2.96
happy;71.81
sad;12.26
surprised;0.14
neutral;9.80
angry;3.08
disgust;0.19
scared;3.94
happy;65.83
sad;15.26
surprised;0.42
neutral;11.27
angry;3.26
disgust;0.12
scared;3.27
happy;66.47
sad;7.65
surprised;0.58
neutral;18.65
angry;5.44
disgust;0.22
scared;4.49
happy;62.92
sad;10.48
surprised;0.53
neutral;15.92
angry;5.08
disgust;0.18
scared;3.92
happy;66.96
sad;8.61
surprised;0.51
neutral;14.74
angry;3.97
disgust;0.12
scared;2.68
happy;68.00
sad;9.30
