Emotions;Percent
angry;9.61
disgust;0.04
scared;14.94
happy;25.62
sad;5.94
surprised;2.01
neutral;41.84
angry;4.76
disgust;0.10
scared;14.40
happy;20.37
sad;4.33
surprised;6.63
neutral;49.41
angry;4.75
disgust;0.04
scared;18.15
happy;18.95
sad;4.77
surprised;8.28
neutral;45.06
angry;4.53
disgust;0.14
scared;19.07
happy;25.56
sad;5.43
surprised;6.64
neutral;38.63
angry;3.94
disgust;0.11
scared;17.59
happy;31.48
sad;5.27
surprised;7.40
neutral;34.21
angry;6.91
disgust;0.06
scared;16.38
happy;33.07
sad;5.76
surprised;6.71
neutral;31.11
angry;4.56
disgust;0.04
scared;13.71
happy;35.96
sad;4.11
surprised;5.46
neutral;36.16
angry;4.06
disgust;0.03
scared;11.81
happy;42.93
sad;4.24
surprised;5.08
neutral;31.85
angry;4.31
disgust;0.01
scared;14.57
happy;38.56
sad;3.65
surprised;3.88
neutral;35.02
angry;4.60
disgust;0.03
scared;15.14
happy;14.49
sad;4.53
surprised;6.98
neutral;54.24
angry;6.33
disgust;0.02
scared;16.02
happy;26.05
sad;3.09
surprised;7.86
neutral;40.62
angry;10.23
disgust;0.08
scared;15.76
happy;18.02
sad;4.06
surprised;13.43
neutral;38.43
angry;12.03
disgust;0.03
scared;14.69
happy;16.05
sad;3.57
surprised;10.99
neutral;42.63
angry;12.73
disgust;0.04
scared;15.93
happy;14.14
sad;3.64
surprised;10.48
neutral;43.04
angry;3.32
disgust;0.01
scared;14.00
happy;40.87
sad;6.80
surprised;1.90
neutral;33.09
angry;2.92
disgust;0.01
scared;9.85
happy;45.80
sad;5.40
surprised;2.09
neutral;33.93
angry;2.82
disgust;0.01
scared;9.88
happy;43.63
sad;5.81
surprised;1.89
neutral;35.97
angry;3.66
disgust;0.01
scared;15.23
happy;34.14
sad;4.59
surprised;2.66
neutral;39.71
angry;2.89
disgust;0.01
scared;12.34
happy;33.51
sad;6.42
surprised;1.96
neutral;42.88
angry;2.95
disgust;0.01
scared;13.69
happy;31.19
sad;6.55
surprised;2.19
neutral;43.42
angry;2.76
disgust;0.01
scared;12.18
happy;31.14
sad;5.66
surprised;2.04
neutral;46.21
angry;2.95
disgust;0.02
scared;13.25
happy;27.15
sad;5.79
surprised;3.95
neutral;46.91
angry;8.20
disgust;0.04
scared;18.21
happy;27.53
sad;6.62
surprised;4.91
neutral;34.47
angry;3.67
disgust;0.05
scared;10.44
happy;41.84
sad;2.90
surprised;13.10
neutral;28.01
angry;4.25
disgust;0.04
scared;8.44
happy;31.89
sad;6.19
surprised;5.26
neutral;43.93
angry;3.49
disgust;0.05
scared;12.05
happy;28.59
sad;7.32
surprised;4.14
neutral;44.36
angry;2.55
disgust;0.03
scared;10.11
