Emotions;Percent
angry;16.16
disgust;0.18
scared;8.51
happy;1.18
sad;23.52
surprised;0.34
neutral;50.11
angry;15.00
disgust;0.25
scared;9.99
happy;2.21
sad;22.89
surprised;0.49
neutral;49.16
angry;14.68
disgust;0.11
scared;7.40
happy;0.91
sad;21.06
surprised;0.20
neutral;55.64
angry;17.91
disgust;0.47
scared;8.41
happy;1.40
sad;24.16
surprised;0.40
neutral;47.25
angry;13.75
disgust;0.22
scared;7.53
happy;0.59
sad;23.20
surprised;0.26
neutral;54.45
angry;12.13
disgust;0.17
scared;8.67
happy;1.31
sad;25.94
surprised;0.34
neutral;51.44
angry;14.51
disgust;0.24
scared;8.58
happy;1.13
sad;22.95
surprised;0.30
neutral;52.29
angry;14.57
disgust;0.06
scared;7.10
happy;1.53
sad;24.26
surprised;0.31
neutral;52.16
angry;13.67
disgust;0.17
scared;5.38
happy;1.46
sad;22.99
surprised;0.09
neutral;56.24
angry;11.83
disgust;0.16
scared;7.42
happy;1.62
sad;22.64
surprised;0.25
neutral;56.08
angry;10.29
disgust;0.07
scared;4.10
happy;1.02
sad;13.98
surprised;0.15
neutral;70.39
angry;13.06
disgust;0.12
scared;7.36
happy;0.74
sad;22.22
surprised;0.23
neutral;56.27
angry;11.76
disgust;0.24
scared;9.68
happy;1.64
sad;26.02
surprised;0.33
neutral;50.33
angry;14.79
disgust;0.09
scared;6.35
happy;0.89
sad;18.27
surprised;0.16
neutral;59.44
angry;13.45
disgust;0.08
scared;5.77
happy;0.73
sad;17.17
surprised;0.18
neutral;62.62
angry;10.03
disgust;0.10
scared;4.89
happy;1.02
sad;20.01
surprised;0.19
neutral;63.77
angry;13.98
disgust;0.17
scared;6.94
happy;1.37
sad;22.58
surprised;0.18
neutral;54.77
angry;15.95
disgust;0.09
scared;6.20
happy;1.26
sad;20.76
surprised;0.20
neutral;55.54
angry;13.55
disgust;0.08
scared;6.51
happy;0.94
sad;20.99
surprised;0.17
neutral;57.76
angry;15.21
disgust;0.08
scared;5.67
happy;1.03
sad;21.67
surprised;0.18
neutral;56.16
angry;20.96
disgust;0.07
scared;7.04
happy;1.34
sad;27.21
surprised;0.17
neutral;43.22
angry;13.75
disgust;0.13
scared;7.24
happy;2.41
