Emotions;Percent
angry;11.15
disgust;1.02
scared;30.37
happy;0.06
sad;24.68
surprised;0.60
neutral;32.12
angry;9.91
disgust;1.02
scared;22.82
happy;0.05
sad;32.91
surprised;0.35
neutral;32.94
angry;12.46
disgust;2.18
scared;28.59
happy;0.05
sad;26.08
surprised;0.42
neutral;30.24
angry;10.02
disgust;0.72
scared;19.51
happy;0.10
sad;25.41
surprised;0.28
neutral;43.96
angry;16.84
disgust;0.90
scared;11.46
happy;0.27
sad;42.45
surprised;0.10
neutral;27.98
angry;10.18
disgust;1.16
scared;15.78
happy;0.34
sad;36.91
surprised;0.17
neutral;35.47
angry;16.41
disgust;1.50
scared;25.64
happy;0.10
sad;22.99
surprised;0.38
neutral;32.97
angry;12.44
disgust;2.75
scared;31.51
happy;0.09
sad;21.52
surprised;0.62
neutral;31.09
angry;13.53
disgust;0.66
scared;21.82
happy;0.06
sad;23.60
surprised;0.40
neutral;39.93
angry;9.60
disgust;0.54
scared;23.62
happy;0.05
sad;25.79
surprised;0.47
neutral;39.94
angry;11.31
disgust;0.70
scared;32.69
happy;0.04
sad;20.03
surprised;0.74
neutral;34.49
angry;11.27
disgust;0.97
scared;29.55
happy;0.05
sad;19.67
surprised;0.64
neutral;37.85
angry;16.37
disgust;1.78
scared;26.50
happy;0.09
sad;20.67
surprised;0.53
neutral;34.08
angry;12.76
disgust;1.06
scared;34.08
happy;0.03
sad;30.61
surprised;0.30
neutral;21.15
angry;17.19
disgust;1.64
scared;28.94
happy;0.04
sad;27.98
surprised;0.42
neutral;23.79
angry;16.90
disgust;1.09
scared;26.61
happy;0.04
sad;25.43
surprised;0.42
neutral;29.51
angry;13.91
disgust;0.86
scared;27.15
happy;0.05
sad;26.79
surprised;0.47
neutral;30.77
angry;17.09
disgust;1.06
scared;31.34
happy;0.01
sad;35.14
surprised;0.27
neutral;15.08
angry;14.68
disgust;0.90
scared;27.65
happy;0.03
sad;22.98
surprised;0.30
neutral;33.46
angry;14.57
disgust;0.86
scared;31.61
happy;0.03
sad;25.95
surprised;0.33
neutral;26.65
angry;14.77
disgust;0.83
scared;34.97
happy;0.01
sad;26.76
surprised;0.50
neutral;22.16
angry;14.63
disgust;1.47
scared;25.37
happy;0.05
sad;24.53
surprised;0.57
neutral;33.39
angry;13.69
disgust;1.27
scared;18.72
happy;0.20
sad;31.12
surprised;0.16
neutral;34.84
angry;16.82
disgust;1.25
scared;15.98
happy;0.12
sad;31.88
surprised;0.10
neutral;33.86
angry;13.11
disgust;1.71
scared;13.02
happy;0.13
sad;39.57
surprised;0.18
neutral;32.27
angry;25.20
disgust;0.38
scared;10.57
happy;28.96
sad;20.81
surprised;1.93
neutral;12.15
angry;13.04
disgust;0.68
scared;19.02
happy;0.03
sad;28.20
surprised;0.18
neutral;38.85
angry;15.38
disgust;1.06
scared;25.48
happy;0.04
sad;23.90
surprised;0.42
neutral;33.73
angry;8.28
disgust;0.56
scared;24.26
happy;0.06
sad;26.08
surprised;0.23
neutral;40.53
angry;18.02
disgust;1.18
scared;22.33
happy;0.02
sad;31.01
surprised;0.27
neutral;27.16
angry;16.09
disgust;0.36
scared;10.80
happy;0.10
sad;36.92
surprised;0.14
neutral;35.59
angry;13.70
disgust;0.79
scared;19.30
happy;0.14
sad;27.40
surprised;0.40
neutral;38.27
angry;12.51
disgust;0.44
scared;25.21
happy;0.06
sad;25.67
surprised;0.38
neutral;35.73
angry;13.07
disgust;0.46
scared;21.21
happy;0.03
sad;28.09
surprised;0.50
neutral;36.64
angry;15.23
disgust;0.51
scared;20.77
happy;0.13
sad;27.70
surprised;0.58
neutral;35.07
angry;12.01
disgust;0.47
scared;8.68
happy;0.46
sad;26.02
surprised;0.21
neutral;52.16
angry;9.42
disgust;0.13
scared;12.45
happy;0.06
sad;29.52
surprised;0.20
neutral;48.23
angry;12.93
disgust;0.40
scared;19.28
happy;0.04
sad;34.45
surprised;0.31
neutral;32.60
angry;21.81
disgust;0.27
scared;15.49
happy;13.64
sad;13.83
surprised;8.64
neutral;26.33
angry;10.95
disgust;0.24
scared;8.94
happy;0.77
sad;23.70
surprised;0.19
neutral;55.20
angry;20.97
disgust;0.73
scared;14.67
happy;0.20
sad;26.25
surprised;0.04
neutral;37.14
angry;11.48
disgust;0.82
scared;10.21
happy;0.49
sad;31.83
surprised;0.15
neutral;45.02
angry;9.31
disgust;0.14
scared;11.27
happy;0.15
sad;32.94
surprised;0.16
neutral;46.04
angry;7.88
disgust;0.23
scared;10.80
happy;0.11
sad;27.72
surprised;0.16
neutral;53.11
angry;14.22
disgust;0.35
scared;14.25
happy;0.06
sad;25.74
surprised;0.26
neutral;45.12
angry;13.37
disgust;1.01
scared;19.92
happy;0.12
sad;19.76
surprised;0.20
neutral;45.62
angry;14.52
disgust;0.57
scared;18.99
happy;0.11
sad;23.57
surprised;0.40
neutral;41.83
angry;13.70
disgust;0.16
scared;17.00
happy;0.10
sad;26.67
surprised;0.28
neutral;42.08
angry;11.32
disgust;0.10
scared;16.70
happy;0.14
sad;18.62
surprised;0.36
neutral;52.76
angry;12.18
disgust;0.14
scared;11.87
happy;0.13
sad;19.37
surprised;0.20
neutral;56.11
angry;7.89
disgust;0.13
scared;12.44
happy;0.56
sad;16.85
surprised;0.24
neutral;61.90
angry;13.45
disgust;0.13
scared;17.92
happy;0.66
sad;21.63
surprised;0.28
neutral;45.92
angry;12.86
disgust;0.05
scared;13.68
happy;0.53
sad;20.68
surprised;0.15
neutral;52.05
angry;14.58
disgust;0.04
scared;14.04
happy;0.27
sad;25.36
surprised;0.14
neutral;45.57
angry;14.39
disgust;0.04
scared;9.16
happy;0.38
sad;28.40
surprised;0.15
neutral;47.48
angry;10.18
disgust;0.06
scared;12.66
happy;0.39
sad;23.37
surprised;0.09
neutral;53.26
angry;10.36
disgust;0.04
scared;6.87
happy;0.35
sad;16.97
surprised;0.25
neutral;65.17
angry;9.85
disgust;0.17
scared;4.67
happy;0.35
sad;14.51
surprised;0.14
neutral;70.31
angry;8.83
disgust;0.19
scared;10.50
happy;0.32
sad;15.78
surprised;0.11
neutral;64.27
angry;8.65
disgust;0.36
scared;15.76
happy;0.22
sad;17.00
surprised;0.22
neutral;57.78
angry;13.32
disgust;0.19
scared;19.16
happy;0.08
sad;17.49
surprised;0.31
neutral;49.46
angry;5.61
disgust;0.28
scared;14.27
happy;0.12
sad;13.92
surprised;0.35
neutral;65.45
angry;8.51
disgust;0.40
scared;10.16
happy;0.20
sad;15.10
surprised;0.25
neutral;65.38
angry;11.11
disgust;0.32
scared;16.38
happy;0.14
sad;20.65
surprised;0.22
neutral;51.18
angry;10.14
disgust;0.26
scared;17.30
happy;0.24
sad;18.51
surprised;0.34
neutral;53.20
angry;9.94
disgust;0.18
scared;17.39
happy;0.08
sad;24.75
surprised;0.22
neutral;47.43
angry;15.65
disgust;0.72
scared;25.95
happy;0.31
sad;23.16
surprised;0.63
neutral;33.58
angry;15.19
disgust;0.15
scared;18.04
happy;0.11
sad;27.49
surprised;0.21
neutral;38.81
angry;11.58
disgust;0.12
scared;20.27
happy;0.11
sad;23.95
surprised;0.30
neutral;43.67
angry;7.62
disgust;0.07
scared;16.59
happy;0.11
sad;21.84
surprised;0.20
neutral;53.57
angry;7.00
disgust;0.09
scared;19.03
happy;0.29
sad;18.56
surprised;0.27
neutral;54.76
angry;8.88
disgust;0.22
scared;19.79
happy;0.55
sad;18.86
surprised;0.25
neutral;51.46
angry;3.80
disgust;0.06
scared;7.28
happy;0.66
sad;9.29
surprised;0.20
neutral;78.71
angry;3.82
disgust;0.08
scared;9.72
happy;0.79
sad;13.96
surprised;0.14
neutral;71.49
angry;8.38
disgust;0.14
scared;13.73
happy;1.07
sad;20.78
surprised;0.18
neutral;55.72
angry;6.26
disgust;0.03
scared;12.08
happy;0.32
sad;22.68
surprised;0.17
neutral;58.46
angry;10.14
disgust;0.05
scared;11.96
happy;0.76
sad;24.32
surprised;0.35
neutral;52.42
angry;6.85
disgust;0.09
scared;15.11
happy;0.30
sad;28.10
surprised;0.29
neutral;49.26
angry;10.08
disgust;0.12
scared;16.99
happy;0.88
sad;31.06
surprised;0.22
neutral;40.66
angry;7.39
disgust;0.03
scared;14.24
happy;0.41
sad;29.50
surprised;0.16
neutral;48.28
angry;7.31
disgust;0.05
scared;14.31
happy;0.61
sad;28.69
surprised;0.29
neutral;48.74
angry;3.78
disgust;0.06
scared;10.12
happy;1.02
sad;14.14
surprised;0.24
neutral;70.65
angry;3.71
disgust;0.06
scared;19.74
happy;0.36
sad;31.94
surprised;0.27
neutral;43.93
angry;9.42
disgust;0.11
scared;12.32
happy;0.67
sad;27.71
surprised;0.38
neutral;49.39
angry;4.67
disgust;0.09
scared;5.43
happy;2.67
sad;14.88
surprised;0.12
neutral;72.14
angry;6.48
disgust;0.15
scared;5.32
happy;6.61
sad;14.94
surprised;0.19
neutral;66.31
angry;5.46
disgust;0.06
scared;13.23
happy;0.69
sad;24.80
surprised;0.37
neutral;55.40
angry;5.66
disgust;0.05
scared;18.09
happy;0.58
sad;21.07
surprised;0.39
neutral;54.16
angry;4.99
disgust;0.11
scared;15.98
happy;1.00
sad;18.19
surprised;0.28
neutral;59.45
angry;6.89
disgust;0.21
scared;4.40
happy;4.20
sad;12.85
surprised;0.13
neutral;71.33
angry;7.03
disgust;0.10
scared;6.22
happy;2.05
sad;21.06
surprised;0.11
neutral;63.43
angry;4.40
disgust;0.06
scared;9.70
happy;1.05
sad;14.15
surprised;0.21
neutral;70.43
angry;4.28
disgust;0.18
scared;8.67
happy;0.44
sad;10.33
surprised;0.23
neutral;75.87
angry;7.22
disgust;0.12
scared;13.33
happy;0.23
sad;17.69
surprised;0.48
neutral;60.93
angry;6.19
disgust;0.11
scared;10.84
happy;0.35
sad;11.94
surprised;0.20
neutral;70.37
angry;7.96
disgust;0.08
scared;13.91
happy;0.19
sad;23.47
surprised;0.27
neutral;54.11
angry;7.37
disgust;0.13
scared;11.74
happy;0.95
sad;23.54
surprised;0.20
neutral;56.08
angry;8.98
disgust;0.26
scared;9.27
happy;1.00
sad;32.89
surprised;0.15
neutral;47.45
angry;7.13
disgust;0.05
scared;10.95
happy;0.40
sad;21.25
surprised;0.26
neutral;59.96
angry;5.27
disgust;0.14
scared;22.73
happy;0.19
sad;24.68
surprised;0.21
neutral;46.78
angry;6.25
disgust;0.13
scared;11.31
happy;0.22
sad;17.55
surprised;0.40
neutral;64.14
angry;6.10
disgust;0.10
scared;14.13
happy;0.19
sad;24.57
surprised;0.20
neutral;54.71
angry;7.29
disgust;0.16
scared;13.76
happy;0.19
sad;21.24
surprised;0.22
neutral;57.13
angry;7.58
disgust;0.08
scared;12.98
happy;0.15
sad;16.24
surprised;0.24
neutral;62.73
angry;5.64
disgust;0.11
scared;13.68
happy;0.70
sad;18.65
surprised;0.30
neutral;60.92
angry;9.60
disgust;0.24
scared;13.19
happy;0.24
sad;18.97
surprised;0.38
neutral;57.38
angry;4.64
disgust;0.09
scared;8.21
happy;0.16
sad;18.27
surprised;0.15
neutral;68.49
angry;8.31
disgust;0.12
scared;14.38
happy;0.24
sad;17.21
surprised;0.20
neutral;59.54
angry;10.74
disgust;0.21
scared;16.25
happy;0.17
sad;14.06
surprised;0.33
neutral;58.24
angry;8.25
disgust;0.11
scared;14.98
happy;0.16
sad;14.91
surprised;0.18
neutral;61.41
angry;9.30
disgust;0.12
scared;17.68
happy;0.19
sad;21.46
surprised;0.21
neutral;51.04
angry;7.13
disgust;0.09
scared;15.92
happy;0.15
sad;20.74
