Emotions;Percent
angry;12.18
disgust;0.07
scared;5.24
happy;21.07
sad;54.17
surprised;0.36
neutral;6.91
angry;20.69
disgust;3.36
scared;13.91
happy;29.54
sad;14.77
surprised;3.04
neutral;14.70
angry;3.52
disgust;0.03
scared;11.29
happy;6.12
sad;5.82
surprised;13.80
neutral;59.41
angry;8.22
disgust;0.02
scared;64.83
happy;0.93
sad;9.96
surprised;7.16
neutral;8.88
angry;7.67
disgust;0.02
scared;47.04
happy;2.63
sad;9.58
surprised;14.89
neutral;18.17
angry;6.65
disgust;0.03
scared;5.50
happy;26.24
sad;3.17
surprised;30.77
neutral;27.65
angry;6.53
disgust;0.05
scared;5.78
happy;23.47
sad;3.51
surprised;35.37
neutral;25.29
angry;7.34
disgust;0.03
scared;4.82
happy;24.21
sad;3.22
surprised;30.51
neutral;29.86
angry;8.25
disgust;0.04
scared;5.33
happy;25.09
sad;4.70
surprised;29.55
neutral;27.04
angry;8.11
disgust;0.02
scared;6.49
happy;26.16
sad;3.92
surprised;29.79
neutral;25.52
angry;7.44
disgust;0.02
scared;6.95
happy;18.37
sad;3.43
surprised;40.79
neutral;23.00
angry;35.97
disgust;0.07
scared;19.68
happy;22.38
sad;2.02
surprised;14.66
neutral;5.21
angry;33.21
disgust;0.10
scared;12.18
happy;34.65
sad;0.94
surprised;13.83
neutral;5.10
angry;33.60
disgust;0.09
scared;14.69
happy;29.91
sad;1.31
surprised;16.13
neutral;4.27
angry;20.24
disgust;0.12
scared;3.00
happy;69.55
sad;0.59
surprised;4.02
neutral;2.48
angry;40.17
disgust;0.15
scared;21.83
happy;23.45
sad;4.94
surprised;2.57
neutral;6.88
angry;5.33
disgust;0.00
scared;6.48
happy;20.85
sad;3.12
surprised;30.49
neutral;33.73
angry;6.59
disgust;0.02
scared;9.05
happy;16.73
sad;4.12
surprised;26.48
neutral;37.01
angry;5.47
disgust;0.02
scared;6.05
happy;12.12
sad;2.83
surprised;33.29
neutral;40.23
angry;42.39
disgust;0.00
scared;17.85
happy;7.47
sad;27.35
surprised;0.12
neutral;4.82
angry;41.65
disgust;0.01
scared;17.84
happy;11.15
sad;18.56
surprised;0.37
neutral;10.42
angry;17.71
disgust;0.03
scared;10.13
happy;9.63
sad;8.71
surprised;6.91
neutral;46.88
angry;13.29
disgust;0.04
scared;33.64
happy;4.13
sad;7.66
surprised;12.26
neutral;28.97
angry;11.48
disgust;0.02
scared;20.76
happy;12.80
sad;8.26
surprised;10.84
neutral;35.83
angry;12.05
disgust;0.02
scared;10.14
happy;10.84
sad;6.94
surprised;4.70
neutral;55.32
angry;22.44
disgust;0.05
scared;11.98
happy;7.89
sad;10.60
surprised;4.58
neutral;42.47
angry;16.12
disgust;0.06
scared;16.32
happy;5.30
sad;9.49
surprised;8.27
neutral;44.44
angry;22.36
disgust;0.02
scared;19.98
happy;2.12
sad;11.42
surprised;14.47
neutral;29.64
angry;18.94
disgust;0.02
scared;12.97
happy;1.65
sad;7.85
surprised;11.17
neutral;47.40
angry;19.49
disgust;0.02
scared;20.80
happy;1.66
sad;12.34
surprised;3.49
neutral;42.19
angry;29.72
disgust;0.23
scared;23.45
happy;3.32
sad;6.49
surprised;8.58
neutral;28.21
angry;17.17
disgust;0.03
scared;13.89
happy;2.61
sad;11.76
surprised;4.77
neutral;49.76
angry;26.81
disgust;0.03
scared;8.76
happy;3.24
sad;9.36
surprised;3.87
neutral;47.93
angry;23.70
disgust;0.08
scared;5.30
happy;3.97
sad;5.56
surprised;2.92
neutral;58.47
angry;15.22
disgust;0.05
scared;5.62
happy;4.07
sad;4.98
surprised;3.36
neutral;66.70
angry;15.82
disgust;0.06
scared;3.98
happy;5.23
sad;4.14
surprised;3.97
neutral;66.81
angry;15.62
disgust;0.05
scared;4.34
happy;1.83
sad;10.21
surprised;1.29
neutral;66.67
angry;21.43
disgust;0.09
scared;34.80
happy;1.84
sad;8.60
surprised;13.68
neutral;19.56
angry;24.69
disgust;0.07
scared;23.48
happy;3.88
sad;8.14
surprised;12.72
neutral;27.02
angry;28.00
disgust;0.36
scared;15.19
happy;6.84
sad;7.44
surprised;5.58
neutral;36.60
angry;23.07
disgust;0.09
scared;23.19
happy;3.54
sad;6.86
surprised;12.54
neutral;30.71
angry;4.82
disgust;0.01
scared;28.63
happy;6.19
sad;11.02
surprised;29.70
neutral;19.63
angry;4.33
disgust;0.02
scared;18.73
happy;10.60
sad;12.82
surprised;29.45
neutral;24.05
angry;22.60
disgust;6.56
scared;10.67
happy;21.45
sad;20.82
surprised;5.49
neutral;12.40
angry;7.52
disgust;0.01
scared;30.11
happy;4.24
sad;17.84
surprised;26.17
neutral;14.11
angry;25.62
disgust;3.73
scared;9.37
happy;14.76
sad;16.55
surprised;4.86
neutral;25.11
angry;5.02
disgust;0.05
scared;16.06
happy;6.68
sad;7.30
surprised;16.32
neutral;48.57
angry;21.66
disgust;0.23
scared;17.09
happy;26.38
sad;3.01
surprised;15.33
neutral;16.29
angry;13.28
disgust;0.10
scared;23.51
happy;23.20
sad;9.15
surprised;15.36
neutral;15.40
angry;14.38
disgust;0.08
scared;19.06
happy;21.60
sad;4.18
surprised;14.28
neutral;26.41
angry;23.16
disgust;0.05
scared;12.21
happy;7.54
sad;6.75
surprised;4.99
neutral;45.31
angry;2.93
disgust;0.01
scared;46.14
happy;0.80
sad;22.86
surprised;21.96
neutral;5.30
angry;17.09
disgust;0.17
scared;25.11
happy;13.93
sad;5.50
surprised;13.31
neutral;24.89
angry;21.78
disgust;0.35
scared;11.63
happy;27.10
sad;4.97
surprised;8.81
neutral;25.36
angry;24.56
disgust;0.18
scared;15.88
happy;22.62
sad;5.34
surprised;8.39
neutral;23.03
angry;26.34
disgust;0.17
scared;19.75
happy;24.41
sad;4.43
surprised;3.24
neutral;21.66
angry;24.38
disgust;0.07
scared;12.97
happy;14.80
sad;8.00
surprised;5.35
neutral;34.44
angry;12.80
disgust;0.08
scared;10.16
happy;15.15
sad;9.38
surprised;9.70
neutral;42.75
angry;18.31
disgust;0.05
scared;21.03
happy;12.67
sad;10.52
surprised;10.28
neutral;27.14
angry;22.59
disgust;0.21
scared;19.27
happy;10.62
sad;9.00
surprised;8.51
neutral;29.80
angry;18.58
disgust;0.14
scared;21.34
happy;13.85
sad;9.35
surprised;12.46
neutral;24.28
angry;18.86
disgust;0.09
scared;16.26
happy;13.45
sad;10.54
surprised;8.95
neutral;31.84
angry;44.15
disgust;0.53
scared;5.01
happy;10.05
sad;5.74
