Emotions;Percent
angry;10.41
disgust;1.22
scared;14.15
happy;3.45
sad;2.86
surprised;1.46
neutral;66.46
angry;11.28
disgust;1.03
scared;13.33
happy;5.77
sad;2.45
surprised;1.98
neutral;64.16
angry;19.71
disgust;0.98
scared;17.11
happy;6.47
sad;2.98
surprised;1.35
neutral;51.40
angry;13.00
disgust;0.64
scared;14.19
happy;6.18
sad;3.05
surprised;2.04
neutral;60.91
angry;6.01
disgust;0.53
scared;11.78
happy;16.94
sad;2.36
surprised;1.52
neutral;60.86
angry;7.06
disgust;0.59
scared;16.70
happy;14.83
sad;2.76
surprised;1.44
neutral;56.62
angry;19.25
disgust;1.55
scared;23.68
happy;6.25
sad;4.44
surprised;1.77
neutral;43.06
angry;9.97
disgust;1.23
scared;15.51
happy;10.04
sad;3.40
surprised;1.17
neutral;58.67
angry;7.53
disgust;1.16
scared;14.47
happy;7.38
sad;2.90
surprised;1.64
neutral;64.90
angry;15.36
disgust;1.23
scared;21.55
happy;7.59
sad;3.90
surprised;1.91
neutral;48.46
angry;15.04
disgust;1.14
scared;24.06
happy;4.41
sad;5.70
surprised;2.04
neutral;47.62
angry;10.72
disgust;1.21
scared;16.70
happy;5.28
sad;3.73
surprised;1.17
neutral;61.20
angry;20.94
disgust;1.04
scared;24.55
happy;4.69
sad;4.90
surprised;1.66
neutral;42.22
angry;18.05
disgust;0.95
scared;26.98
happy;4.86
sad;4.85
surprised;1.28
neutral;43.04
angry;23.37
disgust;1.23
scared;25.52
happy;2.36
sad;4.06
surprised;1.85
neutral;41.60
angry;12.42
disgust;0.79
scared;21.66
happy;7.43
sad;3.61
surprised;1.85
neutral;52.24
angry;10.96
disgust;0.61
scared;23.27
happy;5.72
sad;3.45
surprised;1.74
neutral;54.26
angry;10.41
disgust;0.45
scared;20.32
happy;4.89
sad;2.94
surprised;1.76
neutral;59.23
angry;8.07
disgust;0.77
scared;17.24
happy;5.49
sad;3.05
surprised;1.95
neutral;63.43
angry;8.20
disgust;0.93
scared;17.79
happy;7.70
sad;3.13
surprised;1.90
neutral;60.36
angry;5.11
disgust;0.52
scared;19.14
happy;12.60
sad;2.72
surprised;3.34
neutral;56.57
angry;11.55
disgust;1.78
scared;26.47
happy;2.12
sad;4.58
surprised;2.46
neutral;51.04
angry;9.78
disgust;1.19
scared;21.36
happy;8.47
sad;3.23
surprised;2.13
neutral;53.84
angry;6.77
disgust;0.66
scared;27.60
happy;7.96
sad;3.48
surprised;3.48
neutral;50.05
angry;12.86
disgust;0.90
scared;23.74
happy;6.32
sad;2.72
surprised;2.04
neutral;51.42
angry;9.49
disgust;0.74
scared;22.50
happy;7.74
sad;2.45
surprised;2.06
neutral;55.01
angry;11.19
disgust;1.00
scared;21.92
happy;4.55
sad;3.80
surprised;1.76
neutral;55.79
angry;9.08
disgust;0.73
scared;22.75
happy;4.87
sad;3.69
surprised;1.72
neutral;57.16
angry;12.16
disgust;1.54
scared;34.58
happy;2.54
sad;3.97
surprised;2.25
neutral;42.97
angry;7.73
disgust;0.77
scared;25.13
happy;5.45
sad;2.79
surprised;2.43
neutral;55.70
angry;5.77
disgust;0.51
scared;16.45
happy;5.74
sad;2.14
surprised;2.11
neutral;67.28
angry;10.80
disgust;0.89
scared;21.75
happy;2.05
sad;3.07
surprised;1.93
neutral;59.51
angry;11.77
disgust;0.80
scared;20.64
happy;3.72
sad;2.46
surprised;2.29
neutral;58.31
angry;6.17
disgust;0.43
scared;14.53
happy;4.03
sad;1.97
