angry;disgust;scared;happy;sad;surprised;neutral
5.05;0.04;11.94;31.72;6.45;3.13;41.67
5.05;0.04;11.94;31.72;6.45;3.13;41.67
4.22;0.04;12.41;31.15;5.86;3.13;43.18
14.52;7.52;25.59;8.64;16.3;4.24;23.19
14.59;7.49;25.34;8.73;16.49;4.29;23.08
2.53;0.63;10.81;43.77;7.19;14.37;20.71
11.09;0.31;8.84;21.7;20.97;2.5;34.58
11.09;0.31;8.84;21.7;20.97;2.5;34.58
9.86;0.31;9.94;22.31;22.09;3.54;31.95
11.3;2.94;18.84;16.65;13.92;7.41;28.95
11.3;2.94;18.84;16.65;13.92;7.41;28.95
10.28;4.82;22.16;14.42;12.48;5.63;30.21
10.05;0.1;13.99;22.87;23.67;3.32;25.99
13.82;12.22;27.71;10.79;13.15;6.34;15.97
13.82;12.22;27.71;10.79;13.15;6.34;15.97
13.79;12.32;26.13;11.23;12.29;6.16;18.08
12.93;8.89;28.27;9.2;12.64;6.72;21.34
12.93;8.89;28.27;9.2;12.64;6.72;21.34
12.42;8.79;27.71;9.76;12.23;6.54;22.55
9.12;6.81;19.38;15.48;14.55;8.71;25.93
10.66;6.03;19.55;11.98;17.8;4.59;29.39
10.66;6.03;19.55;11.98;17.8;4.59;29.39
12.51;8.1;21.53;14.29;13.05;7.03;23.49
10.28;8.18;17.64;14.49;14.44;6.43;28.54
12.14;6.34;21.11;16.95;15.98;5.59;21.9
8.19;7.84;18.29;13.08;15.1;5.81;31.69
8.71;7.87;17.41;12.95;14.52;5.28;33.26
7.66;7.42;16.51;12.23;13.69;5.71;36.78
7.66;7.42;16.51;12.23;13.69;5.71;36.78
10.98;7.63;23.8;7.14;14.53;9.15;26.77
8.24;5.59;24.23;7.42;20.78;4.29;29.43
8.24;5.59;24.25;7.42;20.77;4.29;29.43
8.85;5.06;24.95;7.82;21.13;4.25;27.94
9.8;6.6;23.65;8.56;19.75;6.77;24.86
9.8;6.6;23.65;8.56;19.75;6.77;24.86
8.72;7.79;23.9;7.82;20.37;5.55;25.85
9.45;8.63;23.12;8.05;19.31;4.79;26.66
13.1;6.71;26.58;7.82;21.13;6.17;18.49
7.64;0.14;11.43;37.91;10.89;3.46;28.54
8.82;2.97;19.88;12.76;21.16;4.03;30.37
8.82;2.97;19.88;12.76;21.16;4.03;30.37
8.46;3.01;21.13;11.49;20.94;5.11;29.84
12.15;0.55;18.99;29.27;15.65;3.48;19.92
15.47;0.02;26.99;16.34;11.09;2.65;27.44
15.47;0.02;26.99;16.34;11.09;2.65;27.44
27.25;0.01;15.37;20.8;4.16;4.06;28.33
27.37;0.01;15.49;20.64;4.16;3.97;28.36
23.33;0.01;23.26;19.63;6.06;5.13;22.58
25.19;0.02;21.73;16.5;7.41;4.93;24.22
25.19;0.02;21.73;16.5;7.41;4.93;24.22
4.53;0.61;12.43;44.56;9.3;8.77;19.81
3.66;0.5;14.57;45.68;9.59;9.41;16.59
3.66;0.5;14.57;45.68;9.59;9.41;16.59
3.11;0.46;11.58;47.93;6.87;8.7;21.35
3.11;0.46;11.58;47.93;6.87;8.7;21.35
1.95;0.17;11.46;51.58;6.59;9.75;18.5
9.31;2.15;22.65;18.71;15.59;6.3;25.3
9.06;3.26;10.28;34.11;6.54;10.69;26.05
14.0;4.56;26.16;16.5;12.55;6.99;19.24
14.05;0.17;4.8;60.64;2.57;5.12;12.66
8.33;0.07;4.31;67.22;1.98;7.78;10.3
11.97;3.81;18.55;22.89;10.94;7.04;24.79
11.95;6.08;20.33;18.09;14.28;5.93;23.34
5.14;0.14;19.46;14.37;25.21;4.94;30.74
5.14;0.14;19.46;14.37;25.21;4.94;30.74
5.45;0.16;14.0;8.99;21.56;7.76;42.08
5.45;0.16;14.0;8.99;21.56;7.76;42.08
5.25;0.13;12.25;13.39;20.82;5.55;42.61
5.25;0.13;12.25;13.39;20.82;5.55;42.61
7.27;0.29;20.68;15.1;16.52;5.59;34.55
6.48;0.27;16.88;14.01;26.43;7.41;28.54
6.48;0.27;16.88;14.01;26.43;7.41;28.54
5.22;0.06;1.82;75.64;2.42;3.7;11.15
5.7;0.05;1.89;71.68;2.25;4.31;14.12
5.7;0.05;1.89;71.68;2.25;4.31;14.12
