angry;disgust;scared;happy;sad;surprised;neutral
3.59;0.01;1.07;86.04;1.09;1.02;7.17
6.17;0.02;0.62;86.71;0.83;0.37;5.28
5.58;0.19;0.74;78.72;0.87;0.93;12.96
6.71;1.22;8.65;35.42;12.2;7.9;27.9
7.92;0.38;12.01;29.79;14.15;13.89;21.86
7.65;0.24;7.27;31.89;16.8;6.79;29.36
4.82;0.19;10.06;22.53;15.5;13.49;33.42
7.41;0.26;9.71;18.79;11.53;12.62;39.67
6.29;0.17;6.27;19.42;12.09;15.9;39.86
7.33;0.14;5.71;30.4;10.06;9.53;36.81
6.34;0.1;7.08;28.17;7.33;11.26;39.71
7.95;0.17;11.16;21.84;7.71;24.9;26.28
6.63;0.14;10.67;17.05;8.93;19.06;37.52
4.9;0.08;10.25;21.4;6.79;12.43;44.14
6.43;0.14;7.44;16.74;3.59;22.05;43.62
5.94;0.07;13.6;19.53;7.03;22.42;31.41
4.3;0.09;12.92;14.01;6.81;27.33;34.54
5.36;0.42;13.59;14.27;9.08;20.87;36.4
3.66;0.37;14.23;23.51;7.18;10.37;40.67
5.74;0.56;13.39;25.88;11.62;14.71;28.1
4.73;0.95;18.5;21.55;14.18;11.25;28.84
4.99;0.62;14.24;26.49;16.68;9.6;27.38
4.58;1.4;14.64;30.6;10.22;6.58;31.97
5.98;0.76;16.79;29.62;10.99;3.71;32.15
4.57;0.9;13.01;37.12;9.69;3.78;30.92
3.31;0.45;13.61;24.15;11.19;10.88;36.41
4.69;0.51;12.89;24.66;13.3;9.64;34.31
11.7;0.52;14.66;20.94;18.46;8.46;25.26
11.07;0.33;16.72;21.74;19.35;7.55;23.23
7.72;0.36;13.92;18.35;18.22;11.07;30.36
9.87;0.36;14.24;20.29;19.94;7.27;28.04
9.23;0.53;20.43;18.65;16.39;10.75;24.02
8.72;0.54;13.37;25.8;18.61;7.09;25.87
7.47;0.64;16.42;27.63;16.38;10.32;21.15
4.94;0.36;13.07;29.35;12.44;14.97;24.86
5.89;0.6;11.19;30.2;9.97;15.76;26.38
5.45;0.58;9.6;33.27;8.17;14.15;28.77
5.93;0.67;12.33;26.65;13.23;12.77;28.42
4.94;0.4;10.26;37.65;12.3;6.85;27.61
3.56;0.64;11.4;30.15;12.95;7.45;33.85
3.38;0.28;14.59;26.34;10.25;9.49;35.68
4.08;0.29;11.22;31.85;9.4;10.45;32.7
5.66;0.24;8.58;27.26;7.93;16.62;33.71
9.12;0.09;13.87;24.46;14.06;13.03;25.37
7.19;0.45;16.28;24.27;12.85;8.56;30.4
6.39;0.29;11.93;31.68;15.92;5.26;28.53
5.95;0.4;9.7;42.1;11.68;4.08;26.09
4.0;0.33;10.6;40.77;13.08;4.24;26.97
6.27;0.27;16.63;29.11;14.71;8.73;24.28
5.31;0.37;14.11;43.03;14.74;3.63;18.81
6.2;0.43;16.78;32.71;15.65;7.15;21.08
5.24;0.27;10.8;43.41;13.16;3.62;23.5
7.38;0.27;12.21;23.24;14.15;11.71;31.04
6.68;0.41;10.1;26.07;10.4;11.43;34.9
8.01;1.15;12.85;19.01;10.49;18.97;29.53
6.37;0.34;16.34;27.57;12.64;7.65;29.08
7.71;0.48;11.53;32.2;9.75;8.16;30.18
8.06;0.11;9.52;27.4;10.99;9.99;33.94
2.03;0.07;0.4;94.44;0.41;0.26;2.41
2.17;0.1;0.48;95.19;0.44;0.25;1.37
1.13;0.03;0.29;96.21;0.24;0.43;1.67
1.46;0.07;0.35;96.49;0.35;0.19;1.08
1.75;0.1;0.37;95.95;0.27;0.3;1.27
10.52;0.94;19.58;27.38;10.72;7.96;22.9
11.1;0.59;17.53;23.95;12.53;13.92;20.37
6.74;0.67;12.61;35.5;10.77;11.7;22.01
3.54;0.07;0.5;91.11;0.64;0.41;3.73
18.71;0.52;12.79;20.47;19.84;7.09;20.57
8.58;0.12;9.79;25.55;18.63;10.57;26.75
6.66;0.08;10.95;28.54;20.41;6.22;27.14
11.03;0.08;13.63;24.12;19.76;11.19;20.2
9.22;0.27;18.63;18.55;17.81;11.39;24.14
7.92;0.4;15.37;25.79;22.44;7.33;20.75
14.16;0.33;13.66;26.51;19.91;7.07;18.36
8.83;0.31;18.23;18.95;24.31;6.61;22.77
9.38;0.49;14.43;23.46;21.49;7.04;23.71
2.99;0.9;7.17;34.66;8.38;3.68;42.22
3.46;0.96;14.19;33.67;8.52;5.12;34.09
14.7;0.45;17.76;22.85;18.01;7.95;18.29
9.51;0.51;18.66;23.38;18.23;12.57;17.14
6.16;0.54;17.46;26.7;13.89;8.61;26.64
6.25;0.45;20.53;30.34;15.08;9.54;17.81
5.45;0.64;20.49;34.86;14.54;8.38;15.66
3.89;0.86;17.01;26.62;13.6;6.06;31.96
5.73;0.35;15.34;31.52;21.95;3.85;21.25
4.93;1.91;16.2;28.06;11.48;3.97;33.45
9.16;0.48;16.17;22.24;19.51;9.58;22.86
5.9;0.69;12.84;25.58;12.17;10.79;32.02
3.32;0.77;14.01;30.47;11.01;10.78;29.63
4.2;0.48;12.84;29.42;11.75;11.13;30.17
5.8;0.48;15.71;24.49;19.91;7.05;26.56
5.15;0.49;15.96;30.04;13.76;9.49;25.12
7.09;0.62;14.95;22.77;13.5;11.2;29.87
10.25;0.5;16.83;20.83;18.69;7.28;25.61
4.92;1.02;15.52;31.11;11.53;8.71;27.18
4.18;0.5;11.59;32.24;11.76;5.18;34.56
4.33;0.68;10.82;28.14;10.9;7.02;38.11
5.66;1.27;9.22;29.88;12.67;4.48;36.82
8.44;1.03;13.17;34.21;10.03;1.38;31.73
14.44;0.58;19.31;20.86;12.19;2.21;30.41
8.59;0.5;14.64;29.76;20.04;1.84;24.62
11.46;1.36;13.85;28.18;13.8;2.08;29.27
7.13;0.46;10.0;31.14;17.01;4.61;29.65
9.76;0.31;8.24;30.87;16.92;3.69;30.2
9.93;0.67;12.81;25.31;14.18;7.73;29.37
18.54;0.37;11.49;19.57;18.89;7.53;23.6
14.56;0.5;10.58;25.84;15.17;5.72;27.63
6.9;0.35;13.69;28.13;13.19;7.85;29.89
6.69;0.27;14.03;26.64;15.2;6.73;30.44
12.55;0.62;20.27;19.26;18.18;6.91;22.21
11.17;0.57;14.65;22.69;17.18;6.5;27.23
7.09;0.28;12.08;26.32;15.18;6.73;32.31
8.45;0.4;11.12;30.94;12.01;5.59;31.49
14.83;1.31;13.87;23.21;16.37;6.61;23.79
13.47;0.63;15.22;23.82;17.77;5.77;23.32
10.01;0.77;16.55;27.1;17.65;5.17;22.75
9.42;1.01;13.66;26.34;17.55;4.85;27.17
9.84;0.6;9.01;26.46;13.53;6.5;34.06
11.73;0.97;7.07;26.36;16.39;2.63;34.85
12.94;0.66;12.23;25.51;15.87;5.74;27.05
8.47;0.77;19.68;23.3;19.6;7.11;21.07
8.31;0.5;12.08;25.02;17.44;6.0;30.66
12.04;0.41;16.09;22.62;19.64;5.12;24.07
12.03;0.85;14.67;20.46;19.61;7.07;25.32
10.0;0.48;16.02;20.16;14.33;6.9;32.11
9.13;0.79;15.81;21.61;15.23;6.14;31.31
8.73;0.95;13.94;21.94;14.18;8.03;32.22
9.14;0.61;12.76;25.3;17.26;7.33;27.6
7.96;0.83;14.21;28.77;15.76;7.93;24.54
4.51;0.4;7.87;29.68;12.42;3.61;41.52
5.2;0.44;13.27;30.84;13.7;4.42;32.12
5.76;0.65;15.63;31.69;12.76;2.42;31.09
7.38;0.85;14.71;35.65;11.94;3.31;26.16
7.61;0.64;15.53;29.67;12.72;6.48;27.36
6.02;0.54;14.96;29.75;12.4;4.22;32.1
8.44;1.91;18.1;25.6;17.3;7.4;21.24
5.55;0.05;0.94;86.26;0.79;0.56;5.84
14.27;0.6;16.41;20.91;16.05;9.32;22.46
11.05;0.74;8.3;28.26;17.7;6.67;27.29
10.13;0.14;11.0;33.5;15.07;6.1;24.07
8.39;0.15;10.55;30.35;15.32;6.54;28.69
3.28;0.19;9.31;19.27;13.33;3.9;50.73
9.68;0.47;17.28;23.02;17.4;7.16;24.99
8.54;0.9;11.52;28.31;14.94;4.31;31.48
13.3;0.81;16.71;21.53;14.77;10.66;22.24
8.3;0.73;16.69;21.41;13.81;12.03;27.03
10.01;0.27;15.52;22.8;14.99;9.81;26.61
6.89;0.27;9.7;26.23;10.53;7.7;38.67
5.85;0.75;16.14;26.24;10.76;10.84;29.42
4.8;0.51;11.17;35.03;8.59;5.64;34.25
6.37;0.55;16.74;29.64;14.36;7.15;25.19
6.23;0.69;21.13;27.21;13.97;7.76;23.01
2.72;0.44;10.33;40.29;7.54;5.86;32.83
6.1;0.9;10.58;17.56;9.84;10.63;44.39
3.32;0.37;10.25;36.91;8.23;8.7;32.22
5.41;0.9;14.31;25.55;15.17;11.99;26.67
4.74;0.98;22.13;37.76;10.55;6.03;17.81
10.62;0.65;22.7;29.23;7.53;3.02;26.25
7.32;0.57;17.96;22.98;7.31;4.55;39.31
9.74;0.59;23.11;19.22;18.01;5.0;24.33
7.45;2.29;16.52;25.82;11.08;4.52;32.31
9.37;1.04;21.27;17.91;12.01;6.05;32.35
6.23;0.58;13.32;15.47;10.48;7.54;46.38
10.09;0.56;21.54;21.44;11.8;9.4;25.15
14.4;0.94;28.54;13.95;16.74;7.95;17.48
17.6;0.27;23.42;8.87;14.76;14.8;20.28
7.32;0.58;19.2;19.51;10.31;8.5;34.58
12.65;0.31;17.14;16.09;15.4;9.35;29.06
12.79;0.34;24.52;17.96;18.86;6.63;18.9
9.07;0.48;19.37;18.22;13.86;5.36;33.63
22.52;0.48;22.95;11.31;14.19;11.04;17.52
11.52;0.51;14.07;21.03;11.06;10.61;31.2
11.44;0.48;18.43;16.86;11.74;16.01;25.04
15.56;0.77;15.25;22.75;15.72;9.21;20.73
5.82;0.03;0.88;87.36;0.9;0.3;4.71
8.93;0.91;19.91;22.4;18.87;4.83;24.14
3.66;0.09;0.96;86.85;0.91;0.61;6.92
12.19;1.18;12.1;26.86;13.05;3.52;31.09
12.22;0.47;12.8;25.62;12.09;12.53;24.26
10.75;0.09;1.65;78.61;1.46;0.28;7.17
3.25;0.07;0.88;85.87;1.13;0.7;8.1
2.82;0.02;0.52;89.97;0.88;0.39;5.39
2.67;0.04;0.48;91.65;0.65;0.27;4.24
4.03;0.04;0.96;89.2;1.08;0.32;4.38
7.23;0.08;1.21;86.67;1.24;0.26;3.31
1.48;0.05;0.42;94.59;0.58;0.35;2.54
2.25;0.01;0.34;93.84;0.52;0.27;2.78
1.03;0.01;0.3;94.98;0.52;0.24;2.93
27.41;0.29;15.84;18.89;17.94;6.1;13.52
2.34;0.02;0.76;93.5;0.59;0.21;2.58
1.29;0.01;0.36;95.1;0.43;0.38;2.43
5.48;0.03;1.12;84.22;1.16;0.73;7.26
2.15;0.07;0.55;90.72;0.53;0.8;5.19
2.19;0.01;0.6;93.07;0.49;0.26;3.37
1.69;0.02;0.31;95.24;0.28;0.44;2.01
3.34;0.05;1.23;87.98;0.69;0.64;6.07
9.03;0.97;13.58;22.07;12.7;13.13;28.53
3.5;0.02;0.86;89.06;0.86;0.57;5.13
11.31;1.26;16.54;19.69;19.89;9.18;22.13
3.87;0.05;1.3;85.03;0.82;0.63;8.3
8.81;1.06;14.42;18.19;16.3;9.52;31.7
10.42;0.16;11.42;11.39;17.22;16.93;32.46
4.0;0.01;0.62;88.04;0.74;0.42;6.17
4.35;3.98;16.1;9.17;11.79;23.64;30.97
4.65;0.04;0.83;88.49;0.75;0.72;4.52
13.78;0.04;1.64;70.27;1.3;1.84;11.13
6.22;0.02;1.27;85.23;1.16;0.52;5.57
5.73;0.09;1.39;86.19;1.15;0.6;4.86
9.24;0.08;1.51;81.18;1.06;0.91;6.02
5.14;0.04;0.89;84.93;1.04;0.78;7.2
6.43;0.04;1.58;83.58;1.64;0.74;5.98
8.07;0.01;1.93;73.44;2.64;0.51;13.4
9.51;0.05;2.36;72.96;2.42;0.6;12.11
7.82;0.01;1.92;78.43;1.91;0.71;9.19
5.14;0.01;1.62;84.84;1.72;0.82;5.84
4.37;0.01;1.65;83.7;1.93;1.14;7.2
8.37;0.09;2.81;76.79;2.52;1.05;8.37
7.59;0.05;1.98;80.01;2.03;0.83;7.51
9.24;0.03;2.97;72.0;3.14;0.9;11.73
5.08;0.07;2.39;77.52;2.64;0.87;11.43
5.61;0.03;2.76;78.94;2.76;0.68;9.21
6.8;0.03;2.69;76.09;2.57;0.86;10.95
10.58;0.26;3.91;63.5;4.05;1.52;16.18
42.12;0.6;16.82;3.65;10.14;4.64;22.04
38.68;0.89;15.74;6.49;7.78;8.76;21.65
5.72;0.4;10.68;20.83;23.44;10.7;28.24
3.3;0.09;10.67;23.54;13.89;17.42;31.09
4.34;0.09;10.2;26.92;10.59;15.36;32.5
3.55;0.15;7.48;45.76;10.53;11.7;20.83
6.63;0.02;2.06;75.72;3.14;0.77;11.67
6.62;0.01;2.34;77.66;2.09;2.06;9.22
3.77;0.01;1.25;86.82;0.94;1.08;6.13
5.42;0.02;1.76;82.22;1.52;0.86;8.21
6.22;0.04;2.55;77.45;2.17;1.2;10.39
10.5;0.04;4.23;67.65;3.52;2.03;12.04
8.94;0.04;3.98;61.48;4.35;2.15;19.07
14.17;1.07;35.63;10.3;5.03;15.7;18.11
5.95;0.03;1.47;82.67;1.51;0.94;7.43
6.39;0.02;1.24;81.62;1.4;0.64;8.69
5.61;0.03;2.06;74.0;2.41;1.5;14.39
6.41;0.03;2.16;69.35;2.41;1.21;18.43
7.39;0.03;2.31;70.92;2.53;1.54;15.29
4.31;0.04;1.8;74.22;2.33;1.6;15.71
5.18;0.05;1.53;78.71;1.95;0.87;11.71
14.8;1.18;42.08;5.66;6.06;15.71;14.52
10.09;0.92;49.42;8.37;5.23;5.6;20.38
5.94;0.03;2.14;77.57;3.01;0.71;10.59
10.49;0.12;2.56;63.01;4.39;0.94;18.5
6.83;0.5;56.15;6.61;6.21;6.59;17.11
8.41;0.04;2.01;65.43;3.26;0.67;20.19
8.26;0.02;1.53;70.57;2.85;0.46;16.32
12.9;0.04;2.83;59.0;4.07;0.78;20.38
5.27;0.06;2.05;72.96;2.3;1.39;15.97
3.88;0.07;1.23;84.13;1.85;0.64;8.2
6.88;0.05;2.74;71.73;3.31;1.02;14.26
8.44;0.1;43.79;11.61;5.68;4.59;25.79
9.76;0.11;2.9;67.74;2.66;1.46;15.37
6.46;0.1;2.18;76.69;2.94;1.0;10.63
6.81;0.13;3.71;68.06;3.47;1.47;16.36
10.42;0.08;4.54;67.69;3.53;1.15;12.59
15.25;0.12;3.29;63.6;3.86;0.72;13.15
11.11;0.09;4.86;62.1;4.94;1.17;15.73
4.26;0.08;2.89;76.76;1.76;1.14;13.12
15.11;0.19;44.93;9.23;4.61;3.44;22.49
4.85;0.04;1.39;83.1;0.95;0.64;9.03
11.73;0.04;28.16;11.04;2.55;1.36;45.12
2.7;0.06;0.97;88.73;0.92;0.46;6.17
15.26;0.52;46.77;9.59;5.09;5.77;16.99
3.92;0.11;1.59;84.18;2.1;0.72;7.39
6.27;0.28;2.37;75.9;2.08;0.76;12.33
4.53;0.13;1.96;79.69;2.06;1.01;10.63
12.28;1.16;36.99;14.17;5.84;10.39;19.17
10.84;0.25;4.23;66.28;4.78;0.78;12.84
10.45;0.22;4.84;59.83;3.45;0.58;20.64
13.79;0.45;47.51;12.19;6.41;5.52;14.13
14.98;0.28;47.22;11.51;7.04;5.96;13.02
13.57;0.04;48.09;8.47;4.14;2.61;23.08
12.09;0.03;47.54;8.22;3.54;1.88;26.71
12.52;0.19;55.27;8.9;5.65;4.61;12.87
13.07;0.04;47.78;8.84;5.05;2.18;23.03
11.18;0.29;44.53;10.12;6.76;6.06;21.06
14.73;0.53;45.07;9.67;6.65;5.17;18.18
11.71;0.44;49.02;8.65;7.47;4.48;18.24
15.33;0.61;46.77;8.29;6.02;6.52;16.47
20.19;0.59;33.69;12.51;8.98;10.14;13.91
20.64;0.42;33.43;13.49;5.71;12.73;13.58
6.69;0.17;2.99;69.69;3.07;0.6;16.78
