Emotions;Percent
angry;8.99
disgust;0.12
scared;14.00
happy;0.28
sad;43.34
surprised;1.08
neutral;32.20
angry;4.77
disgust;0.18
scared;10.03
happy;1.00
sad;31.98
surprised;0.33
neutral;51.71
angry;5.28
disgust;0.02
scared;15.40
happy;12.70
sad;5.97
surprised;9.21
neutral;51.42
angry;3.07
disgust;0.12
scared;9.85
happy;1.04
sad;35.82
surprised;0.42
neutral;49.67
angry;6.61
disgust;0.13
scared;9.01
happy;0.75
sad;39.46
surprised;0.31
neutral;43.73
angry;4.47
disgust;0.27
scared;9.44
happy;1.04
sad;34.78
surprised;0.13
neutral;49.86
angry;6.09
disgust;0.27
scared;12.54
happy;0.86
sad;43.44
surprised;0.36
neutral;36.44
angry;3.68
disgust;0.07
scared;7.60
happy;0.48
sad;28.29
surprised;0.30
neutral;59.58
angry;3.54
disgust;0.10
scared;9.01
happy;0.81
sad;32.63
surprised;0.30
neutral;53.61
angry;3.36
disgust;0.26
scared;12.78
happy;0.61
sad;34.42
surprised;0.57
neutral;48.00
angry;3.97
disgust;0.22
scared;11.54
happy;0.76
sad;38.73
surprised;0.41
neutral;44.36
angry;2.73
disgust;0.09
scared;7.36
happy;0.79
sad;32.58
surprised;0.17
neutral;56.28
angry;3.44
disgust;0.13
scared;6.94
happy;1.47
sad;27.74
surprised;0.19
neutral;60.08
angry;3.67
disgust;0.03
scared;15.34
happy;6.63
sad;6.59
surprised;8.16
neutral;59.58
angry;2.91
disgust;0.14
scared;7.52
happy;1.17
sad;25.87
surprised;0.15
neutral;62.24
angry;3.40
disgust;0.20
scared;8.11
happy;1.36
sad;31.62
surprised;0.24
neutral;55.08
angry;3.44
disgust;0.06
scared;7.31
happy;1.20
sad;28.08
surprised;0.15
neutral;59.75
angry;3.73
disgust;0.26
scared;7.05
happy;1.58
sad;28.07
surprised;0.11
neutral;59.21
angry;3.13
disgust;0.10
scared;8.25
happy;1.09
sad;28.74
surprised;0.17
neutral;58.52
angry;4.08
disgust;0.25
scared;11.25
happy;0.99
sad;40.11
surprised;0.39
neutral;42.94
angry;3.69
disgust;0.07
scared;8.38
happy;1.13
sad;27.34
surprised;0.20
neutral;59.19
angry;4.59
disgust;0.46
scared;9.27
happy;0.88
sad;41.19
surprised;0.20
neutral;43.41
angry;3.21
disgust;0.20
scared;6.45
happy;1.59
sad;27.53
surprised;0.22
neutral;60.79
angry;4.63
disgust;0.18
scared;10.46
happy;1.13
sad;38.17
surprised;0.40
neutral;45.03
angry;2.70
disgust;0.08
scared;6.79
happy;1.43
sad;28.18
surprised;0.19
neutral;60.65
angry;2.68
disgust;0.06
scared;6.60
happy;1.61
sad;29.13
surprised;0.15
neutral;59.77
angry;3.33
disgust;0.08
scared;6.86
happy;1.23
sad;32.05
surprised;0.18
neutral;56.27
angry;3.83
disgust;0.04
scared;6.89
happy;1.14
sad;28.23
surprised;0.13
neutral;59.74
angry;3.09
disgust;0.05
scared;7.87
happy;1.50
sad;29.01
surprised;0.19
neutral;58.29
angry;3.24
disgust;0.06
scared;8.40
happy;1.37
sad;33.66
surprised;0.21
neutral;53.07
angry;3.27
disgust;0.07
scared;7.73
happy;0.99
sad;33.47
surprised;0.15
neutral;54.32
angry;5.26
disgust;0.13
scared;10.53
happy;0.99
sad;38.78
surprised;0.19
neutral;44.12
angry;3.16
disgust;0.06
scared;9.04
happy;1.18
sad;28.68
surprised;0.18
neutral;57.70
angry;3.71
disgust;0.09
scared;7.77
happy;0.53
sad;32.78
surprised;0.13
neutral;54.99
angry;2.76
disgust;0.06
scared;6.04
happy;1.15
sad;24.42
surprised;0.11
neutral;65.46
angry;4.01
disgust;0.13
scared;6.62
happy;1.76
sad;25.52
surprised;0.14
neutral;61.82
angry;2.40
disgust;0.05
scared;6.32
happy;0.78
sad;27.48
surprised;0.09
neutral;62.87
angry;2.49
disgust;0.03
scared;6.00
happy;0.58
sad;22.42
surprised;0.12
neutral;68.36
angry;3.40
disgust;0.32
scared;7.95
happy;1.80
sad;26.42
surprised;0.13
neutral;59.98
angry;3.75
disgust;0.22
scared;6.51
happy;2.03
sad;27.39
surprised;0.12
neutral;59.98
angry;4.31
disgust;0.24
scared;11.86
happy;1.24
sad;28.39
surprised;0.16
neutral;53.80
angry;3.90
disgust;0.15
scared;7.19
happy;1.33
sad;28.07
surprised;0.17
neutral;59.20
angry;4.00
disgust;0.17
scared;7.83
happy;1.78
sad;26.34
surprised;0.16
neutral;59.72
angry;4.48
disgust;0.21
scared;9.05
happy;1.61
sad;30.31
surprised;0.23
neutral;54.10
angry;3.19
disgust;0.16
scared;7.61
happy;2.35
sad;26.23
surprised;0.17
neutral;60.28
angry;4.08
disgust;0.19
scared;9.44
happy;1.48
sad;31.60
surprised;0.22
neutral;52.99
angry;6.65
disgust;0.13
scared;12.06
happy;0.35
sad;41.11
surprised;0.25
neutral;39.46
angry;3.40
disgust;0.14
scared;9.21
happy;1.87
sad;30.68
surprised;0.22
neutral;54.49
angry;10.11
disgust;0.04
scared;12.70
happy;0.32
sad;39.96
surprised;0.24
neutral;36.63
angry;6.38
disgust;0.11
scared;12.86
happy;0.37
sad;44.23
surprised;0.26
neutral;35.79
angry;6.16
disgust;0.09
scared;9.67
happy;0.79
sad;38.00
surprised;0.22
neutral;45.08
angry;5.19
disgust;0.07
scared;9.05
happy;1.11
sad;30.95
surprised;0.13
neutral;53.51
angry;5.20
disgust;0.05
scared;9.16
happy;2.06
sad;28.89
surprised;0.11
neutral;54.54
angry;5.76
disgust;0.10
scared;10.70
happy;0.96
sad;31.56
surprised;0.14
neutral;50.77
angry;5.17
disgust;0.04
scared;8.99
happy;1.73
sad;33.08
surprised;0.11
neutral;50.88
angry;3.79
disgust;0.02
scared;17.96
happy;7.66
sad;5.21
surprised;10.26
neutral;55.11
angry;6.91
