angry;disgust;scared;happy;sad;surprised;neutral
8.99;0.12;14.0;0.28;43.34;1.08;32.2
4.77;0.18;10.03;1.0;31.98;0.33;51.71
5.28;0.02;15.4;12.7;5.97;9.21;51.42
3.07;0.12;9.85;1.04;35.82;0.42;49.67
6.61;0.13;9.01;0.75;39.46;0.31;43.73
4.47;0.27;9.44;1.04;34.78;0.13;49.86
6.09;0.27;12.54;0.86;43.44;0.36;36.44
3.68;0.07;7.6;0.48;28.29;0.3;59.58
3.54;0.1;9.01;0.81;32.63;0.3;53.61
3.36;0.26;12.78;0.61;34.42;0.57;48.0
3.97;0.22;11.54;0.76;38.73;0.41;44.36
2.73;0.09;7.36;0.79;32.58;0.17;56.28
3.44;0.13;6.94;1.47;27.74;0.19;60.08
3.67;0.03;15.34;6.63;6.59;8.16;59.58
2.91;0.14;7.52;1.17;25.87;0.15;62.24
3.4;0.2;8.11;1.36;31.62;0.24;55.08
3.44;0.06;7.31;1.2;28.08;0.15;59.75
3.73;0.26;7.05;1.58;28.07;0.11;59.21
3.13;0.1;8.25;1.09;28.74;0.17;58.52
4.08;0.25;11.25;0.99;40.11;0.39;42.94
3.69;0.07;8.38;1.13;27.34;0.2;59.19
4.59;0.46;9.27;0.88;41.19;0.2;43.41
3.21;0.2;6.45;1.59;27.53;0.22;60.79
4.63;0.18;10.46;1.13;38.17;0.4;45.03
2.7;0.08;6.79;1.43;28.18;0.19;60.65
2.68;0.06;6.6;1.61;29.13;0.15;59.77
3.33;0.08;6.86;1.23;32.05;0.18;56.27
3.83;0.04;6.89;1.14;28.23;0.13;59.74
3.09;0.05;7.87;1.5;29.01;0.19;58.29
3.24;0.06;8.4;1.37;33.66;0.21;53.07
3.27;0.07;7.73;0.99;33.47;0.15;54.32
5.26;0.13;10.53;0.99;38.78;0.19;44.12
3.16;0.06;9.04;1.18;28.68;0.18;57.7
3.71;0.09;7.77;0.53;32.78;0.13;54.99
2.76;0.06;6.04;1.15;24.42;0.11;65.46
4.01;0.13;6.62;1.76;25.52;0.14;61.82
2.4;0.05;6.32;0.78;27.48;0.09;62.87
2.49;0.03;6.0;0.58;22.42;0.12;68.36
3.4;0.32;7.95;1.8;26.42;0.13;59.98
3.75;0.22;6.51;2.03;27.39;0.12;59.98
4.31;0.24;11.86;1.24;28.39;0.16;53.8
3.9;0.15;7.19;1.33;28.07;0.17;59.2
4.0;0.17;7.83;1.78;26.34;0.16;59.72
4.48;0.21;9.05;1.61;30.31;0.23;54.1
3.19;0.16;7.61;2.35;26.23;0.17;60.28
4.08;0.19;9.44;1.48;31.6;0.22;52.99
6.65;0.13;12.06;0.35;41.11;0.25;39.46
