Emotions;Percent
angry;5.57
disgust;0.04
scared;3.21
happy;0.91
sad;10.23
surprised;0.39
neutral;79.65
angry;5.67
disgust;0.03
scared;2.86
happy;1.77
sad;10.25
surprised;0.23
neutral;79.19
angry;6.85
disgust;0.09
scared;3.65
happy;3.45
sad;13.28
surprised;0.52
neutral;72.17
angry;8.87
disgust;0.07
scared;4.11
happy;3.43
sad;12.96
surprised;1.76
neutral;68.81
angry;9.64
disgust;0.04
scared;6.14
happy;3.30
sad;14.04
surprised;2.45
neutral;64.39
angry;5.61
disgust;0.03
scared;4.25
happy;1.45
sad;9.39
surprised;1.88
neutral;77.39
angry;13.17
disgust;0.02
scared;15.10
happy;7.30
sad;8.07
surprised;22.11
neutral;34.22
angry;13.83
disgust;0.02
scared;15.40
happy;7.22
sad;7.99
surprised;16.93
neutral;38.63
angry;6.75
disgust;0.05
scared;6.93
happy;3.79
sad;11.90
surprised;3.46
neutral;67.13
angry;4.36
disgust;0.02
scared;4.70
happy;2.39
sad;10.40
surprised;2.26
neutral;75.87
angry;5.03
disgust;0.02
scared;8.07
happy;2.67
sad;8.52
surprised;7.72
neutral;67.98
angry;3.86
disgust;0.01
scared;5.32
happy;1.57
sad;7.82
surprised;3.86
neutral;77.57
angry;4.26
disgust;0.01
scared;5.46
happy;3.07
sad;7.85
surprised;3.08
neutral;76.28
angry;7.58
disgust;0.01
scared;6.40
happy;1.22
sad;8.73
surprised;8.26
neutral;67.80
angry;6.00
disgust;0.01
scared;7.77
happy;4.09
sad;11.99
surprised;6.04
neutral;64.08
angry;3.31
disgust;0.01
scared;4.43
happy;0.64
sad;5.49
surprised;15.01
neutral;71.11
angry;5.43
disgust;0.02
scared;2.36
happy;1.76
sad;5.26
surprised;7.20
neutral;77.97
angry;1.73
disgust;0.00
scared;2.18
happy;2.51
sad;3.05
surprised;1.39
neutral;89.14
angry;5.57
disgust;0.07
scared;3.21
happy;4.59
sad;7.65
surprised;0.58
neutral;78.33
angry;11.87
disgust;1.75
scared;2.75
happy;1.73
sad;20.25
surprised;0.85
neutral;60.80
angry;7.29
disgust;0.48
scared;2.00
happy;3.03
sad;26.30
surprised;1.06
neutral;59.84
angry;7.78
disgust;0.44
scared;4.49
happy;3.78
sad;21.67
surprised;1.26
neutral;60.59
angry;4.26
disgust;0.14
scared;1.75
happy;3.97
sad;12.99
surprised;0.41
neutral;76.49
angry;4.10
disgust;0.41
scared;2.41
happy;6.26
sad;11.22
surprised;0.42
neutral;75.17
angry;4.18
disgust;0.20
scared;1.77
happy;2.35
sad;7.61
surprised;0.29
neutral;83.61
angry;5.24
disgust;0.15
scared;2.33
happy;2.55
sad;11.71
surprised;0.16
neutral;77.86
angry;2.51
disgust;0.01
scared;2.53
happy;2.96
sad;8.31
surprised;0.07
neutral;83.61
angry;3.46
disgust;0.01
scared;2.57
happy;3.75
sad;10.64
surprised;0.04
neutral;79.53
angry;6.86
disgust;0.03
scared;6.05
happy;3.04
sad;19.48
surprised;0.21
neutral;64.32
angry;8.00
disgust;0.04
