Emotions;Percent
angry;2.3
disgust;1.31
scared;4.15
happy;0.66
sad;16.43
surprised;0.05
neutral;75.09
angry;7.22
disgust;0.56
scared;11.54
happy;0.76
sad;21.69
surprised;0.11
neutral;58.12
angry;5.27
disgust;0.83
scared;9.16
happy;1.05
sad;24.48
surprised;0.2
neutral;59.01
angry;4.17
disgust;0.3
scared;5.77
happy;0.79
sad;15.02
surprised;0.2
neutral;73.76
angry;2.16
disgust;0.08
scared;2.86
happy;0.48
sad;11.77
surprised;0.11
neutral;82.53
angry;2.32
disgust;0.35
scared;4.05
happy;0.84
sad;13.42
surprised;0.12
neutral;78.91
angry;3.05
disgust;0.48
scared;4.46
happy;0.73
sad;13.02
surprised;0.08
neutral;78.18
angry;2.76
disgust;0.47
scared;2.66
happy;0.52
sad;16.3
surprised;0.04
neutral;77.27
angry;3.84
disgust;0.88
scared;5.31
happy;0.85
sad;20.39
surprised;0.14
neutral;68.58
angry;3.19
disgust;0.33
scared;3.39
happy;0.32
sad;15.35
surprised;0.05
neutral;77.38
angry;2.57
disgust;1.27
scared;3.39
happy;0.29
sad;10.91
surprised;0.03
neutral;81.54
angry;2.36
disgust;0.66
scared;3.71
happy;0.43
sad;12.78
surprised;0.07
neutral;79.99
angry;4.2
disgust;1.27
scared;5.43
happy;0.49
sad;15.37
surprised;0.1
neutral;73.14
angry;2.23
disgust;0.52
scared;3.29
happy;0.32
sad;8.94
surprised;0.03
neutral;84.68
angry;3.23
disgust;0.55
scared;4.53
happy;0.48
sad;16.25
surprised;0.14
neutral;74.81
angry;2.49
disgust;0.53
scared;2.53
happy;0.28
sad;12.75
surprised;0.02
neutral;81.38
angry;5.1
disgust;0.24
scared;6.17
happy;0.46
sad;15.6
surprised;0.23
neutral;72.2
angry;5.02
disgust;1.09
scared;3.8
happy;0.39
sad;17.13
surprised;0.06
neutral;72.51
angry;2.88
disgust;2.85
scared;6.13
happy;0.23
sad;24.58
surprised;0.05
neutral;63.27
angry;2.91
disgust;2.32
scared;5.77
happy;0.5
sad;28.22
surprised;0.11
neutral;60.16
angry;2.96
disgust;1.12
scared;6.2
happy;0.45
sad;24.52
surprised;0.15
neutral;64.6
angry;4.35
disgust;1.0
scared;7.74
happy;0.3
sad;19.15
surprised;0.23
neutral;67.22
angry;4.11
disgust;0.51
scared;10.62
happy;0.26
sad;21.09
surprised;0.11
neutral;63.29
angry;2.85
disgust;0.79
scared;3.8
happy;0.09
sad;15.68
surprised;0.04
neutral;76.77
angry;3.14
disgust;0.32
scared;4.01
happy;0.33
sad;14.94
surprised;0.05
neutral;77.21
angry;4.45
disgust;0.34
scared;3.33
happy;0.17
sad;16.16
surprised;0.07
neutral;75.48
angry;6.96
disgust;0.43
scared;9.93
happy;0.19
sad;24.27
surprised;0.15
neutral;58.07
angry;2.24
disgust;0.15
scared;2.51
happy;0.12
sad;12.2
surprised;0.02
neutral;82.76
angry;3.36
disgust;0.42
scared;3.84
happy;0.19
sad;17.92
surprised;0.03
neutral;74.24
angry;1.79
disgust;0.05
scared;2.85
happy;0.15
sad;9.86
surprised;0.01
neutral;85.28
angry;2.66
disgust;0.11
scared;2.89
happy;0.18
sad;11.38
surprised;0.03
neutral;82.76
angry;4.28
disgust;0.54
scared;3.86
happy;0.33
sad;14.69
surprised;0.04
neutral;76.27
angry;3.2
disgust;0.23
scared;1.38
happy;0.14
sad;8.83
surprised;0.03
neutral;86.2
angry;2.08
disgust;0.11
scared;1.5
happy;0.11
sad;11.17
surprised;0.03
neutral;84.99
angry;3.02
disgust;0.16
scared;1.68
happy;0.12
sad;10.29
surprised;0.02
neutral;84.71
angry;2.74
disgust;0.23
scared;1.73
happy;0.18
sad;12.36
surprised;0.04
neutral;82.7
angry;1.54
disgust;0.05
scared;2.51
happy;0.2
sad;12.13
surprised;0.02
neutral;83.56
angry;2.2
disgust;0.1
scared;2.25
happy;0.14
sad;12.46
surprised;0.04
neutral;82.82
angry;1.55
disgust;0.04
scared;1.9
happy;0.23
sad;10.09
surprised;0.05
neutral;86.14
angry;2.54
disgust;0.03
scared;3.04
happy;0.23
sad;11.79
surprised;0.09
neutral;82.29
angry;2.28
disgust;0.05
scared;2.5
happy;0.2
sad;10.02
surprised;0.02
neutral;84.92
angry;1.61
disgust;0.04
scared;1.99
happy;0.06
sad;12.32
surprised;0.02
neutral;83.96
angry;0.77
disgust;0.02
scared;1.74
happy;0.12
sad;7.98
surprised;0.02
neutral;89.35
angry;1.14
disgust;0.04
scared;2.14
happy;0.12
sad;9.38
surprised;0.02
neutral;87.16
angry;1.46
disgust;0.06
scared;2.46
happy;0.13
sad;12.34
surprised;0.02
neutral;83.53
angry;2.15
disgust;0.04
scared;2.55
happy;0.14
sad;11.5
surprised;0.03
neutral;83.59
angry;1.7
disgust;0.08
scared;2.26
happy;0.17
sad;12.07
surprised;0.03
neutral;83.69
angry;2.19
disgust;0.13
scared;2.93
happy;0.22
sad;13.98
surprised;0.03
neutral;80.53
angry;1.95
disgust;0.11
scared;3.03
happy;0.24
sad;14.52
surprised;0.04
neutral;80.11
angry;5.43
disgust;0.26
scared;2.58
happy;0.15
sad;15.91
surprised;0.03
neutral;75.63
angry;3.74
disgust;0.25
scared;3.16
happy;0.3
sad;13.14
surprised;0.04
neutral;79.38
angry;3.18
disgust;0.06
scared;2.47
happy;0.16
sad;14.35
surprised;0.05
neutral;79.73
angry;3.54
disgust;0.15
scared;3.09
happy;0.21
sad;13.41
surprised;0.03
neutral;79.57
angry;1.75
disgust;0.11
scared;2.35
happy;0.19
sad;8.66
surprised;0.05
neutral;86.89
angry;0.93
disgust;0.06
scared;1.08
happy;0.1
sad;6.97
surprised;0.03
neutral;90.84
angry;0.85
disgust;0.61
scared;1.51
happy;0.17
sad;9.41
surprised;0.03
neutral;87.43
angry;0.82
disgust;0.25
scared;1.58
happy;0.08
sad;11.08
surprised;0.02
neutral;86.17
angry;0.94
disgust;0.25
scared;2.62
happy;0.1
sad;9.68
surprised;0.03
neutral;86.39
