Emotions;Percent
angry;8.02
disgust;6.56
scared;10.45
happy;7.43
sad;18.21
surprised;0.31
neutral;49.01
angry;8.23
disgust;7.25
scared;10.51
happy;7.25
sad;17.97
surprised;0.30
neutral;48.49
angry;5.06
disgust;4.76
scared;10.21
happy;3.99
sad;14.62
surprised;0.24
neutral;61.12
angry;8.63
disgust;5.68
scared;10.75
happy;7.62
sad;17.89
surprised;0.33
neutral;49.10
angry;7.42
disgust;5.85
scared;14.54
happy;2.68
sad;16.35
surprised;0.24
neutral;52.92
angry;9.87
disgust;19.64
scared;10.56
happy;4.98
sad;17.93
surprised;0.20
neutral;36.82
angry;10.26
disgust;5.43
scared;15.57
happy;3.26
sad;17.34
surprised;0.28
neutral;47.86
angry;9.01
disgust;1.76
scared;13.43
happy;5.45
sad;20.01
surprised;0.39
neutral;49.94
angry;7.26
disgust;0.66
scared;20.43
happy;4.59
sad;29.31
surprised;0.71
neutral;37.03
angry;17.98
disgust;3.69
scared;14.42
happy;3.87
sad;21.85
surprised;0.13
neutral;38.05
angry;11.78
disgust;5.01
scared;11.19
happy;5.37
sad;18.70
surprised;0.20
neutral;47.76
angry;12.94
disgust;14.76
scared;11.46
happy;4.50
sad;20.02
surprised;0.20
neutral;36.12
angry;11.95
disgust;5.92
scared;18.96
happy;3.52
sad;22.19
surprised;0.31
neutral;37.15
angry;6.74
disgust;0.20
scared;14.52
happy;4.86
sad;26.09
surprised;0.30
neutral;47.28
angry;5.00
disgust;0.20
scared;15.57
happy;5.43
sad;21.38
surprised;0.30
neutral;52.12
angry;10.90
disgust;8.71
scared;17.58
happy;5.20
sad;24.16
surprised;0.51
neutral;32.93
angry;13.60
disgust;0.90
scared;17.58
happy;4.56
sad;28.29
surprised;0.47
neutral;34.61
angry;7.23
disgust;2.71
scared;9.81
happy;10.08
sad;22.42
surprised;0.54
neutral;47.21
angry;6.27
disgust;7.06
scared;15.43
happy;6.95
sad;22.37
surprised;0.81
neutral;41.10
angry;5.92
disgust;0.38
scared;18.33
happy;4.84
sad;25.14
surprised;0.44
neutral;44.96
angry;6.18
disgust;0.40
scared;18.48
happy;4.92
sad;24.92
surprised;0.44
neutral;44.65
angry;6.08
disgust;30.42
scared;11.92
happy;2.39
sad;15.05
surprised;0.18
neutral;33.97
angry;5.92
disgust;30.67
scared;12.16
happy;2.22
sad;15.59
surprised;0.17
neutral;33.27
angry;6.02
disgust;4.23
scared;11.89
happy;6.21
sad;25.69
surprised;0.46
neutral;45.50
angry;6.36
disgust;4.64
scared;12.82
happy;5.62
sad;28.53
surprised;0.53
neutral;41.50
angry;6.55
disgust;5.37
scared;12.68
happy;5.38
sad;28.73
surprised;0.54
neutral;40.74
angry;6.23
disgust;11.36
scared;17.81
happy;3.29
sad;23.33
surprised;0.41
neutral;37.58
angry;6.34
disgust;12.24
scared;17.84
happy;3.30
sad;22.99
surprised;0.41
neutral;36.88
angry;4.60
disgust;3.68
scared;9.74
happy;6.73
sad;34.49
surprised;0.09
neutral;40.66
angry;4.10
disgust;1.98
scared;10.92
happy;8.13
sad;38.66
surprised;0.08
neutral;36.13
angry;5.42
disgust;0.75
scared;15.66
happy;11.01
sad;31.61
surprised;0.20
neutral;35.35
angry;5.62
disgust;4.31
scared;15.58
happy;4.86
sad;33.80
surprised;0.09
neutral;35.74
angry;6.73
disgust;1.74
scared;12.57
happy;5.69
sad;36.08
surprised;0.09
neutral;37.09
angry;10.66
disgust;1.71
scared;17.28
happy;4.39
sad;24.57
surprised;0.20
neutral;41.19
angry;9.96
disgust;0.48
scared;14.70
happy;4.45
sad;26.04
surprised;0.33
neutral;44.04
angry;15.95
disgust;4.32
scared;12.21
happy;2.71
sad;28.49
surprised;0.24
neutral;36.08
angry;9.59
disgust;1.48
scared;17.13
happy;6.03
sad;25.01
surprised;0.53
neutral;40.22
angry;9.11
disgust;2.69
scared;14.99
happy;4.42
sad;24.92
surprised;0.39
neutral;43.47
angry;9.30
disgust;2.61
scared;15.26
happy;4.27
sad;24.26
surprised;0.41
neutral;43.88
angry;13.90
disgust;3.29
scared;11.37
happy;4.32
sad;23.18
surprised;0.32
neutral;43.62
angry;12.93
disgust;1.87
scared;20.80
happy;3.56
sad;22.79
surprised;0.18
neutral;37.86
angry;13.23
disgust;1.50
scared;20.48
happy;3.00
sad;25.84
surprised;0.42
neutral;35.53
angry;5.30
disgust;0.38
scared;16.07
happy;3.60
sad;18.77
surprised;0.35
neutral;55.53
angry;5.06
disgust;0.11
scared;10.53
happy;6.66
sad;18.95
surprised;0.33
neutral;58.35
angry;9.42
disgust;0.28
scared;14.44
happy;4.61
sad;24.69
surprised;0.37
neutral;46.19
angry;4.42
disgust;0.10
scared;9.05
happy;9.07
sad;19.16
surprised;0.33
neutral;57.87
angry;11.51
disgust;0.44
scared;18.51
happy;4.00
sad;27.83
surprised;0.65
neutral;37.06
angry;10.18
disgust;4.27
scared;12.21
happy;9.38
sad;21.23
surprised;0.39
neutral;42.35
angry;12.35
disgust;10.47
scared;10.28
happy;8.44
sad;17.16
surprised;0.21
neutral;41.10
angry;12.53
disgust;10.93
scared;10.35
happy;8.48
sad;16.96
surprised;0.22
neutral;40.53
angry;8.40
disgust;7.27
scared;12.78
happy;9.61
sad;16.31
surprised;0.45
neutral;45.18
angry;11.02
disgust;0.95
scared;18.46
happy;3.83
sad;29.50
surprised;0.53
neutral;35.72
angry;11.22
disgust;1.01
scared;17.99
happy;4.00
sad;29.22
surprised;0.55
neutral;36.00
angry;7.71
disgust;6.54
scared;12.53
happy;8.88
sad;15.93
surprised;0.44
neutral;47.97
angry;6.88
disgust;0.71
scared;15.14
happy;5.66
sad;23.92
surprised;0.60
neutral;47.09
angry;13.13
disgust;7.20
scared;16.93
happy;6.79
sad;22.90
surprised;0.46
neutral;32.59
angry;13.02
disgust;7.30
scared;17.09
happy;6.69
sad;22.94
surprised;0.46
neutral;32.50
angry;5.08
disgust;0.15
scared;13.24
happy;7.74
sad;19.05
surprised;0.44
neutral;54.30
angry;17.99
disgust;1.86
scared;20.15
happy;4.70
sad;18.93
surprised;0.29
neutral;36.08
angry;7.37
disgust;4.30
scared;12.88
happy;11.75
sad;14.05
surprised;0.74
neutral;48.91
angry;5.48
disgust;1.32
scared;10.95
happy;7.92
sad;18.63
surprised;0.95
neutral;54.76
angry;5.57
disgust;2.88
scared;12.01
happy;7.10
sad;14.50
surprised;0.46
neutral;57.50
angry;7.10
disgust;6.45
scared;15.12
happy;4.26
sad;17.14
surprised;0.34
neutral;49.59
angry;9.08
disgust;2.88
scared;13.89
happy;8.73
sad;20.87
surprised;0.47
neutral;44.07
angry;8.28
disgust;3.80
scared;14.65
happy;8.85
sad;18.86
surprised;1.19
neutral;44.36
angry;8.29
disgust;4.31
scared;17.09
happy;7.49
sad;17.00
surprised;0.74
neutral;45.08
angry;8.69
disgust;4.77
scared;17.29
happy;7.17
sad;17.24
surprised;0.71
neutral;44.13
angry;13.94
disgust;0.86
scared;22.16
happy;5.01
sad;23.98
surprised;0.52
neutral;33.54
angry;15.75
disgust;1.24
scared;21.36
happy;4.68
sad;22.44
surprised;0.51
neutral;34.02
angry;3.83
disgust;0.17
scared;13.21
happy;6.35
sad;15.73
surprised;0.40
neutral;60.31
angry;8.02
disgust;0.30
scared;16.79
happy;10.68
sad;13.36
surprised;0.41
neutral;50.45
angry;3.78
disgust;0.17
scared;14.12
happy;6.02
sad;15.91
surprised;0.39
neutral;59.63
angry;12.43
disgust;4.67
scared;16.41
happy;6.72
sad;21.60
surprised;0.41
neutral;37.76
angry;11.59
disgust;8.74
scared;20.44
happy;6.27
sad;20.25
surprised;0.68
neutral;32.03
angry;8.41
disgust;0.36
scared;14.41
happy;5.66
sad;27.13
surprised;0.42
neutral;43.61
angry;10.41
disgust;8.51
scared;19.37
happy;5.86
sad;26.16
surprised;0.69
neutral;29.00
angry;6.52
disgust;0.71
scared;18.63
happy;3.90
sad;26.65
surprised;0.79
neutral;42.80
angry;13.07
disgust;2.02
scared;19.09
happy;5.32
sad;24.86
surprised;0.37
neutral;35.27
angry;4.94
disgust;3.31
scared;11.55
happy;4.49
sad;12.62
surprised;0.24
neutral;62.84
angry;5.02
disgust;3.19
scared;11.54
happy;4.58
sad;12.79
surprised;0.24
neutral;62.65
angry;4.02
disgust;1.19
scared;9.23
happy;4.28
sad;14.77
surprised;0.41
neutral;66.10
angry;3.99
disgust;1.18
scared;9.44
happy;4.17
sad;15.02
surprised;0.42
neutral;65.77
angry;9.86
disgust;11.53
scared;11.64
happy;5.55
sad;17.07
surprised;0.30
neutral;44.05
angry;9.79
disgust;12.47
scared;10.79
happy;5.87
sad;16.93
surprised;0.30
neutral;43.85
angry;10.09
disgust;8.34
scared;12.53
happy;5.71
sad;14.62
surprised;0.21
neutral;48.51
angry;16.40
disgust;3.39
scared;17.81
happy;4.57
sad;23.93
surprised;0.23
neutral;33.67
angry;13.97
disgust;2.66
scared;15.81
happy;4.99
sad;30.34
surprised;0.34
neutral;31.89
angry;15.86
disgust;3.37
scared;23.54
happy;2.10
sad;26.62
surprised;0.28
neutral;28.24
angry;13.77
disgust;4.22
scared;18.75
happy;4.21
sad;25.31
surprised;0.26
neutral;33.48
angry;14.46
disgust;3.92
scared;18.90
happy;4.02
sad;24.93
surprised;0.27
neutral;33.51
angry;11.67
disgust;10.09
scared;14.05
happy;3.48
sad;18.98
surprised;0.23
neutral;41.49
angry;10.87
disgust;8.01
scared;12.15
happy;7.75
sad;17.56
surprised;0.41
neutral;43.25
angry;10.87
disgust;6.86
scared;12.13
happy;8.22
sad;24.05
surprised;0.40
neutral;37.47
angry;8.35
disgust;5.22
scared;9.26
happy;3.72
sad;19.04
surprised;0.13
neutral;54.29
angry;12.45
disgust;3.03
scared;10.27
happy;6.58
sad;23.25
surprised;0.15
neutral;44.28
angry;14.33
disgust;4.65
scared;11.14
happy;6.64
sad;22.84
surprised;0.25
neutral;40.16
angry;14.94
disgust;4.30
scared;10.71
happy;7.03
sad;23.76
surprised;0.24
neutral;39.02
angry;14.61
disgust;17.03
scared;9.54
happy;6.48
sad;23.29
surprised;0.19
neutral;28.86
angry;8.74
disgust;15.75
scared;14.98
happy;2.91
sad;30.18
surprised;0.14
neutral;27.30
angry;3.02
disgust;7.09
scared;17.44
happy;2.77
sad;25.14
surprised;0.11
neutral;44.44
angry;6.35
disgust;44.78
scared;13.04
happy;3.30
sad;15.87
surprised;0.16
neutral;16.50
angry;3.65
disgust;24.41
scared;20.45
happy;2.95
sad;29.39
surprised;0.13
neutral;19.01
angry;4.73
disgust;23.87
scared;17.04
happy;4.77
sad;23.14
surprised;0.17
neutral;26.27
angry;11.14
disgust;1.70
scared;12.82
happy;12.24
sad;29.22
surprised;0.15
neutral;32.73
angry;6.22
disgust;0.45
scared;7.53
happy;13.51
sad;31.10
surprised;0.14
neutral;41.04
angry;10.54
disgust;5.54
scared;9.62
happy;7.58
sad;32.26
surprised;0.16
neutral;34.30
angry;8.28
disgust;6.61
scared;8.53
happy;7.68
sad;33.91
surprised;0.18
neutral;34.81
angry;7.08
disgust;0.61
scared;7.99
happy;15.59
sad;22.39
surprised;0.20
neutral;46.14
angry;4.86
disgust;0.16
scared;6.35
happy;32.99
sad;15.43
surprised;0.31
neutral;39.91
angry;6.01
disgust;0.49
scared;6.80
happy;22.41
sad;13.61
surprised;0.37
neutral;50.31
angry;23.47
disgust;0.59
scared;13.93
happy;4.26
sad;13.26
surprised;0.83
neutral;43.66
angry;11.78
disgust;0.82
scared;5.75
happy;14.07
sad;26.07
surprised;0.28
neutral;41.24
angry;4.85
disgust;0.10
scared;4.63
happy;5.03
sad;15.01
surprised;0.20
neutral;70.18
angry;4.11
disgust;0.07
scared;3.17
happy;12.87
sad;14.73
surprised;0.28
neutral;64.77
angry;19.43
disgust;0.60
scared;17.78
happy;4.96
sad;6.59
surprised;3.07
neutral;47.57
angry;7.22
disgust;0.98
scared;7.28
happy;4.56
sad;19.66
surprised;0.24
neutral;60.06
angry;7.51
disgust;0.53
scared;6.31
happy;3.71
sad;19.62
surprised;0.29
neutral;62.03
angry;8.12
disgust;0.48
scared;14.41
happy;1.43
sad;23.69
surprised;0.68
neutral;51.20
angry;7.18
disgust;0.44
scared;10.99
happy;2.67
sad;18.34
surprised;1.21
neutral;59.17
angry;10.35
disgust;1.42
scared;16.55
happy;1.71
sad;19.59
surprised;1.80
neutral;48.58
angry;15.89
disgust;1.56
scared;28.24
happy;0.82
sad;18.02
surprised;1.78
neutral;33.69
angry;25.44
disgust;1.80
scared;21.42
happy;22.86
sad;19.17
surprised;0.70
neutral;8.60
angry;3.33
disgust;0.16
scared;5.13
happy;1.20
sad;5.92
surprised;0.90
neutral;83.36
angry;5.63
disgust;0.17
scared;4.85
happy;0.91
sad;6.93
surprised;1.19
neutral;80.32
angry;2.47
disgust;0.00
scared;10.40
happy;5.67
sad;1.89
surprised;13.03
neutral;66.53
angry;6.78
disgust;0.65
scared;3.42
happy;49.95
sad;25.91
surprised;0.33
neutral;12.96
angry;16.74
disgust;0.33
scared;18.65
happy;0.37
sad;8.06
surprised;1.46
neutral;54.38
angry;15.81
disgust;0.30
scared;16.62
happy;0.32
sad;7.94
surprised;0.93
neutral;58.07
angry;27.45
disgust;0.82
scared;11.49
happy;0.62
sad;5.10
surprised;1.53
neutral;52.99
angry;4.19
disgust;0.07
scared;6.89
happy;0.90
sad;3.20
surprised;1.29
neutral;83.47
angry;14.98
disgust;0.30
scared;17.02
happy;0.24
sad;7.14
surprised;2.11
neutral;58.20
angry;2.88
disgust;0.00
scared;12.06
happy;5.91
sad;1.76
surprised;18.32
neutral;59.06
angry;4.04
disgust;0.08
scared;5.10
happy;0.76
sad;5.76
surprised;0.60
neutral;83.66
angry;2.62
disgust;0.03
scared;4.57
happy;1.24
sad;3.99
surprised;0.32
neutral;87.23
angry;12.23
disgust;0.19
scared;10.01
happy;1.57
sad;5.63
surprised;1.85
neutral;68.53
angry;15.82
disgust;0.71
scared;16.47
happy;0.62
sad;10.01
surprised;1.73
neutral;54.64
angry;8.98
disgust;0.33
scared;12.66
happy;2.88
sad;5.92
surprised;2.12
neutral;67.10
angry;18.18
disgust;0.48
scared;14.35
happy;1.66
sad;4.77
surprised;3.41
neutral;57.16
angry;15.97
disgust;0.35
scared;15.92
happy;1.62
sad;5.85
surprised;3.90
neutral;56.38
angry;9.41
disgust;0.74
scared;12.66
happy;1.46
sad;8.33
surprised;1.97
neutral;65.43
angry;8.91
disgust;0.34
scared;11.93
happy;1.32
sad;7.10
surprised;2.28
neutral;68.12
angry;8.55
disgust;0.36
scared;9.07
happy;0.83
sad;7.18
surprised;1.89
neutral;72.13
angry;8.42
disgust;0.39
scared;18.87
happy;0.53
sad;9.17
surprised;1.83
neutral;60.79
angry;12.08
disgust;0.46
scared;21.00
happy;0.35
sad;9.19
surprised;1.62
neutral;55.29
angry;16.92
disgust;0.49
scared;16.48
happy;0.34
sad;9.35
surprised;1.30
neutral;55.12
angry;9.46
disgust;0.39
scared;8.48
happy;28.78
sad;31.47
surprised;4.49
neutral;16.93
angry;9.46
disgust;0.39
scared;8.48
happy;28.78
sad;31.47
surprised;4.49
neutral;16.93
angry;9.46
disgust;0.39
scared;8.48
happy;28.76
sad;31.46
surprised;4.49
neutral;16.95
angry;40.74
disgust;2.84
scared;21.52
happy;1.14
sad;4.89
surprised;5.71
neutral;23.16
angry;30.44
disgust;10.85
scared;14.51
happy;1.05
sad;3.03
surprised;15.72
neutral;24.40
angry;37.07
disgust;6.74
scared;11.88
happy;1.50
sad;3.85
surprised;5.79
neutral;33.16
angry;26.57
disgust;1.11
scared;9.24
happy;8.05
sad;4.60
surprised;19.45
neutral;30.97
angry;26.75
disgust;0.59
scared;11.94
happy;13.14
sad;3.03
surprised;15.48
neutral;29.07
angry;9.96
disgust;0.04
scared;6.29
happy;34.18
sad;30.58
surprised;1.67
neutral;17.29
angry;9.96
disgust;0.04
scared;6.29
happy;34.18
sad;30.58
surprised;1.67
neutral;17.29
angry;21.88
disgust;0.28
scared;13.51
happy;12.70
sad;4.52
surprised;18.86
neutral;28.25
angry;24.09
