Emotions;Percent
angry;5.89
disgust;0.01
scared;2.57
happy;0.40
sad;2.73
surprised;1.02
neutral;87.39
angry;4.54
disgust;0.01
scared;4.59
happy;0.42
sad;5.00
surprised;1.64
neutral;83.81
angry;2.86
disgust;0.01
scared;2.14
happy;0.29
sad;2.07
surprised;0.78
neutral;91.85
angry;2.81
disgust;0.00
scared;2.01
happy;0.46
sad;1.66
surprised;1.04
neutral;92.01
angry;4.31
disgust;0.00
scared;3.32
happy;0.45
sad;2.21
surprised;0.63
neutral;89.07
angry;3.98
disgust;0.00
scared;4.15
happy;0.48
sad;2.69
surprised;1.28
neutral;87.41
angry;2.16
disgust;0.00
scared;3.81
happy;0.31
sad;3.02
surprised;0.52
neutral;90.18
angry;5.03
disgust;0.00
scared;4.23
happy;0.55
sad;3.40
surprised;1.03
neutral;85.76
angry;2.84
disgust;0.01
scared;7.29
happy;0.65
sad;2.39
surprised;2.03
neutral;84.80
angry;3.88
disgust;0.01
scared;8.24
happy;1.10
sad;3.22
surprised;3.58
neutral;79.97
angry;4.11
disgust;0.09
scared;12.24
happy;3.94
sad;3.14
surprised;13.63
neutral;62.84
angry;8.25
disgust;0.24
scared;16.47
happy;2.00
sad;8.01
surprised;2.22
neutral;62.81
angry;7.84
disgust;0.35
scared;17.83
happy;5.72
sad;12.93
surprised;2.22
neutral;53.10
angry;6.07
disgust;0.67
scared;11.54
happy;22.19
sad;8.41
surprised;1.18
neutral;49.94
angry;6.60
disgust;0.34
scared;5.64
happy;14.71
sad;9.38
surprised;0.42
neutral;62.91
angry;8.20
disgust;0.55
scared;7.37
happy;23.26
sad;10.11
surprised;0.54
neutral;49.97
angry;10.38
disgust;0.31
scared;9.66
happy;7.75
sad;17.38
surprised;0.69
neutral;53.83
angry;5.41
disgust;0.24
scared;6.52
happy;17.61
sad;12.04
surprised;1.15
neutral;57.02
angry;4.08
disgust;0.20
scared;6.09
happy;29.72
sad;10.54
surprised;3.09
neutral;46.28
angry;1.51
disgust;0.10
scared;2.47
happy;37.25
sad;5.96
surprised;1.63
neutral;51.08
angry;3.72
disgust;0.11
scared;2.90
happy;12.29
sad;11.81
surprised;1.16
neutral;68.00
angry;3.61
disgust;0.18
scared;10.32
happy;7.30
sad;12.23
surprised;1.18
neutral;65.17
angry;2.23
disgust;0.12
scared;4.50
happy;11.78
sad;9.06
surprised;1.07
neutral;71.24
angry;2.60
disgust;0.13
scared;6.13
happy;24.69
sad;17.20
surprised;1.11
neutral;48.15
angry;9.57
disgust;0.14
scared;7.04
happy;44.25
sad;26.27
surprised;1.48
neutral;11.25
angry;4.13
disgust;0.09
scared;7.39
happy;49.38
sad;16.96
surprised;2.04
neutral;20.01
angry;4.88
disgust;0.09
scared;6.00
happy;15.93
sad;23.18
surprised;1.09
neutral;48.83
angry;3.93
disgust;0.05
scared;3.54
happy;31.22
sad;14.13
surprised;1.21
neutral;45.91
angry;5.24
disgust;0.06
scared;12.97
happy;17.80
sad;15.54
surprised;2.29
neutral;46.10
angry;3.93
disgust;0.04
scared;8.29
happy;10.62
sad;8.01
surprised;1.43
neutral;67.69
angry;6.00
disgust;0.10
scared;9.32
happy;6.27
sad;12.02
surprised;3.47
neutral;62.82
angry;7.99
disgust;0.54
scared;1.77
happy;4.92
sad;13.52
surprised;0.69
neutral;70.56
angry;1.85
disgust;0.11
scared;0.99
happy;4.41
sad;8.32
surprised;0.27
neutral;84.07
angry;1.40
disgust;0.03
scared;0.51
happy;3.94
sad;1.86
surprised;0.24
neutral;92.02
angry;4.13
disgust;0.14
scared;3.46
happy;4.64
sad;8.50
surprised;1.51
neutral;77.61
angry;2.79
disgust;0.08
scared;3.51
happy;2.23
sad;7.81
surprised;0.61
neutral;82.97
angry;1.55
disgust;0.10
scared;2.26
happy;2.76
sad;8.65
surprised;0.87
neutral;83.80
angry;4.79
disgust;0.11
scared;5.89
happy;4.35
sad;13.75
surprised;2.23
neutral;68.89
angry;4.82
disgust;0.26
scared;9.40
happy;2.06
sad;21.61
surprised;4.24
neutral;57.60
angry;6.83
disgust;0.12
scared;10.53
happy;2.27
sad;21.53
surprised;2.62
neutral;56.09
angry;8.26
disgust;0.12
scared;12.66
happy;1.90
sad;24.91
surprised;2.18
neutral;49.97
angry;6.01
disgust;0.06
scared;11.92
happy;4.43
sad;17.51
surprised;2.00
neutral;58.07
angry;4.14
disgust;0.05
scared;4.61
happy;6.52
sad;8.31
surprised;3.58
neutral;72.78
angry;2.53
disgust;0.03
scared;6.72
happy;27.43
sad;4.44
surprised;12.82
neutral;46.04
angry;1.14
disgust;0.05
scared;2.68
happy;24.92
sad;8.85
surprised;1.24
neutral;61.12
angry;2.88
disgust;0.22
scared;4.50
happy;37.32
sad;21.94
surprised;1.05
neutral;32.09
angry;1.71
disgust;0.10
scared;3.10
happy;56.90
sad;17.15
surprised;0.82
neutral;20.22
angry;0.82
disgust;0.05
scared;0.96
happy;64.60
sad;8.77
surprised;0.30
neutral;24.50
angry;1.25
disgust;0.15
scared;2.12
happy;62.72
sad;11.26
surprised;0.93
neutral;21.58
angry;3.15
disgust;0.10
scared;3.89
happy;39.63
sad;15.67
surprised;0.54
neutral;37.02
angry;3.55
disgust;0.09
scared;5.28
happy;17.26
sad;18.82
surprised;0.81
neutral;54.19
angry;2.49
disgust;0.07
scared;3.08
happy;14.67
sad;16.18
surprised;0.65
