Emotions;Percent
angry;8.56
disgust;12.96
scared;13.14
happy;32.28
sad;12.75
surprised;5.35
neutral;14.96
angry;13.84
disgust;3.57
scared;13.77
happy;39.11
sad;14.59
surprised;4.71
neutral;10.40
angry;4.64
disgust;0.04
scared;7.35
happy;17.29
sad;7.87
surprised;25.52
neutral;37.30
angry;4.00
disgust;0.06
scared;7.69
happy;14.19
sad;7.85
surprised;26.82
neutral;39.40
angry;9.84
disgust;3.16
scared;16.89
happy;36.41
sad;10.03
surprised;6.01
neutral;17.67
angry;6.80
disgust;0.03
scared;18.22
happy;7.84
sad;5.47
surprised;11.02
neutral;50.62
angry;3.82
disgust;0.03
scared;8.35
happy;9.92
sad;6.95
surprised;27.39
neutral;43.53
angry;13.42
disgust;2.71
scared;6.25
happy;55.45
sad;5.18
surprised;3.27
neutral;13.72
angry;6.45
disgust;0.04
scared;15.85
happy;14.79
sad;18.75
surprised;1.98
neutral;42.15
angry;4.24
disgust;0.05
scared;20.26
happy;17.37
sad;21.39
surprised;2.01
neutral;34.67
angry;5.08
disgust;0.06
scared;22.61
happy;5.31
sad;7.42
surprised;14.14
neutral;45.38
angry;3.23
disgust;0.02
scared;7.30
happy;7.70
sad;17.64
surprised;2.10
neutral;61.99
angry;5.23
disgust;0.04
scared;22.78
happy;5.43
sad;6.44
surprised;16.56
neutral;43.52
angry;4.47
disgust;0.02
scared;22.29
happy;4.71
sad;5.32
surprised;14.20
neutral;48.99
angry;5.48
disgust;0.02
scared;22.60
happy;4.73
sad;5.64
surprised;13.94
neutral;47.59
angry;5.23
disgust;0.02
scared;22.65
happy;4.89
sad;5.51
surprised;14.61
neutral;47.09
angry;4.95
disgust;0.02
scared;21.41
happy;4.65
sad;5.20
surprised;13.32
neutral;50.45
angry;5.82
disgust;0.02
scared;22.58
happy;4.56
sad;6.09
surprised;14.77
neutral;46.17
angry;5.57
disgust;0.02
scared;19.05
happy;5.19
sad;5.94
surprised;14.46
neutral;49.75
angry;3.23
disgust;0.01
scared;12.26
happy;10.66
sad;6.00
surprised;21.99
neutral;45.84
angry;2.21
disgust;0.01
scared;1.19
happy;67.05
sad;1.79
surprised;2.44
neutral;25.30
angry;5.70
disgust;0.01
scared;16.11
happy;11.66
sad;26.08
surprised;3.75
neutral;36.70
angry;5.31
disgust;0.06
scared;16.57
happy;12.07
sad;21.67
surprised;1.81
neutral;42.51
angry;3.45
disgust;0.01
scared;10.49
happy;8.14
sad;5.03
surprised;26.35
neutral;46.52
angry;3.15
disgust;0.02
scared;9.11
happy;10.01
sad;4.81
surprised;27.15
neutral;45.75
angry;3.29
disgust;0.02
scared;8.84
happy;8.71
sad;4.93
surprised;26.88
neutral;47.32
angry;8.85
disgust;27.44
scared;7.36
happy;22.37
sad;8.35
surprised;3.89
neutral;21.74
angry;8.45
disgust;8.21
scared;7.51
happy;44.27
sad;9.21
surprised;3.01
neutral;19.36
angry;9.34
disgust;8.08
scared;8.37
happy;37.78
sad;10.07
surprised;3.54
neutral;22.82
angry;6.11
disgust;5.06
scared;7.14
happy;46.26
sad;7.40
surprised;4.34
neutral;23.68
angry;3.21
disgust;0.01
scared;10.29
happy;6.24
sad;4.08
surprised;28.26
neutral;47.90
angry;7.84
disgust;12.41
scared;9.66
happy;31.38
sad;12.12
surprised;3.90
neutral;22.69
angry;5.86
disgust;6.53
scared;8.89
happy;49.20
sad;10.77
surprised;2.78
neutral;15.98
angry;2.22
disgust;0.01
scared;9.14
happy;8.18
sad;3.36
surprised;33.06
neutral;44.04
angry;4.51
disgust;2.82
scared;12.43
happy;35.91
sad;12.35
surprised;10.80
neutral;21.18
angry;2.51
disgust;0.03
scared;9.41
happy;16.16
sad;19.19
surprised;4.01
neutral;48.70
angry;6.88
disgust;4.92
scared;15.62
happy;24.86
sad;12.72
surprised;9.01
neutral;25.99
angry;5.55
disgust;7.96
scared;15.16
happy;27.51
sad;12.28
surprised;8.32
neutral;23.22
angry;2.70
disgust;0.01
scared;11.19
happy;7.61
sad;4.22
surprised;34.05
neutral;40.21
angry;0.75
disgust;0.01
scared;2.05
happy;82.40
sad;5.13
surprised;0.62
neutral;9.04
angry;0.79
disgust;0.01
scared;2.94
happy;77.00
sad;5.36
surprised;0.67
neutral;13.23
angry;0.83
disgust;0.00
scared;1.80
happy;84.51
sad;3.88
surprised;0.56
neutral;8.42
angry;2.06
disgust;0.01
scared;4.05
happy;68.25
sad;11.12
surprised;0.57
neutral;13.94
angry;2.88
disgust;0.02
scared;6.32
happy;51.58
sad;12.49
surprised;0.77
neutral;25.94
angry;4.84
disgust;0.03
scared;11.12
happy;20.87
sad;26.84
surprised;2.44
neutral;33.86
angry;2.30
disgust;0.03
scared;8.11
happy;41.12
sad;11.71
surprised;2.17
neutral;34.57
angry;3.67
disgust;0.02
scared;11.68
happy;7.35
sad;5.42
surprised;30.30
neutral;41.56
angry;3.01
disgust;0.01
scared;13.89
happy;6.78
sad;4.33
surprised;30.90
neutral;41.07
angry;3.44
disgust;7.57
scared;19.07
happy;30.48
sad;11.79
surprised;8.04
neutral;19.62
angry;3.89
disgust;0.01
scared;13.27
happy;7.18
sad;4.70
surprised;28.39
neutral;42.55
angry;4.21
disgust;0.01
scared;12.15
happy;7.11
sad;4.66
surprised;30.11
neutral;41.74
angry;4.28
disgust;0.01
scared;12.25
happy;6.61
sad;4.28
surprised;28.19
neutral;44.38
angry;3.86
disgust;0.02
scared;11.20
happy;15.59
sad;14.00
surprised;2.93
neutral;52.40
angry;2.74
disgust;0.01
scared;14.47
happy;17.61
sad;13.76
surprised;2.07
neutral;49.34
angry;3.44
disgust;0.01
scared;14.12
happy;6.82
sad;4.24
