Emotions;Percent
angry;10.23
disgust;0.06
scared;5.00
happy;3.13
sad;13.16
surprised;10.85
neutral;57.57
angry;22.68
disgust;40.91
scared;10.16
happy;10.26
sad;7.83
surprised;4.04
neutral;4.12
angry;2.54
disgust;0.00
scared;1.23
happy;1.07
sad;4.02
surprised;1.98
neutral;89.17
angry;1.78
disgust;0.00
scared;0.92
happy;1.52
sad;2.49
surprised;0.47
neutral;92.82
angry;33.75
disgust;11.49
scared;10.95
happy;7.14
sad;16.69
surprised;3.00
neutral;16.97
angry;1.20
disgust;0.00
scared;0.88
happy;2.79
sad;1.98
surprised;0.51
neutral;92.63
angry;1.40
disgust;0.00
scared;1.42
happy;1.41
sad;2.09
surprised;1.07
neutral;92.61
angry;0.82
disgust;0.00
scared;0.58
happy;2.53
sad;1.41
surprised;0.32
neutral;94.35
angry;0.65
disgust;0.00
scared;1.22
happy;1.97
sad;1.97
surprised;0.66
neutral;93.54
angry;1.20
disgust;0.00
scared;1.27
happy;3.36
sad;2.11
surprised;0.49
neutral;91.57
angry;0.51
disgust;0.00
scared;0.61
happy;1.03
sad;1.11
surprised;0.26
neutral;96.48
angry;0.71
disgust;0.00
scared;0.47
happy;1.10
sad;0.93
surprised;0.20
neutral;96.58
angry;0.87
disgust;0.00
scared;0.78
happy;3.02
sad;1.93
surprised;0.20
neutral;93.22
angry;1.71
disgust;0.01
scared;2.66
happy;5.02
sad;6.26
surprised;0.74
neutral;83.60
angry;1.62
disgust;0.01
scared;1.92
happy;4.35
sad;4.89
surprised;0.18
neutral;87.04
angry;2.76
disgust;0.11
scared;11.02
happy;8.34
sad;53.86
surprised;0.77
neutral;23.14
angry;1.41
disgust;0.01
scared;1.65
happy;7.65
sad;4.33
surprised;0.22
neutral;84.74
angry;1.84
disgust;0.00
scared;1.02
happy;2.02
sad;5.04
surprised;0.20
neutral;89.88
angry;1.41
disgust;0.00
scared;1.00
happy;4.92
sad;4.69
surprised;0.16
neutral;87.81
angry;1.91
disgust;0.01
scared;2.16
happy;1.39
sad;8.30
surprised;0.30
neutral;85.94
angry;1.61
disgust;0.01
scared;2.89
happy;1.73
sad;7.35
surprised;0.16
neutral;86.26
angry;0.59
disgust;0.00
scared;0.87
happy;3.25
sad;2.04
surprised;0.24
neutral;93.01
angry;0.87
disgust;0.00
scared;1.10
happy;3.09
sad;2.41
surprised;0.22
neutral;92.31
angry;0.89
disgust;0.00
scared;0.51
happy;0.87
sad;1.20
surprised;0.18
neutral;96.35
angry;0.73
disgust;0.00
scared;0.90
happy;3.84
sad;1.80
surprised;0.57
neutral;92.16
angry;0.46
disgust;0.00
scared;0.55
happy;2.59
sad;2.28
surprised;0.13
neutral;93.99
angry;0.60
disgust;0.00
scared;0.72
happy;3.74
sad;1.75
surprised;0.28
neutral;92.91
angry;0.45
disgust;0.00
scared;0.22
happy;1.06
sad;0.79
surprised;0.05
neutral;97.43
angry;0.44
disgust;0.00
scared;0.23
happy;2.36
sad;0.79
surprised;0.09
neutral;96.10
angry;8.24
disgust;54.59
scared;6.15
happy;2.98
sad;8.86
surprised;18.00
neutral;1.19
angry;0.53
disgust;0.00
scared;0.51
happy;1.89
sad;1.01
surprised;0.14
neutral;95.92
angry;0.45
disgust;0.00
scared;0.26
happy;2.67
sad;0.62
surprised;0.06
neutral;95.93
angry;0.24
disgust;0.00
scared;0.17
happy;2.18
sad;0.61
surprised;0.08
neutral;96.72
angry;1.50
disgust;0.31
scared;9.72
happy;35.04
sad;32.06
surprised;0.31
neutral;21.05
angry;0.37
disgust;0.00
scared;0.47
happy;2.17
sad;1.27
surprised;0.23
neutral;95.49
angry;1.02
disgust;0.00
scared;0.79
happy;1.00
sad;2.64
surprised;0.21
neutral;94.34
angry;0.78
disgust;0.00
scared;0.83
happy;1.71
sad;2.56
surprised;0.12
neutral;94.00
angry;1.15
disgust;0.02
scared;5.84
happy;7.18
sad;36.00
surprised;0.13
neutral;49.70
angry;2.72
disgust;0.01
scared;2.93
happy;2.23
sad;7.49
surprised;0.54
neutral;84.08
angry;14.04
disgust;54.96
scared;7.20
happy;3.50
sad;9.30
surprised;9.35
neutral;1.65
angry;0.70
disgust;0.01
scared;0.74
happy;3.83
sad;3.08
surprised;0.16
neutral;91.49
angry;0.83
disgust;0.00
scared;1.14
happy;4.38
