Emotions;Percent
angry;3.21
disgust;0.01
scared;34.27
happy;0.18
sad;10.16
surprised;4.12
neutral;48.04
angry;5.46
disgust;0.01
scared;28.83
happy;0.18
sad;11.14
surprised;3.62
neutral;50.75
angry;3.78
disgust;0.02
scared;34.69
happy;0.22
sad;9.83
surprised;5.43
neutral;46.03
angry;1.83
disgust;0.02
scared;16.41
happy;0.21
sad;12.16
surprised;3.20
neutral;66.17
angry;3.88
disgust;0.01
scared;26.19
happy;0.29
sad;11.05
surprised;2.80
neutral;55.76
angry;4.98
disgust;0.04
scared;16.00
happy;0.42
sad;13.02
surprised;1.65
neutral;63.89
angry;2.53
disgust;0.01
scared;11.84
happy;0.36
sad;8.89
surprised;1.02
neutral;75.35
angry;1.22
disgust;0.02
scared;1.40
happy;0.29
sad;6.12
surprised;0.03
neutral;90.92
angry;1.14
disgust;0.27
scared;1.79
happy;1.26
sad;5.68
surprised;0.02
neutral;89.83
angry;1.88
disgust;0.29
scared;3.96
happy;0.66
sad;9.89
surprised;0.05
neutral;83.25
angry;1.55
disgust;0.30
scared;2.78
happy;1.51
sad;9.39
surprised;0.05
neutral;84.43
angry;1.49
disgust;0.40
scared;2.04
happy;0.98
sad;11.64
surprised;0.03
neutral;83.43
angry;1.36
disgust;0.31
scared;1.89
happy;0.49
sad;10.29
surprised;0.03
neutral;85.63
angry;1.87
disgust;0.41
scared;1.82
happy;0.57
sad;9.64
surprised;0.04
neutral;85.66
angry;2.30
disgust;0.24
scared;6.02
happy;0.37
sad;15.12
surprised;0.26
neutral;75.69
angry;2.30
disgust;0.19
scared;4.36
happy;0.48
sad;10.13
surprised;0.45
neutral;82.08
angry;2.57
disgust;0.14
scared;5.42
happy;0.47
sad;8.89
surprised;0.71
neutral;81.79
angry;3.18
disgust;0.11
scared;9.61
happy;0.32
sad;11.52
surprised;0.87
neutral;74.40
angry;4.25
disgust;0.10
scared;12.88
happy;0.24
sad;12.65
surprised;1.48
neutral;68.41
angry;4.39
disgust;0.12
scared;12.16
happy;0.15
sad;12.93
surprised;1.35
neutral;68.90
angry;4.97
disgust;0.08
scared;19.50
happy;0.14
sad;12.83
surprised;2.52
neutral;59.96
angry;3.99
disgust;0.03
scared;28.50
happy;0.18
sad;9.84
surprised;4.45
neutral;53.01
angry;4.30
disgust;0.10
scared;13.96
happy;0.19
sad;9.56
surprised;1.80
neutral;70.08
angry;1.57
disgust;0.05
scared;5.19
happy;0.15
sad;7.03
surprised;0.58
neutral;85.42
angry;0.40
disgust;0.07
scared;0.81
happy;0.12
sad;4.02
surprised;0.02
neutral;94.57
angry;0.85
disgust;0.27
scared;1.83
happy;0.15
sad;5.72
surprised;0.04
neutral;91.15
angry;1.33
disgust;0.22
scared;2.92
happy;0.14
sad;7.59
surprised;0.07
neutral;87.73
angry;1.41
disgust;0.04
scared;5.17
happy;0.13
sad;5.32
surprised;0.22
neutral;87.70
angry;2.91
disgust;0.03
scared;9.11
happy;0.25
sad;6.21
surprised;0.79
neutral;80.71
angry;3.94
disgust;0.02
scared;14.47
happy;0.26
sad;8.11
surprised;1.32
neutral;71.88
