Emotions;Percent
angry;5.05
disgust;0.04
scared;11.94
happy;31.72
sad;6.45
surprised;3.13
neutral;41.67
angry;5.05
disgust;0.04
scared;11.94
happy;31.72
sad;6.45
surprised;3.13
neutral;41.67
angry;4.22
disgust;0.04
scared;12.41
happy;31.15
sad;5.86
surprised;3.13
neutral;43.18
angry;14.52
disgust;7.52
scared;25.59
happy;8.64
sad;16.30
surprised;4.24
neutral;23.19
angry;14.59
disgust;7.49
scared;25.34
happy;8.73
sad;16.49
surprised;4.29
neutral;23.08
angry;2.53
disgust;0.63
scared;10.81
happy;43.77
sad;7.19
surprised;14.37
neutral;20.71
angry;11.09
disgust;0.31
scared;8.84
happy;21.70
sad;20.97
surprised;2.50
neutral;34.58
angry;11.09
disgust;0.31
scared;8.84
happy;21.70
sad;20.97
surprised;2.50
neutral;34.58
angry;9.86
disgust;0.31
scared;9.94
happy;22.31
sad;22.09
surprised;3.54
neutral;31.95
angry;11.30
disgust;2.94
scared;18.84
happy;16.65
sad;13.92
surprised;7.41
neutral;28.95
angry;11.30
disgust;2.94
scared;18.84
happy;16.65
sad;13.92
surprised;7.41
neutral;28.95
angry;10.28
disgust;4.82
scared;22.16
happy;14.42
sad;12.48
surprised;5.63
neutral;30.21
angry;10.05
disgust;0.10
scared;13.99
happy;22.87
sad;23.67
surprised;3.32
neutral;25.99
angry;13.82
disgust;12.22
scared;27.71
happy;10.79
sad;13.15
surprised;6.34
neutral;15.97
angry;13.82
disgust;12.22
scared;27.71
happy;10.79
sad;13.15
surprised;6.34
neutral;15.97
angry;13.79
disgust;12.32
scared;26.13
happy;11.23
sad;12.29
surprised;6.16
neutral;18.08
angry;12.93
disgust;8.89
scared;28.27
happy;9.20
sad;12.64
surprised;6.72
neutral;21.34
angry;12.93
disgust;8.89
scared;28.27
happy;9.20
sad;12.64
surprised;6.72
neutral;21.34
angry;12.42
disgust;8.79
scared;27.71
happy;9.76
sad;12.23
surprised;6.54
neutral;22.55
angry;9.12
disgust;6.81
scared;19.38
happy;15.48
sad;14.55
surprised;8.71
neutral;25.93
angry;10.66
disgust;6.03
scared;19.55
happy;11.98
sad;17.80
surprised;4.59
neutral;29.39
angry;10.66
disgust;6.03
scared;19.55
happy;11.98
sad;17.80
surprised;4.59
neutral;29.39
angry;12.51
disgust;8.10
scared;21.53
happy;14.29
sad;13.05
surprised;7.03
neutral;23.49
angry;10.28
disgust;8.18
scared;17.64
happy;14.49
sad;14.44
surprised;6.43
neutral;28.54
angry;12.14
disgust;6.34
scared;21.11
happy;16.95
sad;15.98
surprised;5.59
neutral;21.90
angry;8.19
disgust;7.84
scared;18.29
happy;13.08
sad;15.10
surprised;5.81
neutral;31.69
angry;8.71
disgust;7.87
scared;17.41
happy;12.95
sad;14.52
surprised;5.28
neutral;33.26
angry;7.66
disgust;7.42
scared;16.51
happy;12.23
sad;13.69
surprised;5.71
neutral;36.78
angry;7.66
disgust;7.42
scared;16.51
happy;12.23
sad;13.69
surprised;5.71
neutral;36.78
angry;10.98
