Emotions;Percent
angry;3.59
disgust;0.01
scared;1.07
happy;86.04
sad;1.09
surprised;1.02
neutral;7.17
angry;6.17
disgust;0.02
scared;0.62
happy;86.71
sad;0.83
surprised;0.37
neutral;5.28
angry;5.58
disgust;0.19
scared;0.74
happy;78.72
sad;0.87
surprised;0.93
neutral;12.96
angry;6.71
disgust;1.22
scared;8.65
happy;35.42
sad;12.20
surprised;7.90
neutral;27.90
angry;7.92
disgust;0.38
scared;12.01
happy;29.79
sad;14.15
surprised;13.89
neutral;21.86
angry;7.65
disgust;0.24
scared;7.27
happy;31.89
sad;16.80
surprised;6.79
neutral;29.36
angry;4.82
disgust;0.19
scared;10.06
happy;22.53
sad;15.50
surprised;13.49
neutral;33.42
angry;7.41
disgust;0.26
scared;9.71
happy;18.79
sad;11.53
surprised;12.62
neutral;39.67
angry;6.29
disgust;0.17
scared;6.27
happy;19.42
sad;12.09
surprised;15.90
neutral;39.86
angry;7.33
disgust;0.14
scared;5.71
happy;30.40
sad;10.06
surprised;9.53
neutral;36.81
angry;6.34
disgust;0.10
scared;7.08
happy;28.17
sad;7.33
surprised;11.26
neutral;39.71
angry;7.95
disgust;0.17
scared;11.16
happy;21.84
sad;7.71
surprised;24.90
neutral;26.28
angry;6.63
disgust;0.14
scared;10.67
happy;17.05
sad;8.93
surprised;19.06
neutral;37.52
angry;4.90
disgust;0.08
scared;10.25
happy;21.40
sad;6.79
surprised;12.43
neutral;44.14
angry;6.43
disgust;0.14
scared;7.44
happy;16.74
sad;3.59
surprised;22.05
neutral;43.62
angry;5.94
disgust;0.07
scared;13.60
happy;19.53
sad;7.03
surprised;22.42
neutral;31.41
angry;4.30
disgust;0.09
scared;12.92
happy;14.01
sad;6.81
surprised;27.33
neutral;34.54
angry;5.36
disgust;0.42
scared;13.59
happy;14.27
sad;9.08
surprised;20.87
neutral;36.40
angry;3.66
disgust;0.37
scared;14.23
happy;23.51
sad;7.18
surprised;10.37
neutral;40.67
angry;5.74
disgust;0.56
scared;13.39
happy;25.88
sad;11.62
surprised;14.71
neutral;28.10
angry;4.73
disgust;0.95
scared;18.50
happy;21.55
sad;14.18
surprised;11.25
neutral;28.84
angry;4.99
disgust;0.62
scared;14.24
happy;26.49
sad;16.68
surprised;9.60
neutral;27.38
angry;4.58
disgust;1.40
scared;14.64
happy;30.60
sad;10.22
surprised;6.58
neutral;31.97
angry;5.98
disgust;0.76
scared;16.79
happy;29.62
sad;10.99
surprised;3.71
neutral;32.15
angry;4.57
disgust;0.90
scared;13.01
happy;37.12
sad;9.69
surprised;3.78
neutral;30.92
angry;3.31
disgust;0.45
scared;13.61
happy;24.15
sad;11.19
surprised;10.88
neutral;36.41
angry;4.69
disgust;0.51
scared;12.89
happy;24.66
sad;13.30
surprised;9.64
neutral;34.31
angry;11.70
disgust;0.52
scared;14.66
happy;20.94
sad;18.46
surprised;8.46
neutral;25.26
angry;11.07
disgust;0.33
scared;16.72
happy;21.74
sad;19.35
surprised;7.55
neutral;23.23
angry;7.72
disgust;0.36
scared;13.92
happy;18.35
sad;18.22
surprised;11.07
neutral;30.36
angry;9.87
disgust;0.36
scared;14.24
happy;20.29
sad;19.94
surprised;7.27
neutral;28.04
angry;9.23
disgust;0.53
scared;20.43
happy;18.65
sad;16.39
surprised;10.75
neutral;24.02
angry;8.72
disgust;0.54
scared;13.37
happy;25.80
sad;18.61
surprised;7.09
neutral;25.87
angry;7.47
disgust;0.64
scared;16.42
happy;27.63
sad;16.38
surprised;10.32
neutral;21.15
angry;4.94
disgust;0.36
scared;13.07
happy;29.35
sad;12.44
surprised;14.97
neutral;24.86
angry;5.89
disgust;0.60
scared;11.19
happy;30.20
sad;9.97
surprised;15.76
neutral;26.38
angry;5.45
disgust;0.58
scared;9.60
happy;33.27
sad;8.17
surprised;14.15
neutral;28.77
angry;5.93
disgust;0.67
scared;12.33
happy;26.65
sad;13.23
surprised;12.77
neutral;28.42
angry;4.94
disgust;0.40
scared;10.26
happy;37.65
sad;12.30
surprised;6.85
neutral;27.61
angry;3.56
disgust;0.64
scared;11.40
happy;30.15
sad;12.95
surprised;7.45
neutral;33.85
angry;3.38
disgust;0.28
scared;14.59
happy;26.34
sad;10.25
surprised;9.49
neutral;35.68
angry;4.08
disgust;0.29
scared;11.22
happy;31.85
sad;9.40
surprised;10.45
neutral;32.70
angry;5.66
disgust;0.24
scared;8.58
happy;27.26
sad;7.93
surprised;16.62
neutral;33.71
angry;9.12
disgust;0.09
scared;13.87
happy;24.46
sad;14.06
surprised;13.03
neutral;25.37
angry;7.19
disgust;0.45
scared;16.28
happy;24.27
sad;12.85
surprised;8.56
neutral;30.40
angry;6.39
disgust;0.29
scared;11.93
happy;31.68
sad;15.92
surprised;5.26
neutral;28.53
angry;5.95
disgust;0.40
scared;9.70
happy;42.10
sad;11.68
surprised;4.08
neutral;26.09
angry;4.00
disgust;0.33
scared;10.60
happy;40.77
sad;13.08
surprised;4.24
neutral;26.97
angry;6.27
disgust;0.27
scared;16.63
happy;29.11
sad;14.71
surprised;8.73
neutral;24.28
angry;5.31
disgust;0.37
scared;14.11
happy;43.03
sad;14.74
surprised;3.63
neutral;18.81
angry;6.20
disgust;0.43
scared;16.78
happy;32.71
sad;15.65
surprised;7.15
neutral;21.08
angry;5.24
disgust;0.27
scared;10.80
happy;43.41
sad;13.16
surprised;3.62
neutral;23.50
angry;7.38
disgust;0.27
scared;12.21
happy;23.24
sad;14.15
surprised;11.71
neutral;31.04
angry;6.68
disgust;0.41
scared;10.10
happy;26.07
sad;10.40
surprised;11.43
neutral;34.90
angry;8.01
disgust;1.15
scared;12.85
happy;19.01
sad;10.49
surprised;18.97
neutral;29.53
angry;6.37
disgust;0.34
scared;16.34
happy;27.57
sad;12.64
surprised;7.65
neutral;29.08
angry;7.71
disgust;0.48
scared;11.53
happy;32.20
sad;9.75
surprised;8.16
neutral;30.18
angry;8.06
disgust;0.11
scared;9.52
happy;27.40
sad;10.99
surprised;9.99
neutral;33.94
angry;2.03
disgust;0.07
scared;0.40
happy;94.44
sad;0.41
surprised;0.26
neutral;2.41
angry;2.17
disgust;0.10
scared;0.48
happy;95.19
sad;0.44
surprised;0.25
neutral;1.37
angry;1.13
disgust;0.03
scared;0.29
happy;96.21
sad;0.24
