angry;disgust;scared;happy;sad;surprised;neutral
3.64;7.09;12.56;43.92;15.07;4.53;13.19
3.57;7.52;3.04;53.28;16.7;2.07;13.82
0.75;1.34;0.42;78.18;10.98;0.48;7.85
10.55;1.14;12.02;57.28;4.91;7.01;7.09
12.62;0.89;28.92;22.63;9.53;13.28;12.13
7.84;1.25;23.15;27.5;8.02;16.76;15.48
12.02;0.79;12.13;51.76;5.64;7.7;9.96
3.55;0.0;13.91;6.06;3.24;18.29;54.95
4.68;0.0;14.77;4.57;2.73;16.3;56.95
4.47;0.0;14.29;6.34;2.72;20.07;52.12
2.51;0.07;1.35;71.54;5.26;0.34;18.94
3.74;15.15;2.23;33.1;8.08;2.64;35.05
4.47;1.1;19.67;16.42;7.05;13.89;37.39
4.3;0.81;19.47;15.76;6.1;13.78;39.77
7.67;4.06;13.72;24.5;5.13;19.04;25.88
6.59;1.44;7.1;62.65;4.3;6.39;11.53
1.15;0.8;2.84;41.31;13.58;0.9;39.42
1.18;0.01;2.06;53.03;9.0;0.53;34.19
1.1;0.0;1.92;62.3;15.57;0.13;18.98
2.96;0.0;3.09;45.87;16.93;0.19;30.96
0.58;0.01;1.58;61.83;4.35;0.05;31.59
2.51;0.27;8.4;63.04;4.15;0.35;21.29
7.56;0.04;4.37;20.65;11.22;0.14;56.01
9.94;0.09;9.07;23.99;13.19;0.59;43.12
3.99;0.48;1.78;71.35;7.7;0.19;14.5
0.77;0.02;1.06;70.16;2.71;0.27;25.02
0.43;0.01;0.51;75.05;2.21;0.09;21.69
0.73;0.01;0.61;90.82;0.81;0.11;6.91
8.8;0.0;23.21;11.13;3.88;19.44;33.52
1.18;0.02;1.13;32.74;2.01;0.72;62.2
1.3;0.0;1.55;78.24;9.97;0.22;8.72
5.79;0.03;0.6;91.49;0.18;1.22;0.68
1.83;0.0;1.19;61.21;8.03;0.12;27.63
2.15;0.0;1.55;39.81;10.97;0.18;45.34
2.33;0.0;3.24;35.75;17.53;0.31;40.83
2.56;0.0;2.48;42.81;11.79;0.17;40.18
1.86;0.0;1.17;60.87;9.47;0.12;26.51
2.3;0.0;2.55;42.23;22.44;0.27;30.22
1.64;0.0;1.9;48.6;12.95;0.61;34.31
1.59;0.0;2.25;53.8;17.4;0.25;24.72
2.21;0.0;2.07;56.75;12.65;0.43;25.9
2.46;0.0;1.47;69.5;9.41;0.34;16.81
1.67;0.0;1.91;61.24;17.49;0.59;17.1
1.99;0.0;2.04;62.41;17.84;0.32;15.39
1.34;0.0;0.68;70.1;8.05;0.16;19.67
1.79;0.0;2.42;55.18;16.9;0.24;23.48
0.9;0.0;0.72;77.43;8.36;0.06;12.54
1.66;0.0;0.62;77.07;7.3;0.1;13.25
1.36;0.0;0.71;66.0;11.11;0.12;20.7
1.19;0.0;1.04;60.06;8.86;0.15;28.71
1.16;0.0;1.01;71.95;9.86;0.14;15.88
1.25;0.01;1.42;74.21;5.57;0.33;17.22
1.66;0.0;1.2;77.9;6.63;0.09;12.53
0.44;0.0;0.59;85.69;3.51;0.06;9.71
1.73;0.02;5.23;50.38;5.13;1.82;35.69
1.4;0.0;0.54;73.31;4.86;0.05;19.83
0.84;0.0;0.22;87.39;2.48;0.02;9.05
3.45;0.0;1.31;69.16;8.72;0.08;17.29
0.97;0.0;0.92;82.02;6.2;0.04;9.84
1.3;0.0;0.62;65.76;8.81;0.04;23.47
1.42;0.04;2.53;50.32;6.72;0.15;38.82
1.01;0.08;3.11;62.73;9.37;0.08;23.61
2.1;0.01;1.14;73.92;5.6;0.09;17.14
0.91;0.0;0.66;77.35;4.09;0.04;16.96
1.7;0.0;0.87;73.06;8.18;0.06;16.13
2.42;0.0;1.74;51.35;10.53;0.18;33.78
1.93;0.0;1.06;49.8;8.92;0.06;38.23
1.36;0.0;0.88;65.36;6.95;0.1;25.35
1.51;0.0;1.26;58.54;11.68;0.08;26.93
1.11;0.02;3.57;44.98;4.9;1.13;44.28
0.95;0.01;2.41;46.54;2.5;1.36;46.23
