Emotions;Percent
angry;31.78
disgust;0.75
scared;6.23
happy;10.27
sad;20.04
surprised;1.24
neutral;29.70
angry;26.97
disgust;0.71
scared;6.78
happy;14.17
sad;18.04
surprised;1.01
neutral;32.32
angry;31.18
disgust;0.47
scared;7.51
happy;10.16
sad;18.29
surprised;1.02
neutral;31.37
angry;31.50
disgust;0.58
scared;7.06
happy;10.58
sad;19.00
surprised;1.14
neutral;30.14
angry;32.50
disgust;0.41
scared;6.12
happy;13.49
sad;19.00
surprised;0.72
neutral;27.77
angry;39.20
disgust;0.44
scared;7.81
happy;7.62
sad;19.15
surprised;0.83
neutral;24.95
angry;40.35
disgust;1.24
scared;6.73
happy;8.76
sad;18.73
surprised;1.00
neutral;23.18
angry;35.13
disgust;1.14
scared;7.18
happy;11.40
sad;19.14
surprised;1.15
neutral;24.87
angry;33.40
disgust;0.93
scared;5.69
happy;10.19
sad;20.85
surprised;1.20
neutral;27.74
angry;32.33
disgust;0.63
scared;4.54
happy;9.25
sad;20.70
surprised;0.93
neutral;31.61
angry;31.52
disgust;0.56
scared;4.39
happy;13.26
sad;18.70
surprised;1.11
neutral;30.47
angry;29.67
disgust;0.36
scared;5.17
happy;9.33
sad;26.87
surprised;0.56
neutral;28.05
angry;40.32
disgust;0.56
scared;6.53
happy;5.09
sad;21.80
surprised;0.80
neutral;24.90
angry;38.43
disgust;0.64
scared;6.07
happy;6.64
sad;22.05
surprised;1.39
neutral;24.77
angry;40.74
disgust;0.48
scared;6.94
happy;4.69
sad;23.38
surprised;0.61
neutral;23.15
angry;38.21
disgust;0.66
scared;7.57
happy;3.75
sad;21.26
surprised;1.16
neutral;27.39
angry;38.54
disgust;0.47
scared;7.52
happy;3.32
sad;22.12
surprised;0.99
neutral;27.03
angry;37.94
disgust;0.55
scared;7.38
happy;2.89
sad;26.09
surprised;0.81
neutral;24.33
angry;44.63
disgust;0.43
scared;8.28
happy;3.72
sad;22.17
surprised;0.83
neutral;19.94
angry;40.85
disgust;0.36
scared;9.19
happy;3.92
sad;22.99
surprised;1.21
neutral;21.46
angry;41.84
disgust;0.46
scared;5.80
happy;3.14
sad;25.44
surprised;0.72
neutral;22.61
angry;42.96
disgust;0.99
scared;7.84
happy;5.01
sad;23.90
surprised;0.86
neutral;18.45
angry;47.49
disgust;0.99
scared;6.67
happy;2.56
sad;22.83
surprised;0.91
neutral;18.56
angry;43.77
disgust;0.32
scared;5.84
happy;3.95
sad;22.83
surprised;0.77
neutral;22.51
angry;40.32
disgust;0.63
scared;8.73
happy;5.37
sad;25.35
surprised;0.73
neutral;18.87
angry;44.60
disgust;0.63
scared;7.98
happy;5.21
sad;19.52
surprised;0.80
neutral;21.26
angry;39.05
disgust;0.74
scared;6.15
happy;8.02
sad;22.20
surprised;0.69
neutral;23.14
angry;31.73
disgust;1.03
scared;6.63
happy;9.74
sad;19.13
surprised;0.87
neutral;30.87
angry;38.37
disgust;0.96
scared;6.07
happy;8.03
sad;21.79
surprised;0.73
neutral;24.05
angry;36.81
disgust;0.25
scared;6.15
happy;8.11
sad;19.08
surprised;0.89
neutral;28.71
angry;33.20
disgust;0.44
scared;6.19
happy;8.65
sad;18.53
surprised;1.19
neutral;31.80
angry;32.31
disgust;0.23
scared;6.56
happy;7.23
sad;20.94
surprised;0.89
neutral;31.84
angry;31.09
disgust;0.32
scared;4.88
happy;7.95
sad;19.28
surprised;0.86
neutral;35.61
angry;35.50
disgust;0.24
scared;5.43
happy;5.82
sad;18.99
surprised;0.84
neutral;33.19
angry;37.19
disgust;0.26
scared;6.53
happy;5.91
sad;22.17
surprised;0.91
neutral;27.02
angry;36.02
disgust;0.33
scared;5.46
happy;8.32
sad;18.48
surprised;0.86
neutral;30.53
angry;39.72
disgust;0.25
scared;5.90
happy;5.35
sad;18.09
surprised;0.99
neutral;29.70
angry;35.74
disgust;0.21
scared;6.37
happy;5.49
sad;22.13
surprised;0.79
neutral;29.29
angry;31.46
disgust;0.33
scared;5.80
happy;5.40
sad;22.22
surprised;1.01
neutral;33.77
angry;27.89
disgust;0.50
scared;5.84
happy;7.76
sad;19.31
surprised;0.80
neutral;37.91
angry;32.45
disgust;0.49
scared;5.73
happy;7.76
sad;22.53
surprised;0.84
neutral;30.21
angry;28.47
disgust;0.24
scared;3.85
happy;5.27
sad;20.82
surprised;0.82
neutral;40.52
angry;28.09
disgust;0.39
scared;3.39
happy;5.66
sad;20.98
surprised;0.66
neutral;40.82
angry;32.34
disgust;0.32
scared;4.18
happy;7.00
sad;16.77
surprised;0.67
neutral;38.71
angry;28.65
disgust;0.55
scared;4.59
happy;6.41
sad;20.13
surprised;0.71
neutral;38.97
angry;33.96
disgust;0.59
scared;4.58
happy;4.38
sad;20.12
surprised;0.80
neutral;35.57
angry;26.59
disgust;0.68
scared;3.99
happy;3.77
sad;17.86
surprised;0.88
neutral;46.23
angry;26.93
disgust;0.36
scared;3.91
happy;6.11
sad;18.90
surprised;0.74
neutral;43.07
angry;25.20
disgust;0.43
scared;4.08
happy;4.43
sad;19.65
surprised;0.74
neutral;45.47
angry;28.07
disgust;0.54
scared;4.16
happy;3.99
sad;18.78
surprised;0.78
neutral;43.67
angry;28.61
disgust;0.37
scared;4.33
happy;4.14
sad;21.04
surprised;0.60
neutral;40.90
angry;24.61
disgust;0.37
scared;3.58
happy;5.84
sad;18.10
surprised;0.85
neutral;46.66
angry;25.57
disgust;0.36
scared;2.85
happy;5.15
sad;18.04
surprised;0.74
neutral;47.29
angry;23.00
disgust;0.49
scared;3.01
happy;5.79
sad;17.07
surprised;0.80
neutral;49.84
angry;17.97
disgust;0.35
scared;3.13
happy;4.19
sad;19.68
surprised;1.07
neutral;53.62
angry;25.38
disgust;0.45
scared;3.57
happy;4.17
sad;17.13
surprised;0.91
neutral;48.39
angry;23.25
disgust;0.33
scared;2.80
happy;3.21
sad;19.81
surprised;0.89
neutral;49.71
angry;19.52
disgust;0.28
scared;3.17
happy;2.20
sad;22.16
surprised;0.59
neutral;52.10
angry;26.32
disgust;0.34
scared;6.26
happy;5.38
sad;22.76
surprised;1.13
neutral;37.80
angry;35.28
disgust;0.28
scared;5.86
happy;3.15
sad;21.23
surprised;0.82
neutral;33.37
angry;33.49
disgust;0.45
scared;4.57
happy;6.38
sad;20.22
surprised;0.69
neutral;34.20
angry;27.35
disgust;0.36
scared;3.08
happy;3.50
sad;20.56
surprised;0.51
neutral;44.65
angry;25.20
disgust;0.36
scared;3.82
happy;5.43
sad;22.06
surprised;0.73
neutral;42.40
angry;20.55
disgust;0.43
scared;4.48
happy;5.24
sad;28.25
surprised;0.59
neutral;40.46
angry;26.62
disgust;0.40
scared;5.03
happy;4.96
sad;24.92
surprised;0.95
neutral;37.13
angry;23.82
disgust;0.88
scared;6.01
happy;8.28
sad;27.21
surprised;0.68
neutral;33.12
angry;24.73
disgust;0.59
scared;5.88
happy;5.27
sad;31.47
surprised;0.51
neutral;31.56
angry;21.10
disgust;0.40
scared;4.36
happy;4.97
sad;25.48
surprised;0.73
neutral;42.96
angry;25.28
disgust;0.42
scared;4.67
happy;4.36
sad;29.74
surprised;0.64
neutral;34.89
angry;23.42
disgust;0.31
scared;5.74
happy;5.44
sad;29.76
surprised;0.68
neutral;34.65
angry;23.73
disgust;0.24
scared;3.74
happy;3.94
sad;20.95
surprised;0.85
neutral;46.55
angry;22.05
disgust;0.46
scared;4.60
happy;7.34
sad;22.21
surprised;0.88
neutral;42.46
angry;23.73
disgust;0.46
scared;4.90
happy;7.03
sad;24.57
surprised;0.67
neutral;38.63
angry;23.23
disgust;0.39
scared;5.05
happy;6.75
sad;25.36
surprised;1.00
neutral;38.22
angry;24.16
disgust;0.33
scared;4.01
happy;5.83
sad;20.76
surprised;0.89
neutral;44.03
angry;31.26
disgust;0.53
scared;4.78
happy;6.09
sad;24.63
surprised;0.75
neutral;31.97
angry;21.91
disgust;0.18
scared;5.10
happy;6.97
sad;21.07
surprised;0.87
neutral;43.89
angry;27.42
disgust;0.36
scared;4.86
happy;3.92
sad;22.56
surprised;0.76
neutral;40.11
angry;26.88
disgust;0.39
scared;6.02
happy;6.75
sad;27.49
surprised;1.02
neutral;31.46
angry;27.20
disgust;0.55
scared;5.80
happy;5.63
sad;27.68
surprised;0.83
neutral;32.30
angry;23.76
disgust;0.49
scared;5.42
happy;5.72
sad;27.54
surprised;0.94
neutral;36.13
angry;29.31
disgust;0.85
scared;5.02
happy;6.32
sad;22.84
surprised;0.92
neutral;34.73
angry;30.94
disgust;1.07
scared;4.86
happy;8.01
sad;24.28
surprised;0.79
neutral;30.05
angry;23.53
disgust;1.03
scared;5.70
happy;10.27
sad;26.88
surprised;0.92
neutral;31.67
angry;23.86
disgust;0.85
scared;5.25
happy;8.78
sad;32.31
surprised;0.80
neutral;28.15
angry;22.02
disgust;1.01
scared;5.43
happy;10.65
sad;24.33
surprised;1.23
neutral;35.33
angry;22.93
disgust;0.88
scared;4.25
happy;9.52
sad;28.66
surprised;0.67
neutral;33.09
angry;25.96
disgust;0.42
scared;4.62
happy;6.84
sad;23.51
surprised;1.04
neutral;37.61
angry;18.74
disgust;0.29
scared;4.38
happy;5.94
sad;20.84
surprised;0.90
neutral;48.91
angry;23.21
disgust;0.32
scared;4.50
happy;6.09
sad;18.20
surprised;0.75
neutral;46.94
angry;28.47
disgust;0.64
scared;4.06
happy;5.05
sad;20.97
surprised;0.88
neutral;39.93
angry;21.26
disgust;0.84
scared;4.24
happy;8.20
sad;26.40
surprised;1.08
neutral;37.98
angry;29.57
disgust;0.95
scared;4.91
happy;10.98
sad;24.23
surprised;0.63
neutral;28.74
angry;32.09
disgust;0.97
scared;5.90
happy;9.75
sad;22.45
surprised;0.93
neutral;27.91
angry;31.08
disgust;0.64
scared;5.00
happy;8.61
sad;20.07
surprised;0.61
neutral;33.99
angry;28.58
disgust;0.93
scared;4.22
happy;9.60
sad;21.02
surprised;0.66
neutral;34.99
angry;29.31
disgust;0.78
scared;4.09
happy;8.31
sad;23.46
surprised;0.77
neutral;33.28
angry;31.38
disgust;0.55
scared;4.02
happy;10.97
sad;20.43
surprised;0.57
neutral;32.07
angry;27.15
disgust;0.50
scared;4.16
happy;9.42
sad;22.04
surprised;0.59
neutral;36.14
angry;23.00
disgust;0.31
scared;3.88
happy;5.29
sad;19.75
surprised;0.70
neutral;47.08
angry;23.92
disgust;0.55
scared;3.92
happy;9.50
sad;26.32
surprised;0.73
neutral;35.07
angry;22.63
disgust;0.53
scared;3.94
happy;8.82
sad;26.94
surprised;1.07
neutral;36.05
angry;23.44
disgust;0.77
scared;3.84
happy;8.92
sad;25.58
surprised;1.13
neutral;36.32
angry;26.90
disgust;1.36
scared;4.95
happy;10.43
sad;28.45
surprised;1.02
neutral;26.89
angry;27.26
disgust;0.79
scared;3.58
happy;6.18
sad;27.48
surprised;0.75
neutral;33.96
angry;27.53
disgust;0.68
scared;3.36
happy;6.85
sad;23.45
surprised;0.50
neutral;37.63
angry;25.89
disgust;1.03
scared;3.93
happy;11.20
sad;26.36
surprised;0.57
neutral;31.02
angry;33.66
disgust;0.80
scared;3.47
happy;6.31
sad;21.39
surprised;0.60
neutral;33.76
angry;30.01
disgust;0.36
scared;5.15
happy;3.30
sad;28.20
surprised;0.57
neutral;32.41
angry;33.80
disgust;0.49
scared;4.66
happy;3.88
sad;22.94
surprised;0.48
neutral;33.75
angry;36.40
disgust;0.32
scared;4.87
happy;3.69
sad;25.65
surprised;0.60
neutral;28.47
angry;33.70
disgust;0.30
scared;3.93
happy;3.39
sad;25.34
surprised;0.84
neutral;32.50
angry;31.11
disgust;0.30
scared;2.77
happy;5.04
sad;24.27
surprised;0.63
neutral;35.88
angry;26.71
disgust;0.32
scared;4.18
happy;7.72
sad;24.82
surprised;0.56
neutral;35.70
angry;21.23
disgust;0.60
scared;4.01
happy;10.03
sad;23.27
surprised;0.77
neutral;40.09
angry;25.42
disgust;0.27
scared;3.93
happy;6.66
sad;25.18
surprised;0.72
neutral;37.83
angry;26.87
disgust;0.48
scared;3.58
happy;6.11
sad;24.94
surprised;0.65
neutral;37.36
angry;26.14
disgust;0.38
scared;3.29
happy;5.73
sad;27.32
surprised;0.67
neutral;36.47
angry;23.56
disgust;0.45
scared;3.53
happy;9.19
sad;24.24
surprised;0.56
neutral;38.48
angry;21.32
disgust;0.57
scared;4.36
happy;7.34
sad;24.02
surprised;0.82
neutral;41.57
angry;31.54
disgust;0.88
scared;3.62
happy;5.63
sad;24.24
surprised;0.60
neutral;33.49
angry;28.71
disgust;0.28
scared;3.31
happy;6.61
sad;24.09
surprised;0.59
neutral;36.43
angry;22.72
disgust;0.44
scared;3.07
happy;9.22
sad;23.25
surprised;0.75
neutral;40.55
angry;31.56
disgust;0.59
scared;3.83
happy;5.73
sad;25.39
surprised;0.79
neutral;32.10
angry;24.18
disgust;0.63
scared;4.65
happy;6.47
sad;25.80
surprised;1.26
neutral;37.00
angry;31.58
disgust;1.09
scared;4.53
happy;7.14
sad;22.53
surprised;1.18
neutral;31.95
angry;25.04
disgust;0.69
scared;4.68
happy;10.15
sad;27.79
surprised;1.06
neutral;30.58
angry;26.45
disgust;0.63
scared;4.91
happy;8.88
sad;27.56
surprised;0.82
neutral;30.76
angry;32.16
disgust;0.74
scared;4.24
happy;6.04
sad;24.82
surprised;1.01
neutral;30.99
angry;18.49
disgust;0.29
scared;3.63
happy;6.58
sad;21.42
surprised;0.88
neutral;48.72
angry;37.46
disgust;1.29
scared;5.85
happy;8.39
sad;30.17
surprised;0.77
neutral;16.07
angry;34.27
disgust;0.89
scared;5.84
happy;12.92
sad;25.32
surprised;0.93
neutral;19.83
angry;43.86
disgust;0.97
scared;6.00
happy;7.62
sad;23.73
surprised;0.71
neutral;17.10
angry;43.54
disgust;0.71
scared;5.39
happy;8.35
sad;19.19
surprised;0.80
neutral;22.03
angry;43.04
disgust;0.41
scared;4.89
happy;6.59
sad;28.93
surprised;0.51
neutral;15.64
angry;43.19
disgust;0.58
scared;4.89
happy;6.51
sad;24.05
surprised;0.71
neutral;20.07
angry;54.36
disgust;0.70
scared;4.69
happy;5.23
sad;16.78
surprised;0.66
neutral;17.57
angry;51.47
disgust;0.25
scared;4.88
happy;5.67
sad;18.67
surprised;0.60
neutral;18.47
angry;44.08
disgust;0.44
scared;4.56
happy;6.05
sad;24.39
surprised;0.52
neutral;19.97
angry;46.61
disgust;0.51
scared;5.44
happy;5.91
sad;24.30
surprised;0.42
neutral;16.82
angry;48.07
disgust;0.48
scared;4.52
happy;4.13
sad;23.50
surprised;0.48
neutral;18.82
angry;40.88
disgust;0.30
scared;5.07
happy;6.85
sad;27.84
surprised;0.51
neutral;18.56
angry;48.24
disgust;0.68
scared;5.59
happy;5.97
sad;20.50
surprised;0.68
neutral;18.34
angry;51.96
disgust;0.95
scared;5.16
happy;6.79
sad;16.82
surprised;0.64
neutral;17.67
angry;49.16
disgust;0.49
scared;5.43
happy;6.25
sad;18.94
surprised;0.52
neutral;19.21
angry;53.32
disgust;0.41
scared;4.73
happy;4.68
sad;21.86
surprised;0.30
neutral;14.70
angry;48.50
disgust;0.58
scared;6.99
happy;4.73
sad;26.37
surprised;0.30
neutral;12.53
angry;45.05
disgust;0.18
scared;6.44
happy;3.55
sad;26.38
surprised;0.21
neutral;18.20
angry;49.65
disgust;0.14
scared;6.86
happy;2.69
sad;22.50
surprised;0.30
neutral;17.86
angry;48.47
disgust;0.36
scared;7.76
happy;4.27
sad;22.60
surprised;0.49
neutral;16.05
angry;53.73
disgust;0.17
scared;5.50
happy;3.61
sad;22.04
surprised;0.35
neutral;14.61
angry;36.41
disgust;0.35
scared;5.98
happy;3.63
sad;29.41
surprised;0.43
neutral;23.79
angry;47.24
disgust;0.22
scared;5.07
happy;4.21
sad;21.82
surprised;0.46
neutral;20.99
angry;34.52
disgust;0.38
scared;6.25
happy;5.13
sad;28.50
surprised;0.96
neutral;24.27
angry;54.99
disgust;0.34
scared;5.80
happy;5.01
sad;19.13
surprised;0.39
neutral;14.34
angry;34.02
disgust;0.41
scared;5.59
happy;5.78
sad;32.23
surprised;0.60
neutral;21.38
angry;49.43
disgust;0.31
scared;4.45
happy;4.54
sad;23.55
surprised;0.44
neutral;17.29
angry;37.31
disgust;0.58
scared;4.89
happy;8.30
sad;23.70
surprised;0.78
neutral;24.43
angry;32.63
disgust;0.62
scared;5.53
happy;8.02
sad;28.97
surprised;0.61
neutral;23.63
angry;32.04
disgust;0.41
scared;5.75
happy;11.96
sad;24.05
surprised;0.78
neutral;25.00
angry;31.72
disgust;0.56
scared;4.06
happy;7.78
sad;26.29
surprised;0.75
neutral;28.84
angry;27.62
disgust;0.84
scared;5.59
happy;8.74
sad;29.54
surprised;0.99
neutral;26.68
angry;27.91
disgust;0.46
scared;6.54
happy;8.21
sad;31.19
surprised;0.75
neutral;24.94
angry;36.98
disgust;0.61
scared;4.70
happy;8.11
sad;25.72
surprised;0.68
neutral;23.20
angry;25.56
disgust;1.14
scared;5.86
happy;4.58
sad;33.97
surprised;0.92
neutral;27.98
angry;27.81
disgust;0.86
scared;3.59
happy;7.30
sad;25.86
surprised;0.67
neutral;33.92
angry;22.73
disgust;0.54
scared;5.14
happy;6.00
sad;32.84
surprised;1.05
neutral;31.71
angry;19.07
disgust;0.70
scared;5.39
happy;7.29
sad;34.71
surprised;0.78
neutral;32.06
angry;18.45
disgust;0.43
scared;5.04
happy;6.08
sad;35.24
surprised;1.18
neutral;33.58
angry;23.09
disgust;0.59
scared;5.35
happy;3.92
sad;33.67
surprised;0.87
neutral;32.51
angry;23.26
disgust;0.56
scared;5.52
happy;6.38
sad;33.36
surprised;0.80
neutral;30.12
angry;27.36
disgust;0.72
scared;5.72
happy;9.27
sad;25.75
surprised;0.82
neutral;30.37
angry;32.22
disgust;0.51
scared;7.27
happy;8.15
sad;26.88
surprised;0.81
neutral;24.16
angry;21.74
disgust;0.42
scared;6.48
happy;7.90
sad;31.24
surprised;1.06
neutral;31.14
angry;25.80
disgust;0.49
scared;7.34
happy;7.28
sad;30.66
surprised;0.92
neutral;27.51
angry;25.20
disgust;0.48
scared;7.15
happy;6.24
sad;31.68
surprised;0.87
neutral;28.37
angry;21.81
disgust;0.57
scared;6.66
happy;8.52
sad;29.85
surprised;0.94
neutral;31.65
angry;24.89
disgust;0.46
scared;6.16
happy;5.74
sad;29.70
surprised;1.02
neutral;32.04
angry;19.66
disgust;0.42
scared;4.57
happy;4.48
sad;36.10
surprised;0.82
neutral;33.95
angry;18.83
disgust;0.48
scared;5.03
happy;4.81
sad;33.70
surprised;0.81
neutral;36.33
angry;19.36
disgust;0.31
scared;4.90
happy;7.98
sad;31.68
surprised;0.83
neutral;34.94
angry;21.41
disgust;0.31
scared;5.57
happy;4.23
sad;35.29
surprised;0.84
neutral;32.35
angry;15.22
disgust;0.41
scared;6.71
happy;6.25
sad;37.01
surprised;1.42
neutral;32.98
angry;16.27
disgust;0.44
scared;6.57
happy;9.36
sad;31.20
surprised;1.57
neutral;34.60
angry;25.57
disgust;0.55
scared;6.25
happy;4.78
sad;33.95
surprised;0.88
neutral;28.02
angry;23.14
disgust;0.73
scared;6.29
happy;6.28
sad;34.70
surprised;1.00
neutral;27.86
angry;14.92
disgust;0.30
scared;6.60
happy;6.96
sad;38.42
surprised;0.78
neutral;32.02
angry;23.43
disgust;0.36
scared;6.64
happy;6.67
sad;35.71
surprised;1.15
neutral;26.03
angry;24.85
disgust;0.44
scared;6.11
happy;6.50
sad;33.34
surprised;0.84
neutral;27.91
angry;15.87
disgust;0.27
scared;6.65
happy;4.97
sad;37.58
surprised;0.75
neutral;33.91
angry;24.92
disgust;0.57
scared;5.78
happy;8.75
sad;29.75
surprised;0.78
neutral;29.46
angry;10.75
disgust;0.41
scared;4.28
happy;4.46
sad;45.95
surprised;0.75
neutral;33.40
angry;15.47
disgust;0.28
scared;5.60
happy;5.02
sad;43.52
surprised;0.93
neutral;29.19
angry;13.14
disgust;0.45
scared;8.10
happy;7.03
sad;43.21
surprised;1.03
neutral;27.04
angry;24.30
disgust;0.39
scared;5.84
happy;5.02
sad;32.92
surprised;0.69
neutral;30.84
angry;34.09
disgust;0.32
scared;6.07
happy;5.50
sad;28.69
surprised;0.48
neutral;24.85
angry;28.13
disgust;0.38
scared;5.51
happy;5.89
sad;30.21
surprised;0.68
neutral;29.21
angry;36.39
disgust;0.20
scared;4.30
happy;5.47
sad;31.48
surprised;0.40
neutral;21.76
angry;24.00
disgust;0.27
scared;4.85
happy;6.43
sad;28.01
surprised;0.87
neutral;35.57
angry;38.68
disgust;0.35
scared;6.18
happy;7.09
sad;27.59
surprised;0.63
neutral;19.48
angry;33.85
disgust;0.09
scared;6.35
happy;5.28
sad;30.39
surprised;0.51
