Emotions;Percent
angry;20.72
disgust;1.27
scared;11.01
happy;14.75
sad;25.32
surprised;1.12
neutral;25.80
angry;30.16
disgust;0.59
scared;21.19
happy;7.61
sad;28.73
surprised;0.95
neutral;10.77
angry;23.93
disgust;0.61
scared;19.99
happy;3.02
sad;24.95
surprised;0.60
neutral;26.90
angry;7.47
disgust;0.91
scared;5.83
happy;47.96
sad;23.97
surprised;0.70
neutral;13.16
angry;17.99
disgust;0.34
scared;14.75
happy;9.38
sad;17.53
surprised;1.70
neutral;38.32
angry;25.52
disgust;4.05
scared;25.36
happy;5.23
sad;21.15
surprised;3.01
neutral;15.68
angry;16.06
disgust;2.55
scared;19.50
happy;5.59
sad;18.62
surprised;4.09
neutral;33.59
angry;13.75
disgust;1.94
scared;10.17
happy;7.97
sad;13.07
surprised;2.20
neutral;50.90
angry;31.87
disgust;6.18
scared;11.21
happy;4.07
sad;15.84
surprised;3.82
neutral;27.01
angry;17.36
disgust;1.91
scared;8.34
happy;2.64
sad;12.53
surprised;3.03
neutral;54.18
angry;36.93
disgust;4.40
scared;13.68
happy;2.25
sad;11.85
surprised;4.27
neutral;26.61
angry;44.59
disgust;5.09
scared;7.18
happy;4.47
sad;10.44
surprised;1.82
neutral;26.42
angry;22.34
disgust;4.86
scared;13.42
happy;12.48
sad;14.30
surprised;2.03
neutral;30.56
angry;32.23
disgust;5.81
scared;11.30
happy;5.67
sad;13.99
surprised;2.09
neutral;28.91
angry;35.17
disgust;1.44
scared;9.54
happy;8.70
sad;19.85
surprised;1.29
neutral;23.99
angry;39.31
disgust;0.28
scared;10.51
happy;6.87
sad;9.01
surprised;0.40
neutral;33.62
angry;34.51
disgust;1.57
scared;17.45
happy;0.90
sad;16.13
surprised;0.17
neutral;29.26
angry;32.49
disgust;0.73
scared;15.85
happy;0.43
sad;22.97
surprised;0.21
neutral;27.32
angry;46.70
disgust;1.97
scared;16.28
happy;0.28
sad;16.53
surprised;0.46
neutral;17.78
angry;27.94
disgust;1.84
scared;17.97
happy;0.16
sad;17.27
surprised;0.76
neutral;34.05
angry;24.61
disgust;3.44
scared;23.17
happy;0.13
sad;18.39
surprised;1.18
neutral;29.09
angry;41.06
disgust;2.64
scared;13.28
happy;0.95
sad;18.50
surprised;1.24
neutral;22.34
angry;20.07
disgust;1.62
scared;11.73
happy;0.06
sad;25.14
surprised;0.40
neutral;40.98
angry;17.31
disgust;1.93
scared;10.83
happy;0.18
sad;23.23
surprised;0.16
neutral;46.36
angry;21.80
disgust;1.46
scared;4.71
happy;10.66
sad;18.40
surprised;0.41
neutral;42.56
angry;18.81
disgust;0.59
scared;8.08
happy;2.16
sad;19.83
surprised;0.37
neutral;50.15
angry;17.76
disgust;0.97
scared;7.93
happy;0.05
sad;18.79
surprised;0.31
neutral;54.19
angry;19.16
disgust;0.64
scared;9.69
happy;0.14
sad;22.67
surprised;0.44
neutral;47.27
angry;17.28
disgust;0.84
scared;7.53
happy;0.12
sad;18.17
surprised;0.53
neutral;55.53
angry;23.45
disgust;1.41
scared;8.72
happy;0.05
sad;26.28
surprised;0.31
neutral;39.78
angry;12.61
disgust;1.79
scared;6.40
happy;0.06
sad;18.82
surprised;0.21
neutral;60.11
angry;29.68
disgust;1.75
scared;11.18
happy;0.27
sad;20.11
surprised;0.57
neutral;36.44
angry;24.92
disgust;1.15
scared;10.67
happy;2.86
sad;20.75
surprised;0.47
neutral;39.18
angry;30.26
disgust;2.50
scared;7.49
happy;0.07
sad;21.77
surprised;0.31
neutral;37.59
angry;37.42
disgust;3.21
scared;7.25
happy;0.44
sad;17.92
surprised;0.22
neutral;33.55
angry;25.74
disgust;1.80
scared;4.25
happy;0.32
sad;19.06
surprised;0.27
neutral;48.57
angry;20.48
disgust;1.66
scared;3.72
happy;2.12
sad;16.60
surprised;0.17
neutral;55.24
angry;6.93
disgust;5.61
scared;9.90
happy;26.61
sad;19.79
surprised;2.64
neutral;28.51
angry;19.24
disgust;0.54
scared;5.57
happy;20.23
sad;27.75
surprised;0.19
neutral;26.48
angry;42.99
disgust;0.94
scared;5.09
happy;1.66
sad;13.34
surprised;0.44
neutral;35.55
angry;48.64
disgust;25.56
scared;8.49
happy;0.22
sad;11.40
surprised;0.30
neutral;5.39
angry;22.32
disgust;48.06
scared;8.87
happy;0.10
sad;15.93
surprised;0.20
neutral;4.52
angry;36.64
disgust;15.51
scared;20.22
happy;1.24
sad;12.92
surprised;1.95
neutral;11.53
angry;29.07
disgust;36.84
scared;17.12
happy;0.82
sad;9.46
surprised;1.01
neutral;5.69
angry;38.89
disgust;6.98
scared;12.28
happy;7.42
sad;14.68
surprised;1.57
neutral;18.19
angry;42.41
disgust;17.83
scared;8.57
happy;3.43
sad;8.58
surprised;1.93
neutral;17.25
angry;28.36
disgust;12.82
scared;22.75
happy;0.75
sad;16.89
surprised;1.52
neutral;16.91
angry;30.01
disgust;8.52
scared;20.63
happy;2.08
sad;27.50
surprised;1.67
neutral;9.59
angry;50.81
disgust;8.61
scared;8.57
happy;2.85
sad;20.61
surprised;0.54
neutral;8.01
angry;53.98
disgust;7.51
scared;5.58
happy;4.68
sad;14.82
surprised;0.38
neutral;13.07
angry;57.02
disgust;10.30
scared;8.47
happy;2.15
sad;13.04
surprised;0.54
neutral;8.47
angry;16.52
disgust;0.12
scared;18.45
happy;16.95
sad;11.63
surprised;4.71
neutral;31.61
angry;32.60
disgust;1.57
scared;14.31
happy;0.31
sad;27.60
surprised;0.23
neutral;23.39
angry;28.10
disgust;2.02
scared;18.96
happy;1.71
sad;25.73
surprised;0.42
neutral;23.07
angry;34.38
disgust;1.02
scared;16.44
happy;2.61
sad;16.45
surprised;0.79
neutral;28.30
angry;26.89
disgust;0.76
scared;16.01
happy;1.42
sad;30.52
surprised;0.36
neutral;24.05
angry;41.12
disgust;1.16
scared;13.49
happy;4.28
sad;19.38
surprised;0.36
neutral;20.20
angry;39.32
disgust;0.67
scared;15.12
happy;1.42
sad;19.97
surprised;0.28
neutral;23.23
angry;22.58
disgust;0.23
scared;24.51
happy;2.06
sad;17.20
surprised;0.23
neutral;33.20
angry;35.99
disgust;0.94
scared;25.25
happy;0.72
sad;15.09
surprised;0.18
neutral;21.83
angry;24.72
disgust;0.28
scared;32.76
happy;1.13
sad;19.17
surprised;0.28
neutral;21.65
angry;44.50
disgust;0.98
scared;17.03
happy;1.45
sad;17.92
surprised;0.30
neutral;17.82
angry;31.43
disgust;1.05
scared;20.77
happy;0.80
sad;20.74
surprised;0.14
neutral;25.06
angry;30.95
disgust;1.27
scared;19.07
happy;0.26
sad;25.15
surprised;0.24
neutral;23.06
angry;30.91
disgust;0.91
scared;22.40
happy;0.27
sad;18.83
surprised;0.38
neutral;26.29
angry;18.10
disgust;1.61
scared;36.01
happy;0.29
sad;20.52
surprised;0.63
neutral;22.84
angry;26.32
disgust;2.82
scared;21.14
happy;0.28
sad;21.07
surprised;0.44
neutral;27.92
angry;32.20
disgust;1.29
scared;21.24
happy;0.13
sad;21.16
surprised;0.31
neutral;23.68
angry;31.50
disgust;1.92
scared;14.87
happy;0.33
sad;18.42
surprised;0.60
neutral;32.35
angry;41.99
disgust;3.52
scared;10.26
happy;0.77
sad;14.23
surprised;0.44
neutral;28.79
angry;39.48
disgust;3.47
scared;12.07
happy;0.69
