Emotions;Percent
angry;19.76
disgust;0.14
scared;3.80
happy;4.79
sad;8.80
surprised;0.43
neutral;62.27
angry;19.28
disgust;0.48
scared;5.20
happy;4.15
sad;11.85
surprised;0.91
neutral;58.13
angry;12.64
disgust;0.32
scared;3.05
happy;3.48
sad;5.78
surprised;0.74
neutral;74.00
angry;8.35
disgust;0.10
scared;2.32
happy;4.57
sad;4.49
surprised;0.76
neutral;79.41
angry;7.23
disgust;0.20
scared;2.50
happy;7.03
sad;4.44
surprised;0.80
neutral;77.81
angry;8.86
disgust;0.37
scared;3.48
happy;5.19
sad;4.57
surprised;1.33
neutral;76.20
angry;7.05
disgust;0.51
scared;2.72
happy;8.37
sad;3.04
surprised;1.81
neutral;76.50
angry;4.05
disgust;0.19
scared;1.86
happy;4.40
sad;2.74
surprised;0.42
neutral;86.34
angry;5.13
disgust;0.32
scared;2.01
happy;7.54
sad;3.51
surprised;0.54
neutral;80.96
angry;8.09
disgust;2.71
scared;3.38
happy;3.78
sad;4.11
surprised;1.26
neutral;76.66
angry;5.47
disgust;0.68
scared;3.70
happy;7.09
sad;3.45
surprised;1.41
neutral;78.20
angry;7.15
disgust;0.72
scared;3.16
happy;4.94
sad;5.04
surprised;1.27
neutral;77.71
angry;6.15
disgust;0.91
scared;3.09
happy;4.92
sad;4.04
surprised;1.29
neutral;79.61
angry;4.98
disgust;0.47
scared;1.74
happy;4.21
sad;3.50
surprised;1.29
neutral;83.81
angry;12.65
disgust;0.20
scared;1.81
happy;9.94
sad;5.06
surprised;0.99
neutral;69.35
angry;17.06
disgust;0.25
scared;1.49
happy;9.91
sad;5.05
surprised;0.72
neutral;65.51
angry;15.65
disgust;0.31
scared;2.15
happy;8.09
sad;5.58
surprised;0.71
neutral;67.51
angry;10.17
disgust;0.10
scared;1.86
happy;5.99
sad;3.99
surprised;0.45
neutral;77.45
angry;9.48
disgust;0.49
scared;2.45
happy;8.02
sad;4.86
surprised;1.21
neutral;73.49
angry;9.53
disgust;0.17
scared;2.50
happy;7.74
sad;3.15
surprised;0.68
neutral;76.24
angry;10.83
disgust;0.42
scared;3.71
happy;6.55
sad;4.05
surprised;1.67
neutral;72.77
angry;8.46
disgust;1.03
scared;3.50
happy;3.85
sad;4.13
surprised;1.66
neutral;77.38
angry;6.76
disgust;0.50
scared;2.71
happy;5.01
sad;3.29
surprised;1.84
neutral;79.88
angry;6.42
disgust;1.67
scared;4.05
happy;3.90
sad;3.27
surprised;1.92
neutral;78.76
angry;9.16
disgust;1.15
scared;3.83
happy;6.04
sad;4.91
surprised;1.75
neutral;73.17
angry;7.47
disgust;1.38
scared;4.25
happy;4.32
