angry;disgust;scared;happy;sad;surprised;neutral
1.37;0.01;2.79;2.4;10.85;0.06;82.52
0.96;0.01;1.49;2.24;7.55;0.13;87.62
1.53;0.01;3.23;1.97;13.99;0.15;79.12
1.65;0.01;2.41;2.51;11.82;0.18;81.42
1.07;0.01;1.82;3.58;8.04;0.07;85.41
0.92;0.0;1.42;1.92;6.41;0.13;89.2
0.6;0.01;1.53;4.38;5.73;0.08;87.68
1.25;0.01;5.88;3.95;12.27;0.18;76.47
0.56;0.01;1.35;4.07;5.7;0.06;88.25
0.92;0.01;1.44;3.27;8.12;0.12;86.12
8.33;0.0;17.74;5.65;3.92;4.99;59.37
1.09;0.01;2.21;4.44;8.82;0.08;83.36
1.09;0.01;3.13;2.85;10.88;0.1;81.93
0.74;0.01;1.32;6.03;5.45;0.06;86.39
1.74;0.03;6.65;4.93;14.04;0.18;72.44
8.36;0.03;10.93;7.51;8.0;20.16;45.0
1.66;0.01;5.87;6.58;12.61;0.1;73.18
9.56;0.03;11.62;5.9;8.28;15.27;49.33
10.37;0.05;10.55;6.23;8.27;15.79;48.74
0.75;0.01;1.13;2.53;6.53;0.06;88.99
0.86;0.01;2.14;3.53;8.42;0.14;84.91
0.84;0.01;1.54;3.95;8.57;0.13;84.96
1.2;0.01;3.41;3.36;11.28;0.14;80.61
1.97;0.02;2.68;3.93;13.57;0.18;77.65
0.65;0.01;1.15;3.03;7.04;0.08;88.05
1.44;0.01;3.83;1.19;16.52;0.32;76.69
2.5;0.03;5.93;0.85;22.36;0.37;67.95
1.47;0.02;1.92;4.42;10.72;0.16;81.29
1.28;0.02;2.67;1.4;13.09;0.23;81.31
1.57;0.03;3.33;2.94;15.48;0.21;76.43
0.67;0.01;1.52;4.68;8.57;0.1;84.45
1.35;0.01;3.18;1.07;15.46;0.25;78.67
1.33;0.02;2.57;1.71;12.51;0.3;81.56
1.62;0.03;4.67;4.98;12.6;0.14;75.98
1.86;0.02;5.84;3.21;17.33;0.24;71.49
1.47;0.02;2.35;1.41;14.22;0.27;80.27
1.54;0.04;3.5;1.78;13.65;0.47;79.02
1.08;0.01;2.89;2.08;11.91;0.15;81.88
1.29;0.02;3.23;0.95;13.96;0.44;80.12
1.87;0.04;5.11;1.1;21.56;0.45;69.87
1.36;0.06;2.9;2.01;13.97;0.31;79.4
1.51;0.04;2.54;1.86;11.93;0.28;81.83
1.03;0.03;3.07;1.03;14.29;0.33;80.22
1.26;0.02;3.14;1.16;13.78;0.35;80.29
1.68;0.02;3.41;3.32;12.12;0.18;79.28
1.21;0.04;2.58;2.56;12.66;0.3;80.66
1.09;0.01;3.84;2.21;11.56;0.19;81.1
0.93;0.02;1.93;4.1;7.79;0.18;85.06
2.17;0.12;6.51;7.92;14.01;0.55;68.72
1.14;0.02;3.0;6.53;11.11;0.26;77.95
1.51;0.05;4.5;2.44;13.98;0.29;77.22
1.22;0.05;2.08;5.97;6.89;0.24;83.54
1.12;0.01;2.2;2.6;9.93;0.15;83.99
1.24;0.02;3.01;4.02;7.82;0.14;83.75
1.36;0.02;3.76;3.1;11.57;0.19;80.01
1.12;0.01;2.31;2.95;10.8;0.29;82.51
1.22;0.02;1.84;3.62;11.21;0.16;81.93
1.1;0.02;2.26;2.5;11.86;0.19;82.08
0.84;0.01;1.89;3.65;8.07;0.19;85.35
1.63;0.01;6.7;3.36;15.72;0.33;72.24
0.83;0.01;1.85;2.98;7.53;0.16;86.64
1.26;0.01;3.31;3.94;11.24;0.18;80.06
1.36;0.03;3.38;2.44;9.86;0.49;82.44
1.6;0.02;5.72;2.22;18.04;0.27;72.14
1.14;0.03;2.44;4.16;10.42;0.22;81.58
1.01;0.02;2.84;4.48;11.53;0.17;79.95
0.61;0.01;1.42;4.08;6.54;0.1;87.23
0.56;0.0;3.06;3.43;7.58;0.07;85.28
1.25;0.01;4.15;2.18;12.45;0.22;79.74
1.01;0.01;5.88;1.43;11.64;0.33;79.7
1.35;0.04;3.44;4.39;10.72;0.57;79.5
1.06;0.01;4.95;3.88;11.09;0.21;78.8
