angry;disgust;scared;happy;sad;surprised;neutral
10.41;1.22;14.15;3.45;2.86;1.46;66.46
11.28;1.03;13.33;5.77;2.45;1.98;64.16
19.71;0.98;17.11;6.47;2.98;1.35;51.4
13.0;0.64;14.19;6.18;3.05;2.04;60.91
6.01;0.53;11.78;16.94;2.36;1.52;60.86
7.06;0.59;16.7;14.83;2.76;1.44;56.62
19.25;1.55;23.68;6.25;4.44;1.77;43.06
9.97;1.23;15.51;10.04;3.4;1.17;58.67
7.53;1.16;14.47;7.38;2.9;1.64;64.9
15.36;1.23;21.55;7.59;3.9;1.91;48.46
15.04;1.14;24.06;4.41;5.7;2.04;47.62
10.72;1.21;16.7;5.28;3.73;1.17;61.2
20.94;1.04;24.55;4.69;4.9;1.66;42.22
18.05;0.95;26.98;4.86;4.85;1.28;43.04
23.37;1.23;25.52;2.36;4.06;1.85;41.6
12.42;0.79;21.66;7.43;3.61;1.85;52.24
10.96;0.61;23.27;5.72;3.45;1.74;54.26
10.41;0.45;20.32;4.89;2.94;1.76;59.23
8.07;0.77;17.24;5.49;3.05;1.95;63.43
8.2;0.93;17.79;7.7;3.13;1.9;60.36
5.11;0.52;19.14;12.6;2.72;3.34;56.57
11.55;1.78;26.47;2.12;4.58;2.46;51.04
9.78;1.19;21.36;8.47;3.23;2.13;53.84
6.77;0.66;27.6;7.96;3.48;3.48;50.05
12.86;0.9;23.74;6.32;2.72;2.04;51.42
9.49;0.74;22.5;7.74;2.45;2.06;55.01
11.19;1.0;21.92;4.55;3.8;1.76;55.79
9.08;0.73;22.75;4.87;3.69;1.72;57.16
12.16;1.54;34.58;2.54;3.97;2.25;42.97
7.73;0.77;25.13;5.45;2.79;2.43;55.7
5.77;0.51;16.45;5.74;2.14;2.11;67.28
10.8;0.89;21.75;2.05;3.07;1.93;59.51
11.77;0.8;20.64;3.72;2.46;2.29;58.31
6.17;0.43;14.53;4.03;1.97;2.7;70.16
12.3;0.79;16.43;3.5;2.04;2.9;62.03
9.22;0.75;15.35;3.56;1.97;2.57;66.57
8.93;0.62;17.2;3.98;1.63;3.41;64.22
12.15;1.16;18.17;3.04;2.08;3.61;59.79
12.35;0.74;18.24;2.58;1.55;3.46;61.08
15.75;1.56;22.27;1.64;2.64;1.88;54.26
10.98;0.96;16.49;7.71;1.7;2.77;59.4
12.1;1.24;19.5;4.9;1.92;2.64;57.71
16.22;0.99;20.06;3.95;1.51;2.92;54.35
9.75;0.55;14.88;8.33;1.35;5.15;60.0
6.69;0.46;9.57;12.3;1.16;5.57;64.26
7.71;0.36;8.26;15.26;1.42;5.14;61.85
11.82;0.29;10.82;11.01;1.99;2.88;61.19
8.46;0.44;14.12;14.87;1.66;5.53;54.91
10.52;0.3;11.96;19.03;1.68;6.26;50.25
16.43;0.5;13.2;8.17;1.48;3.19;57.04
17.58;0.8;16.18;5.23;1.85;3.05;55.32
7.64;0.38;13.01;12.17;1.67;4.21;60.91
11.74;0.39;10.94;9.46;1.6;3.21;62.65
11.07;0.38;13.35;9.52;1.85;2.21;61.62
9.46;0.34;11.26;13.04;2.16;2.21;61.53
8.32;0.38;14.48;12.92;2.02;3.59;58.28
6.48;0.22;10.77;10.38;1.66;3.09;67.4
8.97;0.55;15.1;9.16;2.38;3.24;60.59
8.41;0.37;16.62;9.98;2.13;3.13;59.36
6.78;0.27;11.24;9.89;1.84;3.82;66.15
4.91;0.18;8.84;19.21;1.97;5.28;59.62
7.85;0.76;13.57;18.25;2.52;5.0;52.05
7.74;0.59;14.86;15.77;1.77;3.3;55.97
8.44;0.41;15.98;10.05;1.9;3.66;59.56
8.06;0.46;13.65;11.18;1.71;2.85;62.09
8.65;0.65;20.86;8.99;1.97;3.12;55.77
10.37;0.79;14.8;10.65;1.81;2.69;58.89
10.35;0.4;15.68;11.7;1.7;3.69;56.48
8.99;0.34;15.09;10.86;1.78;3.65;59.28
7.46;0.55;14.47;8.24;2.0;4.26;63.03
6.36;0.53;10.84;16.02;1.69;5.67;58.88
9.41;0.69;14.2;12.54;1.87;3.24;58.06
10.5;0.66;12.54;15.72;1.9;3.38;55.3
8.22;0.72;11.69;15.79;2.0;3.47;58.11
5.27;0.48;9.01;14.18;1.77;4.19;65.1
8.72;0.49;12.52;15.68;2.09;2.82;57.67
8.08;0.34;11.46;14.07;1.97;2.85;61.22
9.13;0.4;12.71;14.28;2.11;4.17;57.2
8.04;0.41;15.29;15.84;2.09;3.89;54.43
9.23;0.76;16.96;15.07;2.21;4.28;51.48
9.0;0.96;21.05;7.46;2.03;3.06;56.42
8.5;0.66;18.84;10.2;2.05;3.23;56.54
8.59;0.56;19.99;9.78;2.1;4.03;54.95
8.73;0.73;14.43;10.6;1.76;3.73;60.03
10.38;0.49;14.6;13.56;1.44;3.52;56.01
14.24;0.85;21.0;8.99;1.45;4.88;48.6
8.66;0.33;18.52;12.2;1.76;4.64;53.88
7.45;0.35;13.65;11.28;1.42;4.87;60.98
6.79;0.28;11.73;18.34;1.58;5.29;55.99
6.87;0.36;14.15;16.32;1.86;5.97;54.47
9.33;0.26;15.54;13.33;2.33;4.66;54.55
7.57;0.2;12.79;9.87;2.29;4.13;63.16
8.53;0.25;12.21;15.01;2.16;3.59;58.25
9.15;0.22;8.78;16.96;1.9;3.19;59.8
11.76;0.28;13.08;14.72;1.91;3.06;55.17
10.88;0.3;11.15;12.02;1.77;2.52;61.37
12.13;0.66;14.35;10.17;1.94;2.84;57.93
10.24;0.67;16.7;8.06;1.84;3.5;59.0
11.35;0.62;18.25;6.7;1.56;2.47;59.05
9.56;0.38;18.01;10.15;1.64;3.98;56.27
12.06;0.49;18.6;8.35;1.54;2.8;56.16
12.53;0.59;18.07;8.14;1.47;3.82;55.37
14.64;1.02;19.99;7.87;1.59;3.85;51.04
14.37;0.75;17.39;5.73;1.9;2.74;57.13
7.67;1.07;18.6;5.17;2.12;2.87;62.51
7.91;0.95;17.21;7.07;2.69;2.95;61.22
9.5;0.6;17.98;8.7;2.57;3.39;57.27
11.46;0.58;19.25;9.18;2.48;3.31;53.74
13.5;0.74;14.93;4.4;1.65;2.09;62.69
15.98;0.58;14.83;2.75;1.66;2.08;62.12
9.19;1.42;18.39;4.21;1.87;2.51;62.4
14.71;0.95;19.31;3.63;2.12;2.42;56.86
12.84;1.3;25.51;1.31;2.33;3.71;53.01
11.76;0.77;14.1;3.73;1.95;1.94;65.75
13.03;0.98;14.14;3.95;1.7;2.4;63.8
9.67;0.7;16.69;5.57;1.84;2.65;62.87
17.14;0.86;18.3;3.46;2.22;2.2;55.83
14.38;1.1;17.54;3.06;2.08;2.05;59.78
15.54;1.07;20.16;4.11;2.19;2.11;54.83
9.06;0.61;13.68;9.24;1.9;3.55;61.97
9.25;0.52;14.38;13.78;2.11;3.23;56.73
11.7;0.57;14.52;9.66;1.87;2.84;58.84
8.4;0.55;15.33;12.69;2.09;3.3;57.63
7.58;0.43;14.34;6.58;1.67;4.4;65.0
6.7;0.35;12.28;10.22;1.51;5.3;63.64
13.89;0.67;17.26;5.24;1.54;2.71;58.69
9.22;0.3;17.09;4.48;1.62;3.07;64.22
9.27;0.57;12.78;12.92;1.5;4.54;58.41
9.78;0.61;14.59;9.48;1.84;3.3;60.4
10.41;0.49;15.37;5.45;1.4;3.86;63.03
8.97;0.29;9.33;13.83;1.7;2.8;63.08
16.91;0.75;18.24;4.71;1.66;2.96;54.77
12.09;1.03;19.41;9.06;1.65;4.27;52.48
11.02;0.92;17.1;10.16;1.65;3.52;55.63
11.15;0.71;17.83;7.17;1.66;3.77;57.71
19.25;0.98;22.71;4.49;1.88;3.61;47.07
19.61;0.97;20.9;4.37;1.97;3.13;49.05
19.12;1.18;25.36;5.97;1.81;3.27;43.3
15.22;1.68;19.4;7.13;1.65;3.96;50.96
12.29;2.09;18.87;6.94;1.93;4.15;53.73
22.07;1.02;17.92;4.56;1.45;5.59;47.38
10.35;1.11;20.46;4.85;1.69;4.5;57.04
9.9;1.17;22.48;6.66;2.13;5.43;52.22
11.23;1.75;21.23;6.41;2.05;5.09;52.25
12.06;1.22;22.31;5.28;1.9;4.81;52.43
11.64;1.02;24.58;5.85;1.78;4.7;50.43
13.56;2.13;27.16;5.25;2.02;4.58;45.3
15.9;2.04;25.51;4.41;2.12;5.35;44.68
11.03;1.48;28.9;5.73;2.23;4.82;45.8
15.37;1.48;23.95;9.13;2.07;4.98;43.03
17.24;1.55;28.54;3.86;2.26;4.73;41.81
15.09;1.21;32.21;2.74;2.34;4.69;41.71
18.6;2.46;29.96;3.25;2.03;5.32;38.37
15.89;1.63;30.8;2.92;2.46;4.72;41.58
12.27;0.95;28.89;4.34;2.0;5.78;45.77
10.63;1.24;23.36;5.33;1.81;4.66;52.96
12.07;1.07;20.27;7.14;1.71;5.56;52.18
13.26;1.02;24.92;5.59;2.05;5.15;48.01
19.67;1.68;28.14;5.25;2.6;5.79;36.86
18.09;1.14;29.16;5.17;2.4;4.96;39.08
13.97;1.45;27.05;7.0;2.17;6.2;42.16
21.36;1.33;30.23;2.92;2.06;6.31;35.78
20.62;0.77;28.03;5.12;2.08;6.13;37.24
11.32;0.52;24.3;8.07;2.16;7.61;46.02
11.06;0.64;22.44;9.83;2.07;7.43;46.54
14.27;0.47;24.46;6.98;2.11;5.59;46.12
15.18;0.5;24.98;6.29;2.13;6.37;44.55
11.1;0.56;22.59;8.09;2.27;4.9;50.5
14.31;0.49;29.3;7.71;2.09;5.51;40.58
11.8;0.5;21.31;9.96;2.33;4.49;49.61
12.73;0.54;24.13;8.88;2.38;5.2;46.15
11.19;0.42;29.61;6.11;2.43;5.85;44.39
17.48;0.78;31.73;3.19;2.65;4.63;39.54
13.21;0.59;26.55;7.97;2.44;5.38;43.86
11.99;0.66;32.67;6.91;2.59;8.85;36.34
10.38;0.39;23.33;7.8;1.97;8.67;47.46
14.92;0.31;35.17;8.91;2.54;6.82;31.33
17.14;0.88;29.47;6.42;2.21;6.3;37.59
15.96;0.67;28.42;5.32;2.33;6.8;40.5
16.47;0.63;31.23;2.27;2.39;5.75;41.25
10.4;0.34;22.73;14.09;2.39;5.4;44.65
12.25;0.62;23.05;11.79;2.18;5.98;44.14
9.52;0.38;20.35;11.9;2.06;8.3;47.5
12.21;0.68;24.46;9.55;1.96;6.34;44.8
13.66;0.7;27.5;6.65;1.9;6.87;42.72
8.11;0.57;19.85;13.85;2.14;6.99;48.5
10.3;0.39;20.99;9.81;1.91;8.62;47.97
11.94;0.61;26.06;8.16;1.86;6.91;44.46
19.94;1.15;30.71;4.51;2.07;4.59;37.04
10.22;1.12;23.04;10.43;1.77;6.63;46.78
12.87;0.95;25.85;8.27;1.87;8.78;41.4
13.51;1.75;28.31;7.59;1.77;6.61;40.46
13.2;1.44;25.81;6.18;1.75;6.68;44.94
11.9;1.07;27.33;7.39;2.09;6.44;43.79
15.44;1.1;26.2;6.97;1.94;6.41;41.95
17.66;0.71;21.85;10.36;2.2;4.78;42.45
12.96;0.35;19.52;7.34;1.85;6.96;51.03
12.07;0.52;22.38;8.57;2.32;5.71;48.43
15.82;0.6;24.15;7.21;1.92;5.2;45.09
23.59;0.8;27.17;3.83;1.92;5.18;37.5
14.27;0.73;21.69;8.29;2.07;5.89;47.06
18.49;0.63;30.95;3.25;1.61;6.83;38.24
17.16;0.73;25.68;8.86;1.69;6.82;39.07
9.99;0.41;17.79;10.91;1.88;4.96;54.06
12.21;0.9;22.54;6.75;1.71;7.22;48.67
8.84;0.59;19.65;4.89;1.76;5.66;58.62
11.97;0.47;22.23;5.37;1.62;6.19;52.15
10.17;0.73;22.28;5.55;1.82;6.1;53.33
8.52;0.31;16.99;5.69;1.49;6.72;60.28
13.23;0.56;22.54;5.69;1.55;7.02;49.41
14.74;0.85;21.58;6.35;1.94;5.04;49.5
13.95;0.71;21.58;6.84;1.88;5.18;49.86
13.65;1.33;24.53;5.74;1.87;5.25;47.64
12.62;0.99;20.71;10.27;1.94;6.35;47.11
14.45;0.92;18.96;6.21;1.63;6.11;51.71
14.02;0.73;18.94;5.94;1.45;5.5;53.44
10.83;1.22;23.98;3.94;1.94;5.19;52.91
11.07;1.41;22.9;3.06;1.94;5.19;54.45
14.95;1.02;19.63;7.01;1.56;5.07;50.77
14.66;0.69;20.89;7.66;1.77;4.41;49.93
14.23;0.57;18.88;8.33;1.79;5.09;51.11
15.92;0.48;20.17;5.0;1.62;5.38;51.43
14.88;1.28;23.42;4.14;1.91;5.69;48.68
13.28;0.7;21.02;3.18;1.77;5.67;54.38
13.11;0.81;19.2;5.96;1.72;5.88;53.33
15.06;0.61;19.84;5.3;1.55;5.27;52.36
15.46;0.78;18.4;8.59;1.75;5.29;49.74
18.31;0.81;22.66;4.49;1.6;5.55;46.58
14.86;0.72;19.19;8.61;1.93;6.86;47.82
17.03;0.78;22.72;6.26;1.83;4.8;46.58
15.04;0.92;22.43;6.32;1.84;6.21;47.23
17.24;0.63;25.08;5.03;1.87;6.23;43.91
16.64;0.79;21.03;6.76;1.76;5.83;47.2
13.82;0.76;19.09;6.8;1.51;6.51;51.51
18.06;0.65;20.0;3.92;1.6;4.62;51.16
17.62;1.28;26.1;4.84;1.99;4.49;43.68
16.97;1.24;21.73;6.39;1.77;5.73;46.18
13.05;1.14;22.79;7.13;2.65;3.44;49.81
18.29;2.93;25.41;5.08;2.75;2.08;43.46
12.1;1.0;20.92;6.62;2.0;3.41;53.95
10.26;1.62;18.89;12.76;2.47;4.1;49.91
18.11;1.06;19.06;8.29;2.12;3.09;48.27
9.72;0.4;15.47;10.94;1.57;5.34;56.56
9.13;0.38;19.34;16.46;1.74;6.37;46.59
14.83;0.68;16.62;14.67;1.84;4.5;46.87
13.56;1.08;20.1;11.99;1.64;6.53;45.09
11.54;0.64;17.28;10.97;1.54;7.84;50.19
11.82;0.59;15.97;15.71;1.81;5.34;48.75
15.62;0.51;16.31;7.97;2.08;3.97;53.55
15.91;0.39;15.61;7.56;1.95;4.18;54.4
15.65;0.54;18.57;12.73;1.78;4.65;46.07
17.18;0.52;20.36;8.12;1.86;4.73;47.23
16.6;0.49;18.61;7.68;1.89;5.05;49.69
15.83;0.62;19.97;8.22;1.72;5.73;47.92
16.49;0.46;20.54;7.92;1.72;3.48;49.39
15.41;0.75;21.13;6.81;1.77;4.98;49.14
18.73;0.74;21.81;8.79;1.84;4.55;43.54
20.55;0.66;22.53;6.96;1.92;3.0;44.39
15.37;0.88;18.25;10.63;1.83;4.69;48.36
19.89;0.87;22.48;6.37;1.65;5.8;42.93
18.37;1.92;26.0;9.26;1.7;6.01;36.73
14.06;0.58;18.86;12.22;1.66;6.59;46.03
18.38;0.84;22.44;13.06;1.79;4.94;38.55
20.85;0.82;21.86;7.99;1.74;5.18;41.57
