Mayores1;Mayores2;Menores1;Menores2
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;BeingWith;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;Avoidance;Agonistic-Dominating-Rejecting;BeingWith
NoAttending;Attending;NoAttending;BeingWith
NoAttending;Approach;NoAttending;NoAttending
Avoidance;NoAttending;Attending;NoAttending
NoAttending;NoAttending;Submitting;Agonistic-Dominating-Rejecting
NoAttending;Avoidance;NoAttending;BeingWith
NoAttending;Interrupting;BeingWith;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;BeingWith;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;Avoidance;Interrupting;Interrupting
Submitting;NoAttending;BeingWith;Interrupting
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;Avoidance;BeingWith;NoAttending
NoAttending;Avoidance;NoAttending;BeingWith
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;Submitting;BeingWith
Submitting;BeingWith;NoAttending;NoAttending
NoAttending;Avoidance;NoAttending;NoAttending
NoAttending;NoAttending;Submitting;BeingWith
NoAttending;Interrupting;NoAttending;BeingWith
Submitting;NoAttending;NoAttending;NoAttending
Submitting;BeingWith;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;NoAttending;Agonistic-Dominating-Rejecting;BeingWith
