Mayores1;Mayores2;Menores1;Menores2
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;BeingWith;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;FALSO;Agonistic-Dominating-Rejecting;BeingWith
NoAttending;Attending;NoAttending;BeingWith
NoAttending;FALSO;NoAttending;NoAttending
Avoidance;FALSO;Attending;NoAttending
NoAttending;NoAttending;Submitting;Agonistic-Dominating-Rejecting
NoAttending;Avoidance;NoAttending;FALSO
NoAttending;Interrupting;BeingWith;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;BeingWith;BeingWith;Agonistic-Dominating-Rejecting
FALSO;Avoidance;Interrupting;Interrupting
Submitting;NoAttending;BeingWith;Interrupting
NoAttending;NoAttending;FALSO;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;Avoidance;BeingWith;NoAttending
NoAttending;Avoidance;NoAttending;BeingWith
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;BeingWith
FALSO;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;FALSO;BeingWith
Submitting;BeingWith;NoAttending;NoAttending
NoAttending;Avoidance;NoAttending;NoAttending
NoAttending;NoAttending;Submitting;BeingWith
FALSO;FALSO;FALSO;BeingWith
Submitting;NoAttending;NoAttending;NoAttending
Submitting;BeingWith;NoAttending;NoAttending
NoAttending;FALSO;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;NoAttending;Agonistic-Dominating-Rejecting;FALSO
