Mayores1;Mayores2;Menores1;Menores2
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;BeingWith;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;NoAttending;Agonistic-Dominating-Rejecting;BeingWith
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;Submitting;Agonistic-Dominating-Rejecting
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;BeingWith;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;NoAttending;Interrupting;Interrupting
Submitting;NoAttending;BeingWith;Interrupting
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;NoAttending;BeingWith
NoAttending;NoAttending;Submitting;BeingWith
Submitting;BeingWith;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;Submitting;BeingWith
NoAttending;NoAttending;NoAttending;BeingWith
Submitting;NoAttending;NoAttending;NoAttending
Submitting;BeingWith;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;NoAttending;NoAttending
NoAttending;NoAttending;BeingWith;Agonistic-Dominating-Rejecting
NoAttending;NoAttending;BeingWith;NoAttending
NoAttending;NoAttending;Agonistic-Dominating-Rejecting;BeingWith
