angry;disgust;scared;happy;sad;surprised;neutral
24.42;0.09;18.55;25.61;8.16;1.86;21.31
28.23;0.1;17.5;21.05;9.03;1.79;22.32
24.29;0.11;19.65;20.96;6.36;3.38;25.25
24.56;0.05;17.37;26.19;8.89;1.57;21.38
17.1;0.04;20.51;23.34;8.08;1.98;28.95
16.14;0.03;20.31;25.18;9.36;2.38;26.6
22.37;0.05;19.61;24.0;7.59;1.84;24.54
20.99;0.11;15.19;26.21;6.15;2.34;29.02
24.9;0.08;16.43;28.73;4.74;2.58;22.55
14.35;0.04;18.77;17.35;7.51;3.1;38.88
14.15;0.04;17.93;21.4;7.18;3.51;35.79
10.59;0.11;18.74;37.77;5.94;2.81;24.04
13.84;0.11;17.23;23.02;7.95;3.11;34.74
14.14;0.12;17.78;36.63;7.99;1.36;21.97
18.27;0.12;16.55;20.62;8.05;2.97;33.41
14.6;0.07;19.33;24.88;9.81;1.4;29.92
20.27;0.11;17.05;24.42;9.46;3.02;25.67
19.75;0.04;17.52;17.01;7.65;4.29;33.74
18.21;0.17;20.43;26.91;10.0;3.32;20.96
14.54;0.18;19.99;25.19;9.36;2.34;28.4
13.01;0.18;23.15;25.84;11.49;2.1;24.22
18.41;0.16;30.8;13.62;13.06;2.27;21.68
13.24;0.16;24.14;22.11;11.99;2.91;25.45
11.5;0.06;24.94;15.13;13.09;2.43;32.85
12.37;0.05;18.65;11.61;15.6;2.31;39.42
9.62;0.05;22.02;15.65;14.42;2.58;35.65
12.31;0.04;19.66;20.22;13.91;2.31;31.56
12.32;0.04;21.2;20.76;11.78;1.82;32.08
18.55;0.09;27.28;21.19;12.1;1.66;19.14
25.28;0.29;20.74;24.39;11.18;2.63;15.49
25.82;0.18;14.56;30.7;11.34;1.65;15.75
19.62;0.11;12.83;34.94;11.73;1.56;19.22
28.34;0.11;20.0;23.32;15.88;1.22;11.13
22.47;0.08;21.07;16.91;16.44;1.4;21.64
24.36;0.14;18.74;25.79;13.55;1.38;16.05
19.64;0.13;19.26;28.24;12.54;1.84;18.35
19.84;0.08;19.94;22.33;15.31;1.97;20.54
16.33;0.16;16.15;28.58;6.41;4.22;28.15
