Emotions;Percent
angry;24.42
disgust;0.09
scared;18.55
happy;25.61
sad;8.16
surprised;1.86
neutral;21.31
angry;28.23
disgust;0.10
scared;17.50
happy;21.05
sad;9.03
surprised;1.79
neutral;22.32
angry;24.29
disgust;0.11
scared;19.65
happy;20.96
sad;6.36
surprised;3.38
neutral;25.25
angry;24.56
disgust;0.05
scared;17.37
happy;26.19
sad;8.89
surprised;1.57
neutral;21.38
angry;17.10
disgust;0.04
scared;20.51
happy;23.34
sad;8.08
surprised;1.98
neutral;28.95
angry;16.14
disgust;0.03
scared;20.31
happy;25.18
sad;9.36
surprised;2.38
neutral;26.60
angry;22.37
disgust;0.05
scared;19.61
happy;24.00
sad;7.59
surprised;1.84
neutral;24.54
angry;20.99
disgust;0.11
scared;15.19
happy;26.21
sad;6.15
surprised;2.34
neutral;29.02
angry;24.90
disgust;0.08
scared;16.43
happy;28.73
sad;4.74
surprised;2.58
neutral;22.55
angry;14.35
disgust;0.04
scared;18.77
happy;17.35
sad;7.51
surprised;3.10
neutral;38.88
angry;14.15
disgust;0.04
scared;17.93
happy;21.40
sad;7.18
surprised;3.51
neutral;35.79
angry;10.59
disgust;0.11
scared;18.74
happy;37.77
sad;5.94
surprised;2.81
neutral;24.04
angry;13.84
disgust;0.11
scared;17.23
happy;23.02
sad;7.95
surprised;3.11
neutral;34.74
angry;14.14
disgust;0.12
scared;17.78
happy;36.63
sad;7.99
surprised;1.36
neutral;21.97
angry;18.27
disgust;0.12
scared;16.55
happy;20.62
sad;8.05
surprised;2.97
neutral;33.41
angry;14.60
disgust;0.07
scared;19.33
happy;24.88
sad;9.81
surprised;1.40
neutral;29.92
angry;20.27
disgust;0.11
scared;17.05
happy;24.42
sad;9.46
surprised;3.02
neutral;25.67
angry;19.75
disgust;0.04
scared;17.52
happy;17.01
sad;7.65
surprised;4.29
neutral;33.74
angry;18.21
disgust;0.17
scared;20.43
happy;26.91
sad;10.00
surprised;3.32
neutral;20.96
angry;14.54
disgust;0.18
scared;19.99
happy;25.19
sad;9.36
surprised;2.34
neutral;28.40
angry;13.01
disgust;0.18
scared;23.15
happy;25.84
sad;11.49
surprised;2.10
neutral;24.22
angry;18.41
disgust;0.16
scared;30.80
happy;13.62
sad;13.06
surprised;2.27
neutral;21.68
angry;13.24
disgust;0.16
scared;24.14
happy;22.11
sad;11.99
surprised;2.91
neutral;25.45
angry;11.50
disgust;0.06
scared;24.94
happy;15.13
sad;13.09
surprised;2.43
neutral;32.85
angry;12.37
disgust;0.05
scared;18.65
happy;11.61
sad;15.60
surprised;2.31
neutral;39.42
angry;9.62
disgust;0.05
scared;22.02
happy;15.65
sad;14.42
surprised;2.58
neutral;35.65
angry;12.31
disgust;0.04
scared;19.66
happy;20.22
sad;13.91
surprised;2.31
neutral;31.56
angry;12.32
disgust;0.04
scared;21.20
happy;20.76
sad;11.78
surprised;1.82
neutral;32.08
angry;18.55
disgust;0.09
scared;27.28
happy;21.19
sad;12.10
surprised;1.66
neutral;19.14
angry;25.28
disgust;0.29
scared;20.74
happy;24.39
sad;11.18
surprised;2.63
neutral;15.49
angry;25.82
disgust;0.18
scared;14.56
happy;30.70
sad;11.34
surprised;1.65
neutral;15.75
angry;19.62
disgust;0.11
scared;12.83
happy;34.94
sad;11.73
surprised;1.56
neutral;19.22
angry;28.34
disgust;0.11
scared;20.00
happy;23.32
sad;15.88
surprised;1.22
neutral;11.13
angry;22.47
disgust;0.08
scared;21.07
happy;16.91
sad;16.44
surprised;1.40
neutral;21.64
angry;24.36
disgust;0.14
scared;18.74
happy;25.79
sad;13.55
surprised;1.38
neutral;16.05
angry;19.64
disgust;0.13
scared;19.26
happy;28.24
sad;12.54
surprised;1.84
neutral;18.35
angry;19.84
disgust;0.08
scared;19.94
happy;22.33
sad;15.31
surprised;1.97
neutral;20.54
angry;16.33
disgust;0.16
scared;16.15
happy;28.58
sad;6.41
surprised;4.22
neutral;28.15
angry;13.19
disgust;0.17
scared;19.73
happy;29.35
sad;9.83
surprised;2.97
neutral;24.76
angry;13.74
disgust;0.07
scared;20.08
happy;28.32
sad;9.91
surprised;2.31
neutral;25.56
angry;12.46
disgust;0.07
scared;19.72
happy;31.35
sad;8.75
surprised;1.75
neutral;25.91
angry;16.81
disgust;0.11
scared;20.90
happy;21.62
sad;7.71
surprised;3.67
neutral;29.17
angry;12.06
disgust;0.08
scared;22.15
happy;25.04
sad;8.44
surprised;3.17
neutral;29.07
angry;9.25
disgust;0.03
scared;21.04
happy;23.38
sad;12.11
surprised;2.43
neutral;31.76
angry;13.01
disgust;0.07
scared;19.52
happy;31.86
sad;9.96
surprised;1.88
neutral;23.70
angry;13.50
disgust;0.10
scared;16.95
happy;35.61
sad;9.82
surprised;1.52
neutral;22.50
angry;15.26
disgust;0.17
scared;18.81
happy;32.67
sad;8.38
surprised;1.53
neutral;23.17
angry;11.76
disgust;0.06
scared;18.64
happy;41.27
sad;7.49
surprised;1.79
neutral;18.99
angry;19.50
disgust;0.17
scared;16.47
happy;31.09
sad;11.17
surprised;1.16
neutral;20.44
angry;14.74
disgust;0.11
scared;21.05
happy;35.07
sad;9.89
surprised;1.12
neutral;18.00
angry;15.20
disgust;0.13
scared;18.95
happy;30.80
sad;10.00
surprised;1.40
neutral;23.53
angry;19.27
disgust;0.10
scared;19.00
happy;22.13
sad;13.10
surprised;1.50
neutral;24.90
angry;16.30
disgust;0.11
scared;16.67
happy;32.68
sad;10.55
surprised;1.50
neutral;22.20
angry;21.32
disgust;0.33
scared;18.48
happy;25.58
sad;10.31
surprised;1.46
neutral;22.52
angry;16.51
disgust;0.10
scared;19.94
happy;21.79
sad;13.66
surprised;1.40
neutral;26.60
angry;18.81
disgust;0.13
scared;15.44
happy;30.16
sad;11.29
surprised;1.28
neutral;22.88
angry;24.11
disgust;0.22
scared;18.12
happy;20.20
sad;13.91
surprised;1.86
neutral;21.58
angry;23.33
disgust;0.33
scared;21.09
happy;17.74
sad;10.76
surprised;2.24
neutral;24.51
angry;20.25
disgust;0.12
scared;16.53
happy;33.62
sad;10.64
surprised;0.97
neutral;17.86
angry;25.12
disgust;0.29
scared;18.26
happy;19.37
sad;12.27
surprised;1.44
neutral;23.25
angry;22.48
disgust;0.24
scared;18.22
happy;26.16
sad;12.75
surprised;1.52
neutral;18.64
angry;24.01
disgust;0.52
scared;17.20
happy;22.71
sad;10.96
surprised;2.01
neutral;22.60
angry;23.63
disgust;0.32
scared;18.89
happy;17.47
sad;13.54
surprised;1.91
neutral;24.24
angry;21.13
disgust;0.36
scared;21.01
happy;26.23
sad;10.09
surprised;1.34
neutral;19.83
angry;21.81
disgust;0.43
scared;17.78
happy;28.41
sad;9.74
surprised;1.41
neutral;20.42
angry;24.30
disgust;0.35
scared;17.28
happy;28.39
sad;9.59
surprised;1.46
neutral;18.63
angry;28.54
disgust;0.40
scared;17.16
happy;19.72
sad;11.21
surprised;1.46
neutral;21.51
angry;23.40
disgust;0.50
scared;15.96
happy;22.40
sad;10.83
surprised;1.62
neutral;25.29
angry;19.23
disgust;0.16
scared;16.48
happy;31.72
sad;10.60
surprised;1.16
neutral;20.65
angry;22.20
disgust;0.19
scared;18.32
happy;27.53
sad;9.74
surprised;1.39
neutral;20.64
angry;26.07
disgust;0.33
scared;17.50
happy;22.25
sad;9.61
surprised;1.70
neutral;22.54
angry;25.06
disgust;0.26
scared;19.75
happy;21.32
sad;13.70
surprised;1.36
neutral;18.55
angry;22.81
disgust;0.15
scared;18.74
happy;22.52
sad;12.10
surprised;1.27
neutral;22.41
angry;21.20
disgust;0.17
scared;17.79
happy;23.78
sad;12.08
surprised;1.18
neutral;23.80
angry;20.98
disgust;0.22
scared;18.57
happy;22.96
sad;11.00
surprised;1.75
neutral;24.53
angry;16.69
disgust;0.18
scared;15.31
happy;34.34
sad;12.80
surprised;1.14
neutral;19.54
angry;20.58
disgust;0.11
scared;19.92
happy;23.52
sad;12.10
surprised;1.56
