angry;disgust;scared;happy;sad;surprised;neutral
9.61;0.0;16.42;6.39;1.92;9.04;56.62
6.32;0.17;44.63;1.44;10.61;3.15;33.68
4.2;0.12;22.84;2.08;7.09;1.77;61.89
4.81;0.2;19.9;3.15;9.99;2.34;59.61
5.21;0.08;21.58;2.45;7.84;2.05;60.78
4.83;0.37;17.07;6.32;12.31;2.13;56.96
5.72;0.25;25.89;5.51;10.32;3.12;49.2
4.17;0.1;19.5;4.48;8.31;2.0;61.44
5.0;0.18;21.47;3.2;8.6;2.18;59.37
4.08;0.07;20.65;3.0;6.84;2.22;63.14
4.98;0.12;23.03;2.53;8.3;2.75;58.28
4.06;0.0;19.11;7.6;3.24;12.3;53.68
4.1;0.0;16.79;8.59;2.66;12.85;55.01
3.97;0.08;14.16;3.73;5.88;1.79;70.39
3.59;0.0;19.91;7.58;2.82;18.07;48.01
4.45;0.15;17.14;5.43;5.36;2.47;65.0
5.12;0.22;24.08;2.02;7.85;2.35;58.36
4.14;0.09;14.12;2.47;6.4;2.03;70.75
6.49;0.1;15.06;5.78;5.91;2.32;64.33
4.08;0.11;11.75;4.38;5.76;2.97;70.96
4.6;0.14;23.61;1.42;7.55;2.88;59.81
4.15;0.08;8.24;2.48;5.24;1.73;78.08
3.59;0.08;12.13;2.81;5.91;2.35;73.12
4.05;0.11;14.14;2.21;6.51;2.12;70.85
4.67;0.13;16.51;1.93;5.95;1.78;69.02
4.31;0.17;18.02;3.3;5.87;2.26;66.08
3.91;0.19;21.13;3.14;6.27;2.68;62.67
3.5;0.11;11.31;6.88;3.58;2.04;72.58
3.18;0.18;15.94;2.83;6.85;1.76;69.26
4.64;0.11;20.06;2.04;5.84;2.94;64.38
3.59;0.1;8.53;6.0;4.51;1.95;75.32
3.42;0.15;14.29;2.87;6.75;2.22;70.29
4.79;0.09;21.91;1.32;6.94;3.02;61.94
3.47;0.0;11.83;7.85;2.69;22.24;51.92
7.59;0.0;15.56;4.06;1.81;5.79;65.19
3.69;0.23;15.55;2.37;6.54;2.19;69.43
6.71;0.19;17.54;0.84;9.22;1.93;63.57
4.48;0.09;13.35;1.78;5.86;2.56;71.88
5.17;0.27;25.35;2.48;8.22;3.18;55.33
7.45;0.21;26.39;1.65;8.83;3.15;52.31
7.41;0.27;28.65;1.2;13.49;3.21;45.76
6.57;0.52;15.29;1.65;11.29;1.36;63.32
5.65;0.47;17.66;1.79;11.74;3.67;59.02
8.74;0.77;15.16;9.64;17.27;0.78;47.63
13.86;0.71;16.23;4.47;29.97;0.38;34.39
5.4;1.93;18.34;2.54;31.65;0.45;39.69
5.93;1.4;16.6;1.86;33.37;0.32;40.53
10.61;0.58;13.14;2.92;27.85;0.42;44.49
9.18;0.74;18.62;3.25;19.72;0.43;48.07
9.05;0.56;22.38;2.18;24.42;1.46;39.96
8.45;0.62;22.19;1.56;20.11;1.87;45.22
7.53;0.55;26.86;1.38;23.53;1.63;38.53
8.85;0.47;23.23;1.2;19.31;1.59;45.35
9.01;0.46;23.7;1.2;19.71;1.51;44.41
7.65;0.39;22.47;4.87;10.7;1.78;52.15
9.05;0.78;29.34;0.94;18.12;1.39;40.39
7.69;0.78;22.1;1.62;18.75;1.6;47.46
7.89;0.49;18.44;1.31;17.84;1.34;52.69
8.25;0.66;18.22;1.59;22.07;1.21;47.99
8.95;0.76;24.66;1.29;22.79;1.35;40.2
5.01;0.4;18.54;1.39;10.2;1.41;63.05
3.84;0.37;14.97;3.69;11.51;0.87;64.74
6.19;0.51;22.41;0.87;28.75;1.38;39.87
7.12;0.77;22.11;1.31;19.89;1.3;47.51
8.98;0.45;17.1;0.92;22.15;0.67;49.72
5.34;0.78;18.76;1.68;19.55;1.06;52.84
5.61;0.56;20.31;1.06;26.56;1.14;44.76
6.1;0.64;16.25;1.87;19.57;0.75;54.82
6.99;0.47;15.75;0.79;26.8;0.77;48.41
7.62;0.74;21.23;1.19;23.05;1.16;45.0
6.94;0.39;18.94;0.98;20.2;0.88;51.67
6.28;0.39;10.55;2.16;15.97;0.55;64.11
4.2;0.3;9.8;3.25;11.68;0.98;69.8
4.58;0.31;9.25;5.6;14.0;1.17;65.09
4.35;0.16;9.33;2.35;10.38;1.0;72.43
4.18;0.16;17.89;2.12;11.98;1.47;62.2
3.37;0.19;12.97;2.88;12.0;1.38;67.21
