Emotions;Percent
angry;9.61
disgust;0.00
scared;16.42
happy;6.39
sad;1.92
surprised;9.04
neutral;56.62
angry;6.32
disgust;0.17
scared;44.63
happy;1.44
sad;10.61
surprised;3.15
neutral;33.68
angry;4.20
disgust;0.12
scared;22.84
happy;2.08
sad;7.09
surprised;1.77
neutral;61.89
angry;4.81
disgust;0.20
scared;19.90
happy;3.15
sad;9.99
surprised;2.34
neutral;59.61
angry;5.21
disgust;0.08
scared;21.58
happy;2.45
sad;7.84
surprised;2.05
neutral;60.78
angry;4.83
disgust;0.37
scared;17.07
happy;6.32
sad;12.31
surprised;2.13
neutral;56.96
angry;5.72
disgust;0.25
scared;25.89
happy;5.51
sad;10.32
surprised;3.12
neutral;49.20
angry;4.17
disgust;0.10
scared;19.50
happy;4.48
sad;8.31
surprised;2.00
neutral;61.44
angry;5.00
disgust;0.18
scared;21.47
happy;3.20
sad;8.60
surprised;2.18
neutral;59.37
angry;4.08
disgust;0.07
scared;20.65
happy;3.00
sad;6.84
surprised;2.22
neutral;63.14
angry;4.98
disgust;0.12
scared;23.03
happy;2.53
sad;8.30
surprised;2.75
neutral;58.28
angry;4.06
disgust;0.00
scared;19.11
happy;7.60
sad;3.24
surprised;12.30
neutral;53.68
angry;4.10
disgust;0.00
scared;16.79
happy;8.59
sad;2.66
surprised;12.85
neutral;55.01
angry;3.97
disgust;0.08
scared;14.16
happy;3.73
sad;5.88
surprised;1.79
neutral;70.39
angry;3.59
disgust;0.00
scared;19.91
happy;7.58
sad;2.82
surprised;18.07
neutral;48.01
angry;4.45
disgust;0.15
scared;17.14
happy;5.43
sad;5.36
surprised;2.47
neutral;65.00
angry;5.12
disgust;0.22
scared;24.08
happy;2.02
sad;7.85
surprised;2.35
neutral;58.36
angry;4.14
disgust;0.09
scared;14.12
happy;2.47
sad;6.40
surprised;2.03
neutral;70.75
angry;6.49
disgust;0.10
scared;15.06
happy;5.78
sad;5.91
surprised;2.32
neutral;64.33
angry;4.08
disgust;0.11
scared;11.75
happy;4.38
sad;5.76
surprised;2.97
neutral;70.96
angry;4.60
disgust;0.14
scared;23.61
happy;1.42
sad;7.55
surprised;2.88
neutral;59.81
angry;4.15
disgust;0.08
scared;8.24
happy;2.48
sad;5.24
surprised;1.73
neutral;78.08
angry;3.59
disgust;0.08
scared;12.13
happy;2.81
sad;5.91
surprised;2.35
neutral;73.12
angry;4.05
disgust;0.11
scared;14.14
happy;2.21
sad;6.51
surprised;2.12
neutral;70.85
angry;4.67
disgust;0.13
scared;16.51
happy;1.93
sad;5.95
surprised;1.78
neutral;69.02
angry;4.31
disgust;0.17
scared;18.02
happy;3.30
sad;5.87
surprised;2.26
neutral;66.08
angry;3.91
disgust;0.19
scared;21.13
happy;3.14
sad;6.27
surprised;2.68
neutral;62.67
angry;3.50
disgust;0.11
scared;11.31
happy;6.88
sad;3.58
surprised;2.04
neutral;72.58
angry;3.18
disgust;0.18
scared;15.94
happy;2.83
sad;6.85
surprised;1.76
neutral;69.26
angry;4.64
disgust;0.11
scared;20.06
happy;2.04
sad;5.84
surprised;2.94
neutral;64.38
angry;3.59
disgust;0.10
scared;8.53
happy;6.00
sad;4.51
surprised;1.95
neutral;75.32
angry;3.42
disgust;0.15
scared;14.29
happy;2.87
sad;6.75
surprised;2.22
neutral;70.29
angry;4.79
disgust;0.09
scared;21.91
happy;1.32
sad;6.94
surprised;3.02
neutral;61.94
angry;3.47
disgust;0.00
scared;11.83
happy;7.85
sad;2.69
surprised;22.24
